gameid,time,roundNum,clickStatus,clickP1,clickP2,clickP3,clickP4,clickP5,clickP6,clickP7,clickP8,clickLocS,clickLocL,alt1Status,alt1P1,alt1P2,alt1P3,alt1P4,alt1P5,alt1P6,alt1P7,alt1P8,alt1LocS,alt1LocL,alt2Status,alt2P1,alt2P2,alt2P3,alt2P4,alt2P5,alt2P6,alt2P7,alt2P8,alt2LocS,alt2LocL,outcome
3821-8,1461009716154,1,target, 243, 169, 106, 71, 223, 53, 186, 168, 3, 3, distr1, 90, 186, 240, 64, 158, 66, 209, 215, 2, 2, distr2, 53, 185, 154, 95, 129, 236, 122, 55, 1, 1, true
3821-8,1461009791933,2,target, 205, 69, 152, 224, 85, 200, 61, 216, 2, 3, distr1, 185, 80, 225, 163, 181, 238, 164, 93, 3, 1, distr2, 174, 83, 211, 111, 144, 232, 113, 123, 1, 2, true
3821-8,1461009841690,3,target, 226, 83, 138, 218, 170, 74, 67, 73, 3, 2, distr1, 64, 138, 146, 203, 133, 88, 77, 90, 2, 3, distr2, 177, 153, 138, 181, 135, 239, 180, 227, 1, 1, true
3821-8,1461009872107,4,target, 137, 196, 154, 68, 230, 227, 244, 103, 2, 3, distr1, 246, 51, 56, 155, 59, 70, 105, 103, 1, 2, distr2, 148, 50, 121, 150, 108, 170, 92, 73, 3, 1, true
3821-8,1461009927547,5,target, 78, 51, 182, 240, 64, 60, 177, 153, 3, 2, distr2, 147, 57, 183, 121, 104, 54, 142, 168, 2, 1, distr1, 246, 79, 145, 133, 151, 119, 126, 85, 1, 3, true
3821-8,1461009985084,6,target, 194, 120, 213, 77, 129, 220, 117, 163, 2, 1, distr1, 128, 193, 129, 76, 178, 137, 92, 191, 1, 2, distr2, 137, 58, 163, 100, 245, 157, 117, 209, 3, 3, true
3821-8,1461010026969,7,target, 208, 215, 221, 111, 193, 125, 196, 247, 1, 1, distr2, 76, 248, 108, 143, 134, 241, 191, 164, 3, 3, distr1, 79, 247, 208, 220, 132, 171, 194, 75, 2, 2, true
3821-8,1461010114702,8,target, 100, 198, 203, 85, 247, 211, 172, 159, 3, 1, distr2, 139, 119, 172, 159, 173, 153, 52, 231, 1, 3, distr1, 91, 171, 158, 150, 229, 50, 179, 184, 2, 2, true
3821-8,1461010148122,9,target, 88, 242, 163, 133, 87, 186, 207, 144, 3, 1, distr1, 128, 192, 156, 167, 132, 89, 124, 106, 2, 2, distr2, 61, 221, 107, 58, 149, 88, 131, 226, 1, 3, true
3821-8,1461010205061,10,target, 138, 85, 157, 167, 128, 181, 153, 87, 3, 2, distr1, 242, 245, 241, 116, 119, 85, 124, 75, 1, 3, distr2, 125, 139, 223, 249, 120, 74, 141, 190, 2, 1, true
3821-8,1461010278256,11,target, 87, 115, 208, 152, 163, 219, 130, 175, 1, 1, distr2, 212, 220, 56, 183, 92, 177, 104, 152, 2, 3, distr1, 135, 92, 150, 51, 229, 234, 78, 96, 3, 2, true
