gameid,time,roundNum,targetColH, targetColS,targetColL, submittedColH, submittedColS,submittedColL,score
5443-a,1452905928734,1,251,53,55,279,98,50,27
5443-a,1452905963658,2,68,27,28,20,19,50,14
5443-a,1452905997292,3,349,71,55,342,96,50,30
5443-a,1452906031543,4,66,9,57,44,0,61,30
5443-a,1452906055964,5,79,74,47,75,74,50,30
5443-a,1452906084958,6,320,79,40,277,38,50,25
5443-a,1452906109729,7,100,23,55,90,13,50,30
5443-a,1452906131669,8,175,47,78,179,24,50,21
5443-a,1452906150171,9,134,90,31,107,79,50,18
5443-a,1452906177444,10,19,88,58,30,53,50,27
5443-a,1452906195657,11,294,86,38,306,83,50,24
5443-a,1452906238506,12,70,50,56,107,23,50,22
5443-a,1452906264850,13,147,48,22,124,93,15,30
5443-a,1452906290318,14,343,83,34,308,62,25,20
5443-a,1452906362981,15,68,70,52,70,54,50,30
5443-a,1452906385630,16,185,8,70,227,0,65,30
5443-a,1452906421465,17,265,91,39,266,91,35,30
5443-a,1452906435096,18,104,99,70,117,100,50,30
5443-a,1452906465950,19,67,74,54,45,95,50,20
5443-a,1452906483824,20,257,80,71,288,34,50,24
5443-a,1452906500060,21,148,42,63,147,52,50,30
5443-a,1452906523531,22,333,79,46,337,68,50,30
5443-a,1452906553149,23,243,42,57,261,56,50,28
5443-a,1452906584641,24,176,83,38,219,31,50,9
5443-a,1452906614002,25,191,34,43,218,54,50,20
