gameid,time,roundNum,condition,clickStatus,clickColH,clickColS,clickColL,clickLocS,clickLocL,alt1Status,alt1ColH,alt1ColS,alt1ColL,alt1LocS,alt1LocL,alt2Status,alt2ColH,alt2ColS,alt2ColL,alt2LocS,alt2LocL,targetD1Diff,targetD2Diff,D1D2Diff,outcome,targetX,targetY,targetHex,alt1X,alt1Y,alt1Hex,alt2X,alt2Y,alt2Hex,clickX,clickY,clickHex
1124-1,1459877206546,1,closer,distr2,248,92,50,3,1,target,226,81,50,1,2,distr1,283,87,50,2,3,19,10,17,false,-56.267328007178776,-58.266523827430746,#1848E7,19.570741727916246,-84.77019563631546,#B011EE,-34.46380659426393,-85.30091462014444,#290AF5,-34.46380659426393,-85.30091462014444,#290AF5
1124-1,1459877215560,2,equal,target,249,25,50,1,2,distr2,54,53,50,3,3,distr1,129,66,50,2,1,58,61,25,true,-8.959198738632518,-23.33951066243004,#69609F,-41.53514580928926,51.291633456160085,#2BD445,31.152618371501077,42.877900701872214,#C3B63C,-8.959198738632518,-23.33951066243004,#69609F
1124-1,1459877234848,3,closer,distr2,291,59,50,3,3,target,301,57,50,2,2,distr1,302,86,50,1,1,6,5,10,false,29.357170269873087,-48.858536140020405,#C837C6,45.573056724055604,-72.93213626945264,#ED12E6,21.143709023172722,-55.081245163334906,#B434CB,21.143709023172722,-55.081245163334906,#B434CB
1124-1,1459877244759,4,further,distr1,85,21,50,2,1,target,87,66,50,1,2,distr2,299,29,50,3,3,19,80,57,false,3.4541731120343018,65.90954929380187,#88D42B,1.830270597700821,20.920088659926655,#849A65,14.05947898714378,-25.363971507042475,#A35BA4,1.830270597700821,20.920088659926655,#849A65
1124-1,1459877260559,5,equal,target,156,84,50,1,3,distr2,239,87,50,2,2,distr1,57,64,50,3,1,29,73,92,true,-76.73781844197846,34.16587801836724,#14EB95,34.85689824096173,53.67491634850714,#D1C92E,-44.80831251717474,-74.57355516108376,#1114EE,-76.73781844197846,34.16587801836724,#14EB95
1124-1,1459877272775,6,equal,target,40,7,50,1,1,distr1,288,10,50,2,2,distr2,58,62,50,3,3,21,31,52,true,5.362311101832846,4.499513267805774,#888277,3.0901699437494723,-9.510565162951536,#87738C,32.854994382458706,52.57898196169842,#CFC930,5.362311101832846,4.499513267805774,#888277
1124-1,1459877284039,7,further,target,82,9,50,1,1,distr1,139,23,50,2,2,distr2,295,80,50,3,3,13,52,46,true,1.2525579086405891,8.912412618674134,#838B74,-17.358320345123758,15.089357666781668,#629D75,33.80946093925597,-72.50462296293199,#D419E6,1.2525579086405891,8.912412618674134,#838B74
1124-1,1459877298070,8,further,target,108,16,50,2,1,distr2,78,99,50,1,3,distr1,153,12,50,3,2,9,32,38,true,-4.944271909999157,15.216904260722458,#73946B,-10.692078290260413,5.447885996874563,#708F81,20.583257390958185,96.83661247264675,#B2FE01,-4.944271909999157,15.216904260722458,#73946B
1124-1,1459877308816,9,further,target,5,45,50,1,2,distr2,185,63,50,2,1,distr1,20,72,50,3,3,15,55,53,true,44.82876141412855,3.9220084236446175,#B95046,67.65786869658541,24.62545031944815,#DB6124,-62.760265979779966,-5.49081179310245,#2FC2D0,44.82876141412855,3.9220084236446175,#B95046
1124-1,1459877321157,10,equal,target,215,13,50,3,3,distr1,164,81,50,2,2,distr2,92,84,50,1,1,39,50,21,true,-10.648976575756894,-7.4564936725636,#6F7D90,-77.86219737100383,22.326625821176936,#18E7B0,-2.9315577230100804,83.94882946960405,#78EB14,-10.648976575756894,-7.4564936725636,#6F7D90
1124-1,1459877330982,11,equal,target,229,31,50,1,3,distr2,347,52,50,3,1,distr1,172,65,50,2,2,44,33,71,true,-20.337829898705724,-23.395996986905928,#5866A7,-64.36742446820207,9.046251562404246,#2DD2BC,50.667243368832224,-11.697454825880998,#C23D5A,-20.337829898705724,-23.395996986905928,#5866A7
1124-1,1459877348021,12,closer,target,116,59,50,2,1,distr2,160,77,50,3,3,distr1,140,86,50,1,2,9,15,12,true,-25.863897660555573,53.02884873165085,#3ECB34,-65.8798221082321,55.27973443304239,#12ED5B,-72.35633180051494,26.335551036076502,#1DE2A0,-25.863897660555573,53.02884873165085,#3ECB34
1124-1,1459877368243,13,further,target,76,15,50,3,2,distr2,285,51,50,1,3,distr1,18,4,50,2,1,18,58,31,true,3.628828433995015,14.554435894139948,#88936C,3.804226065180614,1.2360679774997896,#857D7A,13.199771300228536,-49.26221714074249,#A03EC1,3.628828433995015,14.554435894139948,#88936C
1124-1,1459877394556,14,further,target,311,17,50,1,1,distr1,285,18,50,3,3,distr2,113,59,50,2,2,5,67,69,true,11.15300349283862,-12.830062863787127,#956A8D,4.658742811845365,-17.38666487320323,#8B6996,-23.053136580867154,54.30978635369397,#46CB34,11.15300349283862,-12.830062863787127,#956A8D
1124-1,1459877410628,15,equal,target,209,44,50,1,2,distr2,85,74,50,2,1,distr1,264,61,50,3,3,27,61,98,true,-38.48326711413342,-21.331623290838827,#4781B8,-6.376236259326855,-60.66583561746468,#7032CD,6.449524963326702,73.71840765878918,#8FDE21,-38.48326711413342,-21.331623290838827,#4781B8
1124-1,1459877422292,16,equal,target,210,95,50,1,3,distr2,45,48,50,3,2,distr1,192,50,50,2,1,21,58,42,true,-82.27241335952166,-47.50000000000001,#067FF9,-48.90738003669028,-10.395584540887976,#40A6BF,33.941125496954285,33.94112549695428,#BD9E42,-82.27241335952166,-47.50000000000001,#067FF9
1124-1,1459877437901,17,equal,target,50,48,50,3,3,distr1,289,9,50,2,1,distr2,176,62,50,1,2,43,35,44,true,30.85380526495389,36.770133269710946,#BDA842,2.930113390114407,-8.509667180393853,#87748B,-61.8489711161091,4.324901372135782,#30CFC4,30.85380526495389,36.770133269710946,#BDA842
1124-1,1459877457645,18,further,target,116,8,50,2,1,distr1,104,35,50,3,3,distr2,304,75,50,1,2,18,54,84,true,-3.50696917431262,7.190352370393335,#778A75,-8.467266345988373,33.960350419659875,#6BAC53,41.93946776030602,-62.17781794162812,#DF20D2,-3.50696917431262,7.190352370393335,#778A75
1124-1,1459877468091,19,further,target,113,21,50,3,3,distr1,145,34,50,2,2,distr2,354,41,50,1,1,7,53,61,true,-8.205353698274749,19.330601922501245,#6B9A65,-27.851169505825723,19.50159883593556,#54AB78,40.775397710099206,-4.28566699397379,#B44B56,-8.205353698274749,19.330601922501245,#6B9A65
1124-1,1459877480228,20,closer,target,264,1,50,2,1,distr2,236,11,50,1,2,distr1,200,11,50,3,3,9,11,14,true,-0.10452846326765336,-0.9945218953682734,#7F7E81,-10.336618828644992,-3.7622215765823555,#71848E,-6.151121938178212,-9.11941329810546,#71738E,-0.10452846326765336,-0.9945218953682734,#7F7E81
1124-1,1459877488787,21,closer,distr2,315,71,50,3,1,target,326,78,50,1,3,distr1,343,28,50,2,2,14,7,17,false,64.66493065929326,-43.617046470718236,#E31C8D,26.776533166964988,-8.18640773223664,#A35C70,50.20458146424486,-50.20458146424489,#DA25AD,50.20458146424486,-50.20458146424489,#DA25AD
1124-1,1459877508563,22,further,target,93,2,50,3,3,distr1,10,5,50,2,1,distr2,42,99,50,1,2,9,35,35,true,-0.10467191248588768,1.9972590695091477,#7F827D,4.92403876506104,0.8682408883346516,#867B79,73.57133772226203,66.24393002952696,#FEB201,-0.10467191248588768,1.9972590695091477,#7F827D
1124-1,1459877516262,23,further,target,25,17,50,2,2,distr1,68,0,50,1,3,distr2,312,48,50,3,1,13,34,27,true,15.407232379623048,7.18451044959189,#957C6A,0,0,#808080,32.118269105225174,-35.67095162291494,#BD42A4,15.407232379623048,7.18451044959189,#957C6A
1124-1,1459877526355,24,further,target,120,39,50,2,2,distr2,179,65,50,1,3,distr1,131,81,50,3,1,14,27,30,true,-19.499999999999993,33.77499074759311,#4EB14E,-53.14078134823108,61.13147599804454,#18E73E,-64.99010018516543,1.1344064184234235,#2DD2D0,-19.499999999999993,33.77499074759311,#4EB14E
1124-1,1459877536754,25,closer,target,84,4,50,2,1,distr2,81,16,50,3,3,distr1,39,17,50,1,2,11,12,13,true,0.41811385307061383,3.978087581473093,#81857A,13.211481344768504,10.698446647847236,#95866A,2.502951440643695,15.803013449522204,#86946B,0.41811385307061383,3.978087581473093,#81857A
