x,y,hex
0,0,#808080
2,0,#827D7D
4,0,#857A7A
6,0,#877878
8,0,#8A7575
10,0,#8C7373
12,0,#8F7070
14,0,#916E6E
16,0,#946B6B
18,0,#966969
20,0,#996666
22,0,#9C6363
24,0,#9E6161
26,0,#A15E5E
28,0,#A35C5C
30,0,#A65959
32,0,#A85757
34,0,#AB5454
36,0,#AD5252
38,0,#B04F4F
40,0,#B34D4D
42,0,#B54A4A
44,0,#B84747
46,0,#BA4545
48,0,#BD4242
50,0,#BF4040
52,0,#C23D3D
54,0,#C43B3B
56,0,#C73838
58,0,#C93636
60,0,#CC3333
62,0,#CF3030
64,0,#D12E2E
66,0,#D42B2B
68,0,#D62929
70,0,#D92626
72,0,#DB2424
74,0,#DE2121
76,0,#E01F1F
78,0,#E31C1C
80,0,#E61919
82,0,#E81717
84,0,#EB1414
86,0,#ED1212
88,0,#F00F0F
90,0,#F20D0D
92,0,#F50A0A
94,0,#F70808
96,0,#FA0505
98,0,#FC0303
0,0,#808080
1.9987816540381915,0.06979899340500194,#827D7D
3.997563308076383,0.13959798681000388,#857B7A
5.996344962114574,0.2093969802150058,#877878
7.995126616152766,0.27919597362000775,#8A7675
9.993908270190957,0.3489949670250097,#8C7473
11.992689924229149,0.4187939604300116,#8F7170
13.99147157826734,0.48859295383501355,#916F6E
15.990253232305532,0.5583919472400155,#946C6B
17.989034886343724,0.6281909406450175,#966A69
19.987816540381914,0.6979899340500194,#996866
21.986598194420107,0.7677889274550214,#9C6563
23.985379848458297,0.8375879208600232,#9E6361
25.98416150249649,0.9073869142650252,#A1615E
27.98294315653468,0.9771859076700271,#A35E5C
29.981724810572874,1.0469849010750292,#A65C59
31.980506464611064,1.116783894480031,#A85957
33.97928811864926,1.1865828878850329,#AB5754
35.97806977268745,1.256381881290035,#AD5552
37.97685142672564,1.3261808746950368,#B0524F
39.97563308076383,1.3959798681000388,#B3504D
41.974414734802025,1.4657788615050407,#B54E4A
43.973196388840215,1.5355778549100427,#B84B47
45.971978042878405,1.6053768483150446,#BA4945
47.970759696916595,1.6751758417200464,#BD4642
49.969541350954785,1.7449748351250485,#BF4440
51.96832300499298,1.8147738285300503,#C2423D
53.96710465903117,1.8845728219350524,#C43F3B
55.96588631306936,1.9543718153400542,#C73D38
57.96466796710755,2.024170808745056,#C93A36
59.96344962114575,2.0939698021500583,#CC3833
61.96223127518394,2.16376879555506,#CF3630
63.96101292922213,2.233567788960062,#D1332E
65.95979458326032,2.303366782365064,#D4312B
67.95857623729852,2.3731657757700657,#D62F29
69.9573578913367,2.442964769175068,#D92C26
71.9561395453749,2.51276376258007,#DB2A24
73.95492119941309,2.5825627559850717,#DE2721
75.95370285345128,2.6523617493900735,#E0251F
77.95248450748947,2.722160742795076,#E3231C
79.95126616152766,2.7919597362000776,#E62019
81.95004781556585,2.8617587296050795,#E81E17
83.94882946960405,2.9315577230100813,#EB1C14
85.94761112364223,3.001356716415083,#ED1912
87.94639277768043,3.0711557098200855,#F0170F
89.94517443171861,3.1409547032250873,#F2140D
91.94395608575681,3.210753696630089,#F5120A
93.942737739795,3.280552690035091,#F71008
95.94151939383319,3.350351683440093,#FA0D05
97.94030104787139,3.420150676845095,#FC0B03
0,0,#808080
1.9951281005196484,0.1395129474882506,#827D7D
3.990256201039297,0.2790258949765012,#857B7A
5.985384301558945,0.4185388424647518,#877978
7.980512402078594,0.5580517899530024,#8A7775
9.975640502598242,0.697564737441253,#8C7473
11.97076860311789,0.8370776849295036,#8F7270
13.965896703637538,0.9765906324177542,#91706E
15.961024804157187,1.1161035799060048,#946E6B
17.956152904676834,1.2556165273942554,#966C69
19.951281005196485,1.395129474882506,#996966
21.946409105716132,1.5346424223707567,#9C6763
23.94153720623578,1.6741553698590073,#9E6561
25.93666530675543,1.8136683173472579,#A1635E
27.931793407275077,1.9531812648355085,#A3615C
29.926921507794727,2.0926942123237593,#A65E59
31.922049608314374,2.2322071598120097,#A85C57
33.917177708834025,2.37172010730026,#AB5A54
35.91230580935367,2.511233054788511,#AD5852
37.90743390987332,2.6507460022767617,#B0564F
39.90256201039297,2.790258949765012,#B3534D
41.89769011091261,2.9297718972532625,#B5514A
43.892818211432264,3.0692848447415133,#B84F47
45.887946311951914,3.208797792229764,#BA4D45
47.88307441247156,3.3483107397180145,#BD4A42
49.87820251299121,3.487823687206265,#BF4840
51.87333061351086,3.6273366346945157,#C2463D
53.86845871403051,3.7668495821827666,#C4443B
55.86358681455015,3.906362529671017,#C74238
57.858714915069804,4.045875477159267,#C93F36
59.853843015589455,4.185388424647519,#CC3D33
61.8489711161091,4.324901372135769,#CF3B30
63.84409921662875,4.464414319624019,#D1392E
65.8392273171484,4.60392726711227,#D4372B
67.83435541766805,4.74344021460052,#D63429
69.8294835181877,4.882953162088771,#D93226
71.82461161870734,5.022466109577022,#DB3024
73.81973971922699,5.161979057065272,#DE2E21
75.81486781974664,5.301492004553523,#E02C1F
77.80999592026629,5.441004952041774,#E3291C
79.80512402078594,5.580517899530024,#E62719
81.80025212130559,5.720030847018275,#E82517
83.79538022182523,5.859543794506525,#EB2314
85.79050832234488,5.999056741994776,#ED2012
87.78563642286453,6.138569689483027,#F01E0F
89.78076452338418,6.278082636971277,#F21C0D
91.77589262390383,6.417595584459528,#F51A0A
93.77102072442348,6.557108531947779,#F71808
95.76614882494312,6.696621479436029,#FA1505
97.76127692546277,6.836134426924279,#FC1303
0,0,#808080
1.9890437907365466,0.20905692653530694,#827D7D
3.978087581473093,0.4181138530706139,#857B7A
5.967131372209639,0.6271707796059208,#877978
7.956175162946186,0.8362277061412278,#8A7775
9.945218953682733,1.0452846326765348,#8C7573
11.934262744419279,1.2543415592118417,#8F7370
13.923306535155826,1.4633984857471485,#91716E
15.912350325892373,1.6724554122824555,#946F6B
17.901394116628918,1.8815123388177626,#966D69
19.890437907365467,2.0905692653530696,#996B66
21.879481698102012,2.2996261918883762,#9C6963
23.868525488838557,2.5086831184236833,#9E6761
25.857569279575106,2.7177400449589904,#A1655E
27.84661307031165,2.926796971494297,#A3635C
29.8356568610482,3.135853898029604,#A66159
31.824700651784745,3.344910824564911,#A85F57
33.81374444252129,3.553967751100218,#AB5D54
35.802788233257836,3.763024677635525,#AD5B52
37.79183202399439,3.972081604170832,#B0594F
39.78087581473093,4.181138530706139,#B3574D
41.76991960546748,4.390195457241446,#B5554A
43.758963396204024,4.5992523837767525,#B85347
45.74800718694057,4.80830931031206,#BA5145
47.737050977677114,5.017366236847367,#BD4F42
49.72609476841367,5.226423163382673,#BF4D40
51.71513855915021,5.435480089917981,#C24A3D
53.70418234988676,5.644537016453287,#C4483B
55.6932261406233,5.853593942988594,#C74638
57.68226993135985,6.062650869523901,#C94436
59.6713137220964,6.271707796059208,#CC4233
61.660357512832945,6.4807647225945155,#CF4030
63.64940130356949,6.689821649129822,#D13E2E
65.63844509430604,6.898878575665129,#D43C2B
67.62748888504258,7.107935502200436,#D63A29
69.61653267577913,7.316992428735743,#D93826
71.60557646651567,7.52604935527105,#DB3624
73.59462025725222,7.735106281806357,#DE3421
75.58366404798878,7.944163208341664,#E0321F
77.57270783872532,8.153220134876971,#E3301C
79.56175162946187,8.362277061412279,#E62E19
81.55079542019841,8.571333987947584,#E82C17
83.53983921093496,8.780390914482892,#EB2A14
85.5288830016715,8.9894478410182,#ED2812
87.51792679240805,9.198504767553505,#F0260F
89.5069705831446,9.407561694088812,#F2240D
91.49601437388114,9.61661862062412,#F5220A
93.48505816461768,9.825675547159426,#F72008
95.47410195535423,10.034732473694733,#FA1E05
97.46314574609079,10.24378940023004,#FC1C03
0,0,#808080
1.9805361374831407,0.2783462019201309,#827E7D
3.9610722749662814,0.5566924038402618,#857C7A
5.941608412449423,0.8350386057603927,#877A78
7.922144549932563,1.1133848076805235,#8A7875
9.902680687415703,1.3917310096006543,#8C7673
11.883216824898845,1.6700772115207854,#8F7470
13.863752962381986,1.9484234134409162,#91726E
15.844289099865126,2.226769615361047,#94716B
17.824825237348268,2.505115817281178,#966F69
19.805361374831406,2.7834620192013086,#996D66
21.78589751231455,3.0618082211214395,#9C6B63
23.76643364979769,3.3401544230415707,#9E6961
25.74696978728083,3.6185006249617016,#A1675E
27.72750592476397,3.8968468268818324,#A3655C
29.70804206224711,4.175193028801963,#A66359
31.68857819973025,4.453539230722094,#A86257
33.669114337213394,4.731885432642225,#AB6054
35.649650474696536,5.010231634562356,#AD5E52
37.63018661217967,5.288577836482487,#B05C4F
39.61072274966281,5.566924038402617,#B35A4D
41.591258887145955,5.845270240322749,#B5584A
43.5717950246291,6.123616442242879,#B85647
45.55233116211224,6.40196264416301,#BA5445
47.53286729959538,6.6803088460831415,#BD5342
49.513403437078516,6.958655048003272,#BF5140
51.49393957456166,7.237001249923403,#C24F3D
53.4744757120448,7.5153474518435335,#C44D3B
55.45501184952794,7.793693653763665,#C74B38
57.435547987011084,8.072039855683796,#C94936
59.41608412449422,8.350386057603925,#CC4733
61.39662026197736,8.628732259524057,#CF4630
63.3771563994605,8.907078461444188,#D1442E
65.35769253694365,9.18542466336432,#D4422B
67.33822867442679,9.46377086528445,#D64029
69.31876481190993,9.74211706720458,#D93E26
71.29930094939307,10.020463269124711,#DB3C24
73.27983708687621,10.298809471044843,#DE3A21
75.26037322435934,10.577155672964974,#E0381F
77.24090936184248,10.855501874885103,#E3371C
79.22144549932563,11.133848076805235,#E63519
81.20198163680877,11.412194278725366,#E83317
83.18251777429191,11.690540480645497,#EB3114
85.16305391177505,11.968886682565628,#ED2F12
87.1435900492582,12.247232884485758,#F02D0F
89.12412618674134,12.52557908640589,#F22B0D
91.10466232422448,12.80392528832602,#F5290A
93.08519846170762,13.082271490246152,#F72808
95.06573459919076,13.360617692166283,#FA2605
97.04627073667389,13.638963894086412,#FC2403
0,0,#808080
1.969615506024416,0.34729635533386066,#827E7D
3.939231012048832,0.6945927106677213,#857C7A
5.908846518073248,1.041889066001582,#877A78
7.878462024097664,1.3891854213354426,#8A7975
9.84807753012208,1.7364817766693033,#8C7773
11.817693036146496,2.083778132003164,#8F7570
13.787308542170912,2.4310744873370247,#91746E
15.756924048195328,2.7783708426708853,#94726B
17.726539554219745,3.125667198004746,#967069
19.69615506024416,3.4729635533386065,#996F66
21.665770566268577,3.820259908672467,#9C6D63
23.63538607229299,4.167556264006328,#9E6B61
25.60500157831741,4.514852619340188,#A1695E
27.574617084341824,4.862148974674049,#A3685C
29.544232590366242,5.2094453300079095,#A66659
31.513848096390657,5.556741685341771,#A86457
33.48346360241507,5.904038040675632,#AB6354
35.45307910843949,6.251334396009492,#AD6152
37.42269461446391,6.598630751343353,#B05F4F
39.39231012048832,6.945927106677213,#B35E4D
41.361925626512736,7.293223462011074,#B55C4A
43.331541132537154,7.640519817344934,#B85A47
45.30115663856157,7.987816172678795,#BA5845
47.27077214458598,8.335112528012656,#BD5742
49.2403876506104,8.682408883346517,#BF5540
51.21000315663482,9.029705238680377,#C2533D
53.17961866265923,9.377001594014239,#C4523B
55.14923416868365,9.724297949348099,#C75038
57.118849674708066,10.071594304681959,#C94E36
59.088465180732484,10.418890660015819,#CC4C33
61.058080686756895,10.766187015349681,#CF4B30
63.02769619278131,11.113483370683541,#D1492E
64.99731169880573,11.460779726017401,#D4472B
66.96692720483014,11.808076081351263,#D64629
68.93654271085457,12.155372436685123,#D94426
70.90615821687898,12.502668792018984,#DB4224
72.87577372290339,12.849965147352844,#DE4121
74.84538922892781,13.197261502686706,#E03F1F
76.81500473495223,13.544557858020566,#E33D1C
78.78462024097664,13.891854213354426,#E63C19
80.75423574700106,14.239150568688288,#E83A17
82.72385125302547,14.586446924022148,#EB3814
84.69346675904988,14.933743279356008,#ED3612
86.66308226507431,15.281039634689868,#F0350F
88.63269777109872,15.62833599002373,#F2330D
90.60231327712314,15.97563234535759,#F5310A
92.57192878314756,16.322928700691453,#F73008
94.54154428917197,16.670225056025313,#FA2E05
96.51115979519639,17.017521411359173,#FC2C03
0,0,#808080
1.9562952014676114,0.4158233816355187,#827E7D
3.9125904029352228,0.8316467632710374,#857C7A
5.868885604402834,1.247470144906556,#877B78
7.8251808058704455,1.6632935265420747,#8A7975
9.781476007338057,2.0791169081775935,#8C7873
11.737771208805668,2.494940289813112,#8F7670
13.69406641027328,2.9107636714486307,#91756E
15.650361611740891,3.3265870530841495,#94736B
17.606656813208502,3.7424104347196683,#967269
19.562952014676114,4.158233816355187,#997066
21.519247216143725,4.574057197990705,#9C6F63
23.475542417611337,4.989880579626224,#9E6D61
25.431837619078948,5.405703961261743,#A16C5E
27.38813282054656,5.821527342897261,#A36A5C
29.34442802201417,6.237350724532781,#A66959
31.300723223481782,6.653174106168299,#A86757
33.25701842494939,7.068997487803817,#AB6554
35.213313626417005,7.4848208694393366,#AD6452
37.169608827884616,7.900644251074855,#B0624F
39.12590402935223,8.316467632710374,#B3614D
41.08219923081984,8.732291014345892,#B55F4A
43.03849443228745,9.14811439598141,#B85E47
44.99478963375506,9.56393777761693,#BA5C45
46.95108483522267,9.979761159252448,#BD5B42
48.907380036690284,10.395584540887967,#BF5940
50.863675238157896,10.811407922523486,#C2583D
52.81997043962551,11.227231304159005,#C4563B
54.77626564109312,11.643054685794523,#C75538
56.73256084256073,12.058878067430042,#C95336
58.68885604402834,12.474701449065561,#CC5233
60.64515124549595,12.890524830701079,#CF5030
62.601446446963564,13.306348212336598,#D14F2E
64.55774164843118,13.722171593972117,#D44D2B
66.51403684989879,14.137994975607635,#D64B29
68.4703320513664,14.553818357243154,#D94A26
70.42662725283401,14.969641738878673,#DB4824
72.38292245430162,15.38546512051419,#DE4721
74.33921765576923,15.80128850214971,#E0451F
76.29551285723684,16.21711188378523,#E3441C
78.25180805870446,16.63293526542075,#E64219
80.20810326017207,17.048758647056268,#E84117
82.16439846163968,17.464582028691783,#EB3F14
84.12069366310729,17.880405410327302,#ED3E12
86.0769888645749,18.29622879196282,#F03C0F
88.03328406604251,18.71205217359834,#F23B0D
89.98957926751012,19.12787555523386,#F5390A
91.94587446897773,19.54369893686938,#F73808
93.90216967044535,19.959522318504895,#FA3605
95.85846487191296,20.375345700140414,#FC3503
0,0,#808080
1.940591452551993,0.48384379119933546,#827E7D
3.881182905103986,0.9676875823986709,#857D7A
5.821774357655979,1.4515313735980064,#877B78
7.762365810207972,1.9353751647973418,#8A7A75
9.702957262759965,2.4192189559966772,#8C7973
11.643548715311958,2.903062747196013,#8F7770
13.58414016786395,3.386906538395348,#91766E
15.524731620415944,3.8707503295946837,#94756B
17.465323072967937,4.354594120794019,#967369
19.40591452551993,4.8384379119933545,#997266
21.34650597807192,5.32228170319269,#9C7163
23.287097430623916,5.806125494392026,#9E6F61
25.227688883175908,6.289969285591361,#A16E5E
27.1682803357279,6.773813076790696,#A36C5C
29.108871788279895,7.257656867990032,#A66B59
31.049463240831887,7.741500659189367,#A86A57
32.99005469338388,8.225344450388702,#AB6854
34.930646145935874,8.709188241588038,#AD6752
36.871237598487866,9.193032032787373,#B0664F
38.81182905103986,9.676875823986709,#B3644D
40.75242050359185,10.160719615186045,#B5634A
42.69301195614384,10.64456340638538,#B86247
44.63360340869584,11.128407197584716,#BA6045
46.57419486124783,11.612250988784051,#BD5F42
48.514786313799824,12.096094779983387,#BF5E40
