gameid, time, roundNum, trialType, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, basiclevelClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Basiclevel, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Basiclevel, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Basiclevel, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Basiclevel, alt4superdomain
8430-f,1449255078656,1,subSuperTrial,distr12,pandaBear,target,4,4,bear,animal,koalaBear,distrClass1,2,2,bear,animal,blackStimulus,NA,5,5,NA,NA,rabbit,distrClass2,3,3,NA,animal,blackStimulus,NA,1,1,NA,NA
8430-f,1449255085425,2,subSuperTrial,distr23,dressShirt,target,3,2,shirt,clothing,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,horse,distrClass3,4,3,NA,animal,bathrobe,distrClass2,2,4,NA,clothing
8430-f,1449255092011,3,colorSizeTrial,colorOnly4Distr1Same,small_pink_hairdryer,target,4,5,NA,NA,big_purple_hairdryer,distractor,2,4,NA,NA,big_purple_hairdryer,distractor,5,3,NA,NA,small_purple_hairdryer,distractor,3,1,NA,NA,big_purple_hairdryer,distractor,1,2,NA,NA
8430-f,1449255097482,4,subSuperTrial,distr33,convertible,target,4,2,car,vehicle,blackStimulus,NA,5,5,NA,NA,grasses,distrClass3,2,3,NA,plant,blackStimulus,NA,1,1,NA,NA,iguana,distrClass3,3,4,NA,animal
8430-f,1449255101921,5,subSuperTrial,distr23,grizzlyBear,target,3,4,bear,animal,gloves,distrClass3,4,3,NA,clothing,blackStimulus,NA,1,1,NA,NA,snake,distrClass2,2,2,NA,animal,blackStimulus,NA,5,5,NA,NA
8430-f,1449255108202,6,colorSizeTrial,sizeOnly2Distr1Same,big_pink_weddingcake,target,2,2,NA,NA,small_pink_weddingcake,distractor,4,4,NA,NA,small_white_weddingcake,distractor,3,3,NA,NA,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA
8430-f,1449255113913,7,subSuperTrial,distr12,jellyBeans,target,4,2,candy,snack,blackStimulus,NA,5,5,NA,NA,candyCorn,distrClass1,3,3,candy,snack,popcorn,distrClass2,2,4,NA,snack,blackStimulus,NA,1,1,NA,NA
8430-f,1449255118762,8,colorSizeTrial,colorOnly4Distr3Same,big_pink_phone,target,5,1,NA,NA,big_white_phone,distractor,3,5,NA,NA,big_white_phone,distractor,2,4,NA,NA,small_white_phone,distractor,1,2,NA,NA,big_white_phone,distractor,4,3,NA,NA
8430-f,1449255122944,9,subSuperTrial,distr23,tulip,target,2,4,flower,plant,rosemary,distrClass2,3,2,NA,plant,lamp,distrClass3,4,3,NA,furniture,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA
8430-f,1449255128045,10,colorSizeTrial,colorOnly3Distr1Same,big_green_rock,target,4,1,NA,NA,blackStimulus,NA,5,5,NA,NA,big_purple_rock,distractor,1,3,NA,NA,small_purple_rock,distractor,3,2,NA,NA,small_purple_rock,distractor,2,4,NA,NA
8430-f,1449255133186,11,colorSizeTrial,sizeOnly2Distr1Same,small_green_binder,target,2,3,NA,NA,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,big_green_binder,distractor,3,2,NA,NA,big_blue_binder,distractor,4,4,NA,NA
8430-f,1449255138425,12,colorSizeTrial,colorOnly2Distr1Same,small_green_chair,target,2,2,NA,NA,blackStimulus,NA,5,5,NA,NA,small_red_chair,distractor,3,4,NA,NA,blackStimulus,NA,1,1,NA,NA,big_red_chair,distractor,4,3,NA,NA
8430-f,1449255143418,13,subSuperTrial,distr22,daisy,target,2,2,flower,plant,blackStimulus,NA,1,1,NA,NA,rosemary,distrClass2,3,4,NA,plant,blackStimulus,NA,5,5,NA,NA,grasses,distrClass2,4,3,NA,plant
8430-f,1449255148434,14,colorSizeTrial,colorOnly4Distr1Same,small_yellow_shoe,target,1,2,NA,NA,big_white_shoe,distractor,2,4,NA,NA,big_white_shoe,distractor,3,1,NA,NA,big_white_shoe,distractor,4,5,NA,NA,small_white_shoe,distractor,5,3,NA,NA
8430-f,1449255152699,15,colorSizeTrial,colorOnly3Distr1Same,big_orange_cap,target,1,1,NA,NA,small_blue_cap,distractor,4,2,NA,NA,big_blue_cap,distractor,3,4,NA,NA,blackStimulus,NA,5,5,NA,NA,small_blue_cap,distractor,2,3,NA,NA
8430-f,1449255156785,16,colorSizeTrial,colorOnly3Distr3Same,big_red_pepper,target,4,1,NA,NA,big_green_pepper,distractor,2,2,NA,NA,big_green_pepper,distractor,1,4,NA,NA,big_green_pepper,distractor,3,3,NA,NA,blackStimulus,NA,5,5,NA,NA
8430-f,1449255161122,17,subSuperTrial,distr22,hummingBird,target,2,2,bird,animal,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,horse,distrClass2,3,4,NA,animal,bison,distrClass2,4,3,NA,animal
8430-f,1449255165177,18,subSuperTrial,distr33,dalmatian,target,3,2,dog,animal,gloves,distrClass3,2,4,NA,clothing,blackStimulus,NA,5,5,NA,NA,pretzels,distrClass3,4,3,NA,snack,blackStimulus,NA,1,1,NA,NA
8430-f,1449255171377,19,subSuperTrial,distr12,skittles,target,2,2,candy,snack,candyCorn,distrClass1,4,3,candy,snack,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,chips,distrClass2,3,4,NA,snack
8430-f,1449255176559,20,colorSizeTrial,sizeOnly3Distr1Same,small_blue_cushion,target,4,4,NA,NA,big_orange_cushion,distractor,2,3,NA,NA,big_blue_cushion,distractor,1,2,NA,NA,blackStimulus,NA,5,5,NA,NA,big_orange_cushion,distractor,3,1,NA,NA
8430-f,1449255181075,21,subSuperTrial,distr23,germanShepherd,target,3,2,dog,animal,blackStimulus,NA,5,5,NA,NA,gloves,distrClass3,2,3,NA,clothing,blackStimulus,NA,1,1,NA,NA,crocodile,distrClass2,4,4,NA,animal
8430-f,1449255185785,22,subSuperTrial,distr22,tShirt,target,3,4,shirt,clothing,bathrobe,distrClass2,2,2,NA,clothing,blackStimulus,NA,5,5,NA,NA,dress,distrClass2,4,3,NA,clothing,blackStimulus,NA,1,1,NA,NA
8430-f,1449255190090,23,subSuperTrial,distr22,suv,target,3,4,car,vehicle,ambulance,distrClass2,2,2,NA,vehicle,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,firetruck,distrClass2,4,3,NA,vehicle
8430-f,1449255215843,24,subSuperTrial,distr23,sportsCar,target,4,2,car,vehicle,blackStimulus,NA,5,5,NA,NA,rhino,distrClass3,3,4,NA,animal,blackStimulus,NA,1,1,NA,NA,motorcycle,distrClass2,2,3,NA,vehicle
8430-f,1449255223417,25,colorSizeTrial,sizeOnly4Distr3Same,small_purple_bike,target,2,2,NA,NA,big_red_bike,distractor,4,4,NA,NA,big_purple_bike,distractor,5,1,NA,NA,big_purple_bike,distractor,1,3,NA,NA,big_purple_bike,distractor,3,5,NA,NA
8430-f,1449255229355,26,colorSizeTrial,colorOnly3Distr2Same,big_black_comb,target,2,1,NA,NA,blackStimulus,NA,5,5,NA,NA,small_blue_comb,distractor,4,3,NA,NA,big_blue_comb,distractor,1,4,NA,NA,big_blue_comb,distractor,3,2,NA,NA
