iterationName	gameid	time	blueSquare1	blueSquare2	redSquare1	redSquare2	spottedCircle1	spottedCircle2	stripedCircle1	stripedCircle2	label	finalRole	eventType
pilot2	1647-141fab61-8c0d-417b-a92f-e4d1e581b860	1502202756371	true	false	true	false	false	false	false	false	walo	speaker	postTestData
pilot2	1647-141fab61-8c0d-417b-a92f-e4d1e581b860	1502202760927	false	false	false	false	true	true	true	true	walo	listener	postTestData
pilot2	1647-141fab61-8c0d-417b-a92f-e4d1e581b860	1502202762709	false	false	false	false	false	false	false	false	pila	speaker	postTestData
pilot2	1647-141fab61-8c0d-417b-a92f-e4d1e581b860	1502202763429	false	false	false	false	false	false	false	false	wiwu	speaker	postTestData
pilot2	1647-141fab61-8c0d-417b-a92f-e4d1e581b860	1502202763717	false	false	false	true	false	false	true	true	pila	listener	postTestData
pilot2	1647-141fab61-8c0d-417b-a92f-e4d1e581b860	1502202765743	false	false	false	true	false	false	false	false	lono	speaker	postTestData
pilot2	1647-141fab61-8c0d-417b-a92f-e4d1e581b860	1502202766186	false	false	false	false	false	true	false	false	wiwu	listener	postTestData
pilot2	1647-141fab61-8c0d-417b-a92f-e4d1e581b860	1502202767669	false	false	false	false	false	true	false	false	wegi	speaker	postTestData
pilot2	1647-141fab61-8c0d-417b-a92f-e4d1e581b860	1502202768716	false	true	true	false	false	false	false	false	lono	listener	postTestData
pilot2	1647-141fab61-8c0d-417b-a92f-e4d1e581b860	1502202768877	false	false	false	false	false	false	true	false	gugu	speaker	postTestData
pilot2	1647-141fab61-8c0d-417b-a92f-e4d1e581b860	1502202769991	false	true	false	false	false	false	false	false	mohi	speaker	postTestData
pilot2	1647-141fab61-8c0d-417b-a92f-e4d1e581b860	1502202771114	false	false	false	false	false	false	false	true	popi	speaker	postTestData
pilot2	1647-141fab61-8c0d-417b-a92f-e4d1e581b860	1502202771423	false	false	false	false	false	false	true	true	wegi	listener	postTestData
pilot2	1647-141fab61-8c0d-417b-a92f-e4d1e581b860	1502202773034	true	false	false	false	false	false	false	false	hika	speaker	postTestData
pilot2	1647-141fab61-8c0d-417b-a92f-e4d1e581b860	1502202773373	false	false	false	false	false	true	false	false	gugu	listener	postTestData
pilot2	1647-141fab61-8c0d-417b-a92f-e4d1e581b860	1502202773968	false	false	false	false	true	false	false	false	mipe	speaker	postTestData
pilot2	1647-141fab61-8c0d-417b-a92f-e4d1e581b860	1502202775366	false	false	false	false	false	false	false	false	kuga	speaker	postTestData
pilot2	1647-141fab61-8c0d-417b-a92f-e4d1e581b860	1502202775531	false	false	false	false	false	false	false	false	lume	speaker	postTestData
pilot2	1647-141fab61-8c0d-417b-a92f-e4d1e581b860	1502202775728	false	false	false	false	false	false	false	false	wuni	speaker	postTestData
pilot2	1647-141fab61-8c0d-417b-a92f-e4d1e581b860	1502202775923	false	false	false	false	false	false	false	false	nuge	speaker	postTestData
pilot2	1647-141fab61-8c0d-417b-a92f-e4d1e581b860	1502202776132	false	false	false	false	false	false	false	false	kiho	speaker	postTestData
pilot2	1647-141fab61-8c0d-417b-a92f-e4d1e581b860	1502202776267	false	false	false	false	false	false	false	false	mewe	speaker	postTestData
pilot2	1647-141fab61-8c0d-417b-a92f-e4d1e581b860	1502202776879	false	false	false	false	false	true	true	false	mohi	listener	postTestData
pilot2	1647-141fab61-8c0d-417b-a92f-e4d1e581b860	1502202779764	false	false	false	false	true	true	false	false	popi	listener	postTestData
pilot2	1647-141fab61-8c0d-417b-a92f-e4d1e581b860	1502202784610	false	false	false	false	false	false	false	false	hika	listener	postTestData
pilot2	1647-141fab61-8c0d-417b-a92f-e4d1e581b860	1502202786989	false	false	false	false	false	true	false	false	mipe	listener	postTestData
pilot2	1647-141fab61-8c0d-417b-a92f-e4d1e581b860	1502202788193	false	false	false	false	false	false	true	false	kuga	listener	postTestData
pilot2	1647-141fab61-8c0d-417b-a92f-e4d1e581b860	1502202789453	false	false	false	false	false	false	false	true	lume	listener	postTestData
pilot2	1647-141fab61-8c0d-417b-a92f-e4d1e581b860	1502202791646	false	false	false	false	false	true	false	false	wuni	listener	postTestData
pilot2	1647-141fab61-8c0d-417b-a92f-e4d1e581b860	1502202792823	false	false	false	false	false	false	true	false	nuge	listener	postTestData
pilot2	1647-141fab61-8c0d-417b-a92f-e4d1e581b860	1502202793948	false	false	false	false	false	true	false	false	kiho	listener	postTestData
pilot2	1647-141fab61-8c0d-417b-a92f-e4d1e581b860	1502202795836	false	false	false	false	true	false	false	false	mewe	listener	postTestData
