iterationName	gameid	time	blueSquare1	blueSquare2	redSquare1	redSquare2	spottedCircle1	spottedCircle2	stripedCircle1	stripedCircle2	label	finalRole	eventType
pilot2	5484-586f80d7-bfe6-453c-9e21-b7213c7c656c	1502207140781	false	false	false	false	false	false	false	false	luha	speaker	postTestData
pilot2	5484-586f80d7-bfe6-453c-9e21-b7213c7c656c	1502207142040	false	false	false	false	false	false	false	false	wemi	speaker	postTestData
pilot2	5484-586f80d7-bfe6-453c-9e21-b7213c7c656c	1502207142740	false	false	false	false	false	false	false	false	lago	speaker	postTestData
pilot2	5484-586f80d7-bfe6-453c-9e21-b7213c7c656c	1502207146481	false	false	false	false	true	true	false	false	pone	speaker	postTestData
pilot2	5484-586f80d7-bfe6-453c-9e21-b7213c7c656c	1502207148146	true	false	false	false	false	false	false	false	luha	listener	postTestData
pilot2	5484-586f80d7-bfe6-453c-9e21-b7213c7c656c	1502207148428	false	false	false	false	false	false	false	false	kuku	speaker	postTestData
pilot2	5484-586f80d7-bfe6-453c-9e21-b7213c7c656c	1502207151412	false	false	false	false	false	true	false	false	wemi	listener	postTestData
pilot2	5484-586f80d7-bfe6-453c-9e21-b7213c7c656c	1502207152874	false	false	true	true	false	false	false	false	meho	speaker	postTestData
pilot2	5484-586f80d7-bfe6-453c-9e21-b7213c7c656c	1502207153271	false	false	true	false	false	false	false	false	lago	listener	postTestData
pilot2	5484-586f80d7-bfe6-453c-9e21-b7213c7c656c	1502207156405	false	false	false	false	false	false	true	false	pone	listener	postTestData
pilot2	5484-586f80d7-bfe6-453c-9e21-b7213c7c656c	1502207156857	false	false	false	false	false	false	true	true	niwi	speaker	postTestData
pilot2	5484-586f80d7-bfe6-453c-9e21-b7213c7c656c	1502207158239	false	false	false	false	true	false	false	false	kuku	listener	postTestData
pilot2	5484-586f80d7-bfe6-453c-9e21-b7213c7c656c	1502207160670	true	false	false	false	false	false	false	false	meho	listener	postTestData
pilot2	5484-586f80d7-bfe6-453c-9e21-b7213c7c656c	1502207160904	false	false	false	false	false	false	false	true	nehi	speaker	postTestData
pilot2	5484-586f80d7-bfe6-453c-9e21-b7213c7c656c	1502207161457	false	false	false	false	false	false	false	false	nunu	speaker	postTestData
pilot2	5484-586f80d7-bfe6-453c-9e21-b7213c7c656c	1502207162724	false	false	true	false	false	false	false	false	niwi	listener	postTestData
pilot2	5484-586f80d7-bfe6-453c-9e21-b7213c7c656c	1502207164092	false	false	false	false	false	false	false	true	nehi	listener	postTestData
pilot2	5484-586f80d7-bfe6-453c-9e21-b7213c7c656c	1502207165664	false	false	false	false	false	true	false	false	nunu	listener	postTestData
pilot2	5484-586f80d7-bfe6-453c-9e21-b7213c7c656c	1502207167412	false	false	true	false	false	false	false	false	hipo	listener	postTestData
pilot2	5484-586f80d7-bfe6-453c-9e21-b7213c7c656c	1502207167591	true	true	false	true	false	false	false	false	hipo	speaker	postTestData
pilot2	5484-586f80d7-bfe6-453c-9e21-b7213c7c656c	1502207168593	false	false	false	false	false	false	false	false	lihu	speaker	postTestData
pilot2	5484-586f80d7-bfe6-453c-9e21-b7213c7c656c	1502207169364	false	false	false	false	false	false	false	false	waka	speaker	postTestData
pilot2	5484-586f80d7-bfe6-453c-9e21-b7213c7c656c	1502207169509	false	false	false	true	false	false	false	false	lihu	listener	postTestData
pilot2	5484-586f80d7-bfe6-453c-9e21-b7213c7c656c	1502207170208	false	false	false	false	false	false	false	false	gega	speaker	postTestData
pilot2	5484-586f80d7-bfe6-453c-9e21-b7213c7c656c	1502207170880	false	false	false	false	false	false	false	false	wiki	speaker	postTestData
pilot2	5484-586f80d7-bfe6-453c-9e21-b7213c7c656c	1502207171142	false	false	false	false	false	false	false	true	waka	listener	postTestData
pilot2	5484-586f80d7-bfe6-453c-9e21-b7213c7c656c	1502207171866	false	false	false	false	false	false	false	false	wumu	speaker	postTestData
pilot2	5484-586f80d7-bfe6-453c-9e21-b7213c7c656c	1502207173561	false	false	false	false	true	false	false	false	gega	listener	postTestData
pilot2	5484-586f80d7-bfe6-453c-9e21-b7213c7c656c	1502207175077	false	true	false	true	false	false	false	false	moni	speaker	postTestData
pilot2	5484-586f80d7-bfe6-453c-9e21-b7213c7c656c	1502207175244	false	true	false	false	false	false	false	false	wiki	listener	postTestData
pilot2	5484-586f80d7-bfe6-453c-9e21-b7213c7c656c	1502207177223	true	false	false	false	false	false	false	false	wumu	listener	postTestData
pilot2	5484-586f80d7-bfe6-453c-9e21-b7213c7c656c	1502207178664	false	false	false	false	false	false	false	true	moni	listener	postTestData
