gameid, time, roundNum, condition,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, class1ClickedObj, class2ClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Class1, alt1Class2, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Class1, alt2Class2
5258-6,1495576818886,1,distr55_targ2,lighthouse,2,1,1,lighthouse,null,basketball_hoop,2,2,2,basketball_hoop,null,measuring_cup,3,3,3,null,measuring_cup
5258-6,1495576833412,2,distr55_targ3,charm,3,2,1,null,charm,backpack,3,1,2,null,backpack,panda_backpack,1,3,3,panda,backpack
5258-6,1495576846709,3,distr55_targ3,chair,3,3,1,null,chair,panda_backpack,1,2,2,panda,backpack,frog_teapot,1,1,3,frog,teapot
5258-6,1495576861789,4,distr14_targ3,backpack,3,3,2,null,backpack,panda_backpack,1,2,1,panda,backpack,frog,2,1,3,frog,null
5258-6,1495576881904,5,distr14_targ3,swan_measuring_cup,1,3,1,swan,measuring_cup,frog,2,1,2,frog,null,measuring_cup,3,2,3,null,measuring_cup
5258-6,1495576894393,6,distr55_targ1,swan_measuring_cup,1,3,2,swan,measuring_cup,charm,3,1,3,null,charm,lightouse_lamp,1,2,1,lighthouse,lamp
5258-6,1495576916758,7,distr23_targ1,basketball_hoop,2,1,2,basketball_hoop,null,basketball_hoop_charm,1,2,3,basketball_hoop,charm,charm,3,3,1,null,charm
5258-6,1495576932389,8,distr14_targ2,swan,2,1,2,swan,null,swan_measuring_cup,1,3,3,swan,measuring_cup,lamp,3,2,1,null,lamp
5258-6,1495576947101,9,distr55_targ2,panda,2,3,1,panda,null,frog_teapot,1,1,2,frog,teapot,apple_chair,1,2,3,apple,chair
5258-6,1495576956150,10,distr14_targ2,frog_teapot,1,2,1,frog,teapot,chair,3,3,3,null,chair,frog,2,1,2,frog,null
5258-6,1495576971711,11,distr14_targ3,teapot,3,3,2,null,teapot,chair,3,1,3,null,chair,frog_teapot,1,2,1,frog,teapot
5258-6,1495576980175,12,distr14_targ2,apple_chair,1,2,2,apple,chair,teapot,3,3,1,null,teapot,apple,2,1,3,apple,null
5258-6,1495576990030,13,distr55_targ3,backpack,3,1,1,null,backpack,frog_teapot,1,2,2,frog,teapot,lamp,3,3,3,null,lamp
5258-6,1495577008919,14,distr24_targ1,lighthouse,2,3,2,lighthouse,null,lightouse_lamp,1,1,3,lighthouse,lamp,basketball_hoop,2,2,1,basketball_hoop,null
5258-6,1495577024414,15,distr34_targ1,backpack,3,3,2,null,backpack,teapot,3,1,1,null,teapot,panda_backpack,1,2,3,panda,backpack
5258-6,1495577033818,16,distr34_targ1,apple_chair,1,3,2,apple,chair,chair,3,2,3,null,chair,swan,2,1,1,swan,null
5258-6,1495577043599,17,distr24_targ1,frog_teapot,1,2,1,frog,teapot,charm,3,3,3,null,charm,frog,2,1,2,frog,null
5258-6,1495577063791,18,distr55_targ2,basketball_hoop,2,3,2,basketball_hoop,null,apple_chair,1,1,3,apple,chair,charm,3,2,1,null,charm
