gameid, time, roundNum, condition,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, class1ClickedObj, class2ClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Class1, alt1Class2, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Class1, alt2Class2
6039-c,1495581194728,1,distr14_targ2,basketball_hoop,2,1,3,basketball_hoop,null,frog,2,3,2,frog,null,basketball_hoop_charm,1,2,1,basketball_hoop,charm
6039-c,1495581203682,2,distr34_targ1,frog_teapot,1,2,1,frog,teapot,measuring_cup,3,1,3,null,measuring_cup,teapot,3,3,2,null,teapot
6039-c,1495581213038,3,distr24_targ1,basketball_hoop_charm,1,3,3,basketball_hoop,charm,frog,2,2,1,frog,null,basketball_hoop,2,1,2,basketball_hoop,null
6039-c,1495581219751,4,distr55_targ3,measuring_cup,3,1,3,null,measuring_cup,lamp,3,2,1,null,lamp,basketball_hoop_charm,1,3,2,basketball_hoop,charm
6039-c,1495581224706,5,distr55_targ2,apple,2,1,1,apple,null,swan,2,3,2,swan,null,basketball_hoop_charm,1,2,3,basketball_hoop,charm
6039-c,1495581232479,6,distr14_targ3,lamp,3,3,2,null,lamp,lightouse_lamp,1,2,1,lighthouse,lamp,swan,2,1,3,swan,null
6039-c,1495581238819,7,distr24_targ1,apple_chair,1,3,2,apple,chair,basketball_hoop,2,2,3,basketball_hoop,null,apple,2,1,1,apple,null
6039-c,1495581244876,8,distr14_targ3,charm,3,1,1,null,charm,basketball_hoop_charm,1,2,3,basketball_hoop,charm,apple,2,3,2,apple,null
6039-c,1495581250999,9,distr55_targ3,backpack,3,2,1,null,backpack,apple,2,1,2,apple,null,apple_chair,1,3,3,apple,chair
6039-c,1495581257316,10,distr14_targ2,frog,2,2,2,frog,null,lamp,3,3,3,null,lamp,frog_teapot,1,1,1,frog,teapot
6039-c,1495581262828,11,distr55_targ2,swan,2,3,3,swan,null,panda_backpack,1,2,1,panda,backpack,apple,2,1,2,apple,null
6039-c,1495581272267,12,distr34_targ1,lightouse_lamp,1,1,3,lighthouse,lamp,panda,2,3,2,panda,null,lamp,3,2,1,null,lamp
6039-c,1495581279899,13,distr23_targ1,swan_measuring_cup,1,3,2,swan,measuring_cup,measuring_cup,3,1,1,null,measuring_cup,swan,2,2,3,swan,null
6039-c,1495581287926,14,distr14_targ3,teapot,3,1,1,null,teapot,frog_teapot,1,2,2,frog,teapot,measuring_cup,3,3,3,null,measuring_cup
6039-c,1495581297072,15,distr14_targ2,lighthouse,2,2,1,lighthouse,null,lightouse_lamp,1,3,3,lighthouse,lamp,charm,3,1,2,null,charm
6039-c,1495581302925,16,distr55_targ2,panda,2,3,3,panda,null,panda_backpack,1,2,2,panda,backpack,charm,3,1,1,null,charm
6039-c,1495581310508,17,distr55_targ1,panda_backpack,1,2,3,panda,backpack,apple_chair,1,3,1,apple,chair,chair,3,1,2,null,chair
6039-c,1495581315445,18,distr55_targ3,chair,3,1,2,null,chair,charm,3,3,3,null,charm,lamp,3,2,1,null,lamp
