gameid, time, roundNum, condition,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, class1ClickedObj, class2ClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Class1, alt1Class2, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Class1, alt2Class2
8582-a,1495576590086,1,distr34_targ1,frog_teapot,1,1,3,frog,teapot,chair,3,2,2,null,chair,teapot,3,3,1,null,teapot
8582-a,1495576595375,2,distr55_targ2,apple,2,1,2,apple,null,basketball_hoop,2,3,3,basketball_hoop,null,swan_measuring_cup,1,2,1,swan,measuring_cup
8582-a,1495576603558,3,distr55_targ3,backpack,3,2,2,null,backpack,frog_teapot,1,3,3,frog,teapot,panda,2,1,1,panda,null
8582-a,1495576608597,4,distr55_targ3,lamp,3,1,1,null,lamp,apple,2,3,3,apple,null,panda,2,2,2,panda,null
8582-a,1495576615829,5,distr14_targ2,frog,2,3,1,frog,null,frog_teapot,1,1,2,frog,teapot,apple,2,2,3,apple,null
8582-a,1495576624895,6,distr14_targ2,basketball_hoop,2,2,2,basketball_hoop,null,swan,2,1,1,swan,null,basketball_hoop_charm,1,3,3,basketball_hoop,charm
8582-a,1495576631343,7,distr24_targ1,panda_backpack,1,1,3,panda,backpack,panda,2,2,2,panda,null,teapot,3,3,1,null,teapot
8582-a,1495576642030,8,distr24_targ1,basketball_hoop_charm,1,1,1,basketball_hoop,charm,teapot,3,2,2,null,teapot,basketball_hoop,2,3,3,basketball_hoop,null
8582-a,1495576647230,9,distr55_targ2,swan,2,2,2,swan,null,apple,2,1,3,apple,null,frog,2,3,1,frog,null
8582-a,1495576652885,10,distr55_targ2,lighthouse,2,3,2,lighthouse,null,apple,2,2,3,apple,null,swan_measuring_cup,1,1,1,swan,measuring_cup
8582-a,1495576658184,11,distr14_targ2,panda,2,3,1,panda,null,swan,2,1,2,swan,null,panda_backpack,1,2,3,panda,backpack
8582-a,1495576663509,12,distr55_targ1,apple_chair,1,1,2,apple,chair,charm,3,3,3,null,charm,panda_backpack,1,2,1,panda,backpack
8582-a,1495576671051,13,distr14_targ3,charm,3,3,2,null,charm,frog,2,2,1,frog,null,basketball_hoop_charm,1,1,3,basketball_hoop,charm
8582-a,1495576681294,14,distr23_targ1,swan_measuring_cup,1,2,2,swan,measuring_cup,swan,2,3,3,swan,null,measuring_cup,3,1,1,null,measuring_cup
8582-a,1495576689061,15,distr34_targ1,lightouse_lamp,1,2,1,lighthouse,lamp,lamp,3,1,3,null,lamp,swan,2,3,2,swan,null
8582-a,1495576704878,16,distr14_targ3,measuring_cup,3,2,2,null,measuring_cup,swan_measuring_cup,1,1,1,swan,measuring_cup,teapot,3,3,3,null,teapot
8582-a,1495576713630,17,distr14_targ3,teapot,3,3,1,null,teapot,frog_teapot,1,2,2,frog,teapot,backpack,3,1,3,null,backpack
8582-a,1495576718452,18,distr55_targ3,chair,3,2,1,null,chair,basketball_hoop,2,1,3,basketball_hoop,null,lightouse_lamp,1,3,2,lighthouse,lamp
