gameid, time, roundNum, condition,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, class1ClickedObj, class2ClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Class1, alt1Class2, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Class1, alt2Class2, bonus
9404-6,1495611838934,1,distr34_targ1,apple_chair,1,1,2,apple,chair,measuring_cup,3,2,1,null,measuring_cup,chair,3,3,3,null,chair,0.03
9404-6,1495611851637,2,distr55_targ2,lighthouse,2,1,2,lighthouse,null,panda_backpack,1,2,1,panda,backpack,lamp,3,3,3,null,lamp,0.06
9404-6,1495611866965,3,distr55_targ1,basketball_hoop_charm,1,3,2,basketball_hoop,charm,panda_backpack,1,1,1,panda,backpack,charm,3,2,3,null,charm,0.09
9404-6,1495611877000,4,distr14_targ2,panda,2,3,1,panda,null,charm,3,1,3,null,charm,panda_backpack,1,2,2,panda,backpack,0.12
9404-6,1495611891724,5,distr24_targ1,frog_teapot,1,2,3,frog,teapot,frog,2,3,1,frog,null,lighthouse,2,1,2,lighthouse,null,0.15
9404-6,1495611902379,6,distr55_targ3,backpack,3,1,1,null,backpack,apple_chair,1,2,3,apple,chair,frog_teapot,1,3,2,frog,teapot,0.18
9404-6,1495611912176,7,distr55_targ2,frog,2,3,1,frog,null,teapot,3,2,2,null,teapot,lighthouse,2,1,3,lighthouse,null,0.21
9404-6,1495611928236,8,distr14_targ3,lamp,3,2,3,null,lamp,lightouse_lamp,1,1,2,lighthouse,lamp,teapot,3,3,1,null,teapot,0.24
9404-6,1495611941594,9,distr14_targ3,measuring_cup,3,1,3,null,measuring_cup,swan_measuring_cup,1,2,1,swan,measuring_cup,backpack,3,3,2,null,backpack,0.27
9404-6,1495611948671,10,distr14_targ2,apple,2,1,1,apple,null,charm,3,2,3,null,charm,apple_chair,1,3,2,apple,chair,0.30000000000000004
9404-6,1495611957384,11,distr55_targ2,swan,2,2,2,swan,null,lighthouse,2,1,3,lighthouse,null,chair,3,3,1,null,chair,0.33000000000000007
9404-6,1495611967510,12,distr24_targ1,lightouse_lamp,1,2,1,lighthouse,lamp,basketball_hoop,2,3,3,basketball_hoop,null,lighthouse,2,1,2,lighthouse,null,0.3600000000000001
9404-6,1495611977354,13,distr14_targ3,charm,3,2,2,null,charm,teapot,3,3,3,null,teapot,basketball_hoop_charm,1,1,1,basketball_hoop,charm,0.3900000000000001
9404-6,1495611987036,14,distr34_targ1,swan_measuring_cup,1,3,3,swan,measuring_cup,measuring_cup,3,1,2,null,measuring_cup,chair,3,2,1,null,chair,0.42000000000000015
9404-6,1495611996327,15,distr23_targ1,panda_backpack,1,1,2,panda,backpack,backpack,3,3,3,null,backpack,panda,2,2,1,panda,null,0.4500000000000002
9404-6,1495612003578,16,distr55_targ3,chair,3,2,3,null,chair,lightouse_lamp,1,1,1,lighthouse,lamp,backpack,3,3,2,null,backpack,0.4800000000000002
9404-6,1495612010380,17,distr55_targ3,teapot,3,1,3,null,teapot,apple_chair,1,3,1,apple,chair,swan_measuring_cup,1,2,2,swan,measuring_cup,0.5100000000000002
9404-6,1495612035997,18,distr14_targ2,basketball_hoop,2,3,3,basketball_hoop,null,basketball_hoop_charm,1,1,1,basketball_hoop,charm,measuring_cup,3,2,2,null,measuring_cup,0.5400000000000003
