gameid, time, roundNum, condition,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, class1ClickedObj, class2ClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Class1, alt1Class2, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Class1, alt2Class2, bonus
8891-d,1495599665920,1,distr23_targ1,panda_backpack,1,2,3,panda,backpack,backpack,3,1,1,null,backpack,panda,2,3,2,panda,null,0.03
8891-d,1495599696928,2,distr55_targ2,lighthouse,2,1,3,lighthouse,null,measuring_cup,3,2,2,null,measuring_cup,lightouse_lamp,1,3,1,lighthouse,lamp,0.06
8891-d,1495599708165,3,distr55_targ1,frog_teapot,1,1,3,frog,teapot,teapot,3,3,1,null,teapot,swan_measuring_cup,1,2,2,swan,measuring_cup,0.09
8891-d,1495599718148,4,distr24_targ1,apple_chair,1,3,2,apple,chair,charm,3,1,1,null,charm,apple,2,2,3,apple,null,0.12
8891-d,1495599724031,5,distr55_targ2,swan,2,2,1,swan,null,panda_backpack,1,1,3,panda,backpack,lightouse_lamp,1,3,2,lighthouse,lamp,0.15
8891-d,1495599734560,6,distr34_targ1,basketball_hoop_charm,1,2,3,basketball_hoop,charm,charm,3,1,2,null,charm,swan,2,3,1,swan,null,0.18
8891-d,1495599743384,7,distr14_targ3,charm,3,1,1,null,charm,basketball_hoop_charm,1,3,2,basketball_hoop,charm,frog,2,2,3,frog,null,0.21
8891-d,1495599754255,8,distr14_targ2,apple,2,3,2,apple,null,apple_chair,1,1,3,apple,chair,measuring_cup,3,2,1,null,measuring_cup,0.24
8891-d,1495599760461,9,distr55_targ3,lamp,3,2,3,null,lamp,charm,3,1,2,null,charm,chair,3,3,1,null,chair,0.27
8891-d,1495599771248,10,distr14_targ2,basketball_hoop,2,1,3,basketball_hoop,null,basketball_hoop_charm,1,3,2,basketball_hoop,charm,backpack,3,2,1,null,backpack,0.30000000000000004
8891-d,1495599779069,11,distr55_targ3,backpack,3,2,1,null,backpack,charm,3,1,3,null,charm,apple,2,3,2,apple,null,0.33000000000000007
8891-d,1495599786111,12,distr55_targ2,frog,2,3,1,frog,null,lamp,3,2,2,null,lamp,panda,2,1,3,panda,null,0.3600000000000001
8891-d,1495599796923,13,distr34_targ1,lightouse_lamp,1,1,3,lighthouse,lamp,frog,2,2,2,frog,null,lamp,3,3,1,null,lamp,0.3900000000000001
8891-d,1495599801685,14,distr55_targ3,chair,3,2,3,null,chair,panda_backpack,1,1,2,panda,backpack,teapot,3,3,1,null,teapot,0.42000000000000015
8891-d,1495599818521,15,distr14_targ3,measuring_cup,3,1,3,null,measuring_cup,swan_measuring_cup,1,2,2,swan,measuring_cup,backpack,3,3,1,null,backpack,0.4500000000000002
8891-d,1495599833602,16,distr24_targ1,swan_measuring_cup,1,2,2,swan,measuring_cup,swan,2,1,3,swan,null,frog,2,3,1,frog,null,0.4800000000000002
8891-d,1495599849697,17,distr14_targ2,panda,2,1,3,panda,null,panda_backpack,1,3,1,panda,backpack,lamp,3,2,2,null,lamp,0.5100000000000002
8891-d,1495599860343,18,distr14_targ3,teapot,3,1,2,null,teapot,frog_teapot,1,2,3,frog,teapot,lamp,3,3,1,null,lamp,0.5400000000000003
