gameid, time, roundNum, condition,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, class1ClickedObj, class2ClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Class1, alt1Class2, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Class1, alt2Class2, bonus
0643-f,1495599531786,1,distr55_targ3,charm,3,1,2,null,charm,basketball_hoop,2,2,3,basketball_hoop,null,lighthouse,2,3,1,lighthouse,null,0.03
0643-f,1495599542578,2,distr34_targ1,apple_chair,1,3,3,apple,chair,chair,3,2,2,null,chair,lamp,3,1,1,null,lamp,0.06
0643-f,1495599554558,3,distr14_targ2,apple,2,3,1,apple,null,basketball_hoop,2,1,2,basketball_hoop,null,apple_chair,1,2,3,apple,chair,0.09
0643-f,1495599567893,4,distr14_targ3,teapot,3,2,3,null,teapot,frog_teapot,1,1,1,frog,teapot,chair,3,3,2,null,chair,0.12
0643-f,1495599580004,5,distr55_targ1,basketball_hoop_charm,1,2,3,basketball_hoop,charm,lamp,3,3,2,null,lamp,basketball_hoop,2,1,1,basketball_hoop,null,0.15
0643-f,1495599588028,6,distr55_targ2,lighthouse,2,3,3,lighthouse,null,apple_chair,1,1,1,apple,chair,chair,3,2,2,null,chair,0.18
0643-f,1495599599051,7,distr24_targ1,frog_teapot,1,3,2,frog,teapot,frog,2,2,1,frog,null,lighthouse,2,1,3,lighthouse,null,0.21
0643-f,1495599607535,8,distr14_targ2,frog,2,1,3,frog,null,frog_teapot,1,2,2,frog,teapot,measuring_cup,3,3,1,null,measuring_cup,0.24
0643-f,1495599614979,9,distr55_targ2,basketball_hoop,2,1,1,basketball_hoop,null,frog,2,2,2,frog,null,teapot,3,3,3,null,teapot,0.27
0643-f,1495599627733,10,distr14_targ3,measuring_cup,3,3,3,null,measuring_cup,swan_measuring_cup,1,1,2,swan,measuring_cup,teapot,3,2,1,null,teapot,0.30000000000000004
0643-f,1495599635881,11,distr55_targ3,backpack,3,2,2,null,backpack,lightouse_lamp,1,1,3,lighthouse,lamp,charm,3,3,1,null,charm,0.33000000000000007
0643-f,1495599642375,12,distr55_targ3,lamp,3,2,1,null,lamp,teapot,3,3,3,null,teapot,panda,2,1,2,panda,null,0.3600000000000001
0643-f,1495599650068,13,distr24_targ1,lightouse_lamp,1,1,3,lighthouse,lamp,lighthouse,2,3,1,lighthouse,null,panda,2,2,2,panda,null,0.3900000000000001
0643-f,1495599657502,14,distr34_targ1,panda_backpack,1,2,3,panda,backpack,backpack,3,1,2,null,backpack,teapot,3,3,1,null,teapot,0.42000000000000015
0643-f,1495599663602,15,distr14_targ2,swan,2,1,3,swan,null,chair,3,2,1,null,chair,swan_measuring_cup,1,3,2,swan,measuring_cup,0.4500000000000002
0643-f,1495599675994,16,distr23_targ1,swan_measuring_cup,1,2,2,swan,measuring_cup,swan,2,1,3,swan,null,measuring_cup,3,3,1,null,measuring_cup,0.4800000000000002
0643-f,1495599688123,17,distr14_targ3,chair,3,1,1,null,chair,apple_chair,1,3,3,apple,chair,backpack,3,2,2,null,backpack,0.5100000000000002
0643-f,1495599695840,18,distr55_targ2,panda,2,1,2,panda,null,basketball_hoop,2,3,1,basketball_hoop,null,apple,2,2,3,apple,null,0.5400000000000003
