gameid, time, roundNum, condition,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, class1ClickedObj, class2ClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Class1, alt1Class2, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Class1, alt2Class2, bonus
2301-6,1495604698435,1,distr55_targ2,apple,2,3,2,apple,null,panda,2,2,3,panda,null,swan,2,1,1,swan,null,0.03
2301-6,1495604798448,2,distr14_targ3,backpack,3,2,3,null,backpack,lighthouse,2,1,2,lighthouse,null,panda_backpack,1,3,1,panda,backpack,0.06
2301-6,1495604895226,3,distr34_targ1,panda_backpack,1,2,2,panda,backpack,backpack,3,3,1,null,backpack,basketball_hoop,2,1,3,basketball_hoop,null,0.09
2301-6,1495604950180,4,distr55_targ1,apple_chair,1,1,3,apple,chair,frog_teapot,1,3,2,frog,teapot,measuring_cup,3,2,1,null,measuring_cup,0.09
2301-6,1495604991431,5,distr14_targ2,frog,2,2,1,frog,null,frog_teapot,1,1,2,frog,teapot,apple,2,3,3,apple,null,0.12
2301-6,1495605021431,6,distr14_targ3,basketball_hoop_charm,1,2,1,basketball_hoop,charm,frog,2,3,3,frog,null,charm,3,1,2,null,charm,0.12
2301-6,1495605065894,7,distr14_targ2,swan_measuring_cup,1,3,3,swan,measuring_cup,apple,2,1,1,apple,null,swan,2,2,2,swan,null,0.12
2301-6,1495605118377,8,distr14_targ3,teapot,3,3,1,null,teapot,backpack,3,1,3,null,backpack,frog_teapot,1,2,2,frog,teapot,0.15
2301-6,1495605146983,9,distr24_targ1,lightouse_lamp,1,3,3,lighthouse,lamp,lighthouse,2,2,1,lighthouse,null,frog,2,1,2,frog,null,0.18
2301-6,1495605172214,10,distr55_targ3,measuring_cup,3,2,3,null,measuring_cup,swan,2,3,1,swan,null,panda,2,1,2,panda,null,0.21
2301-6,1495605197800,11,distr24_targ1,basketball_hoop_charm,1,2,3,basketball_hoop,charm,basketball_hoop,2,1,2,basketball_hoop,null,frog,2,3,1,frog,null,0.24
2301-6,1495605218609,12,distr55_targ2,lightouse_lamp,1,3,3,lighthouse,lamp,charm,3,2,1,null,charm,lighthouse,2,1,2,lighthouse,null,0.24
2301-6,1495605242965,13,distr14_targ2,panda,2,2,3,panda,null,panda_backpack,1,1,1,panda,backpack,apple,2,3,2,apple,null,0.27
2301-6,1495605274694,14,distr55_targ3,chair,3,2,3,null,chair,swan,2,3,2,swan,null,lighthouse,2,1,1,lighthouse,null,0.30000000000000004
2301-6,1495605311197,15,distr23_targ1,swan,2,3,3,swan,null,swan_measuring_cup,1,2,2,swan,measuring_cup,measuring_cup,3,1,1,null,measuring_cup,0.30000000000000004
2301-6,1495605336707,16,distr55_targ2,panda_backpack,1,1,2,panda,backpack,basketball_hoop,2,2,1,basketball_hoop,null,charm,3,3,3,null,charm,0.30000000000000004
2301-6,1495605373308,17,distr34_targ1,measuring_cup,3,3,1,null,measuring_cup,chair,3,2,2,null,chair,apple_chair,1,1,3,apple,chair,0.30000000000000004
2301-6,1495605395249,18,distr55_targ3,lamp,3,2,2,null,lamp,panda_backpack,1,1,1,panda,backpack,lighthouse,2,3,3,lighthouse,null,0.33000000000000007
