gameid, time, roundNum, condition,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, class1ClickedObj, class2ClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Class1, alt1Class2, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Class1, alt2Class2, bonus
5170-0,1495586702350,1,distr55_targ2,frog,2,1,2,frog,null,charm,3,2,1,null,charm,backpack,3,3,3,null,backpack,0.03
5170-0,1495586709610,2,distr55_targ1,apple_chair,1,2,3,apple,chair,charm,3,1,1,null,charm,teapot,3,3,2,null,teapot,0.06
5170-0,1495586721953,3,distr23_targ1,swan_measuring_cup,1,3,2,swan,measuring_cup,measuring_cup,3,1,1,null,measuring_cup,swan,2,2,3,swan,null,0.09
5170-0,1495586729875,4,distr34_targ1,frog_teapot,1,1,2,frog,teapot,teapot,3,3,3,null,teapot,lighthouse,2,2,1,lighthouse,null,0.12
5170-0,1495586739219,5,distr24_targ1,basketball_hoop_charm,1,1,1,basketball_hoop,charm,lamp,3,3,2,null,lamp,basketball_hoop,2,2,3,basketball_hoop,null,0.15
5170-0,1495586748756,6,distr34_targ1,lightouse_lamp,1,3,3,lighthouse,lamp,lamp,3,2,1,null,lamp,frog,2,1,2,frog,null,0.18
5170-0,1495586757746,7,distr55_targ3,backpack,3,3,1,null,backpack,basketball_hoop,2,1,2,basketball_hoop,null,lamp,3,2,3,null,lamp,0.21
5170-0,1495586764555,8,distr24_targ1,panda_backpack,1,3,2,panda,backpack,panda,2,2,3,panda,null,basketball_hoop,2,1,1,basketball_hoop,null,0.24
5170-0,1495586772244,9,distr55_targ3,teapot,3,1,3,null,teapot,basketball_hoop,2,2,2,basketball_hoop,null,swan_measuring_cup,1,3,1,swan,measuring_cup,0.27
5170-0,1495586783540,10,distr14_targ2,panda,2,3,3,panda,null,apple,2,2,2,apple,null,panda_backpack,1,1,1,panda,backpack,0.30000000000000004
5170-0,1495586794125,11,distr14_targ3,chair,3,2,1,null,chair,frog,2,3,3,frog,null,apple_chair,1,1,2,apple,chair,0.33000000000000007
5170-0,1495586801805,12,distr14_targ3,lamp,3,1,2,null,lamp,backpack,3,3,3,null,backpack,lightouse_lamp,1,2,1,lighthouse,lamp,0.3600000000000001
5170-0,1495586815941,13,distr55_targ2,swan,2,3,2,swan,null,lightouse_lamp,1,1,3,lighthouse,lamp,swan_measuring_cup,1,2,1,swan,measuring_cup,0.3900000000000001
5170-0,1495586822786,14,distr55_targ3,charm,3,3,1,null,charm,frog_teapot,1,1,2,frog,teapot,lamp,3,2,3,null,lamp,0.42000000000000015
5170-0,1495586832113,15,distr14_targ3,measuring_cup,3,2,1,null,measuring_cup,swan_measuring_cup,1,3,3,swan,measuring_cup,chair,3,1,2,null,chair,0.4500000000000002
5170-0,1495586838531,16,distr14_targ2,apple,2,3,1,apple,null,apple_chair,1,2,2,apple,chair,lamp,3,1,3,null,lamp,0.4800000000000002
5170-0,1495586844962,17,distr55_targ2,basketball_hoop,2,1,3,basketball_hoop,null,lightouse_lamp,1,2,1,lighthouse,lamp,apple,2,3,2,apple,null,0.5100000000000002
5170-0,1495586857297,18,distr14_targ2,lighthouse,2,3,2,lighthouse,null,swan,2,1,1,swan,null,lightouse_lamp,1,2,3,lighthouse,lamp,0.5400000000000003
