gameid, time, roundNum, trialType, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, basiclevelClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Basiclevel, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Basiclevel, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Basiclevel, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Basiclevel, alt4superdomain
4452-5,1449254381823,1,colorSizeTrial,sizeOnly4Distr3Same,big_blue_rug,target,3,2,NA,NA,small_blue_rug,distractor,2,5,NA,NA,small_purple_rug,distractor,1,1,NA,NA,small_blue_rug,distractor,4,4,NA,NA,small_blue_rug,distractor,5,3,NA,NA
4452-5,1449254421687,2,colorSizeTrial,sizeOnly2Distr1Same,big_purple_billiardball,target,4,3,NA,NA,small_orange_billiardball,distractor,2,2,NA,NA,small_purple_billiardball,distractor,3,4,NA,NA,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA
4452-5,1449254439197,3,colorSizeTrial,sizeOnly4Distr1Same,big_yellow_shoe,target,3,2,NA,NA,small_white_shoe,distractor,1,5,NA,NA,small_yellow_shoe,distractor,2,3,NA,NA,small_white_shoe,distractor,5,4,NA,NA,small_white_shoe,distractor,4,1,NA,NA
4452-5,1449254458217,4,subSuperTrial,distr33,catfish,target,3,2,fish,animal,blackStimulus,NA,1,1,NA,NA,rosemary,distrClass3,4,4,NA,plant,blackStimulus,NA,5,5,NA,NA,cookies,distrClass3,2,3,NA,snack
4452-5,1449254465801,5,subSuperTrial,distr12,jellyBeans,target,3,3,candy,snack,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,candyCorn,distrClass1,2,4,candy,snack,popcorn,distrClass2,4,2,NA,snack
4452-5,1449254471698,6,subSuperTrial,distr22,tulip,target,4,2,flower,plant,blackStimulus,NA,1,1,NA,NA,ivy,distrClass2,2,4,NA,plant,blackStimulus,NA,5,5,NA,NA,rosemary,distrClass2,3,3,NA,plant
4452-5,1449254484722,7,colorSizeTrial,sizeOnly4Distr3Same,big_green_framee,target,2,4,NA,NA,small_green_framee,distractor,1,5,NA,NA,small_pink_framee,distractor,3,2,NA,NA,small_green_framee,distractor,4,1,NA,NA,small_green_framee,distractor,5,3,NA,NA
4452-5,1449254490792,8,subSuperTrial,distr33,skittles,target,2,4,candy,snack,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,bathrobe,distrClass3,4,2,NA,clothing,gloves,distrClass3,3,3,NA,clothing
4452-5,1449254500011,9,colorSizeTrial,sizeOnly3Distr3Same,big_green_binder,target,3,2,NA,NA,blackStimulus,NA,5,5,NA,NA,small_green_binder,distractor,2,1,NA,NA,small_green_binder,distractor,4,4,NA,NA,small_green_binder,distractor,1,3,NA,NA
4452-5,1449254506068,10,colorSizeTrial,sizeOnly3Distr2Same,small_blue_comb,target,3,4,NA,NA,big_blue_comb,distractor,1,3,NA,NA,big_black_comb,distractor,2,1,NA,NA,blackStimulus,NA,5,5,NA,NA,big_blue_comb,distractor,4,2,NA,NA
4452-5,1449254512845,11,colorSizeTrial,sizeOnly4Distr1Same,small_purple_bike,target,2,4,NA,NA,big_red_bike,distractor,3,3,NA,NA,big_purple_bike,distractor,5,5,NA,NA,big_red_bike,distractor,4,2,NA,NA,big_red_bike,distractor,1,1,NA,NA
4452-5,1449254525372,12,colorSizeTrial,colorOnly4Distr3Same,big_orange_cushion,target,4,2,NA,NA,big_blue_cushion,distractor,2,3,NA,NA,small_blue_cushion,distractor,3,1,NA,NA,big_blue_cushion,distractor,1,5,NA,NA,big_blue_cushion,distractor,5,4,NA,NA
4452-5,1449254540559,13,colorSizeTrial,colorOnly2Distr1Same,big_orange_cap,target,3,2,NA,NA,blackStimulus,NA,1,1,NA,NA,big_blue_cap,distractor,4,4,NA,NA,small_blue_cap,distractor,2,3,NA,NA,blackStimulus,NA,5,5,NA,NA
4452-5,1449254550036,14,colorSizeTrial,sizeOnly3Distr1Same,big_red_toothbrush,target,2,1,NA,NA,small_blue_toothbrush,distractor,4,3,NA,NA,small_blue_toothbrush,distractor,1,2,NA,NA,small_red_toothbrush,distractor,3,4,NA,NA,blackStimulus,NA,5,5,NA,NA
4452-5,1449254560191,15,subSuperTrial,distr12,husky,target,3,3,dog,animal,blackStimulus,NA,1,1,NA,NA,greyhound,distrClass1,2,4,dog,animal,snake,distrClass2,4,2,NA,animal,blackStimulus,NA,5,5,NA,NA
4452-5,1449254568406,16,colorSizeTrial,sizeOnly3Distr2Same,big_green_bracelet,target,4,3,NA,NA,small_green_bracelet,distractor,2,1,NA,NA,small_green_bracelet,distractor,1,4,NA,NA,small_purple_bracelet,distractor,3,2,NA,NA,blackStimulus,NA,5,5,NA,NA
4452-5,1449254574005,17,colorSizeTrial,sizeOnly2Distr1Same,big_blue_ornament,target,3,4,NA,NA,blackStimulus,NA,1,1,NA,NA,small_blue_ornament,distractor,2,3,NA,NA,small_purple_ornament,distractor,4,2,NA,NA,blackStimulus,NA,5,5,NA,NA
4452-5,1449254598680,18,colorSizeTrial,colorOnly3Distr3Same,small_yellow_balloon,target,1,2,NA,NA,small_pink_balloon,distractor,4,3,NA,NA,small_pink_balloon,distractor,3,1,NA,NA,blackStimulus,NA,5,5,NA,NA,small_pink_balloon,distractor,2,4,NA,NA
