gameid, time, roundNum, trialType, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, basiclevelClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Basiclevel, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Basiclevel, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Basiclevel, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Basiclevel, alt4superdomain
6456-4,1449260144510,1,colorSizeTrial,colorOnly4Distr3Same,big_blue_guitar,target,5,3,NA,NA,small_green_guitar,distractor,3,1,NA,NA,big_green_guitar,distractor,1,4,NA,NA,big_green_guitar,distractor,2,2,NA,NA,big_green_guitar,distractor,4,5,NA,NA
6456-4,1449260158808,2,colorSizeTrial,colorOnly3Distr2Same,small_orange_coathanger,target,2,1,NA,NA,big_purple_coathanger,distractor,1,3,NA,NA,blackStimulus,NA,5,5,NA,NA,small_purple_coathanger,distractor,3,2,NA,NA,small_purple_coathanger,distractor,4,4,NA,NA
6456-4,1449260170141,3,colorSizeTrial,sizeOnly3Distr1Same,small_brown_belt,target,1,4,NA,NA,big_brown_belt,distractor,4,3,NA,NA,blackStimulus,NA,5,5,NA,NA,big_black_belt,distractor,3,2,NA,NA,big_black_belt,distractor,2,1,NA,NA
6456-4,1449260176060,4,subSuperTrial,distr33,daisy,target,2,3,flower,plant,blackStimulus,NA,1,1,NA,NA,bison,distrClass3,4,4,NA,animal,blackStimulus,NA,5,5,NA,NA,squirrel,distrClass3,3,2,NA,animal
6456-4,1449260184232,5,subSuperTrial,distr12,skittles,target,4,2,candy,snack,blackStimulus,NA,5,5,NA,NA,popcorn,distrClass2,2,4,NA,snack,candyCorn,distrClass1,3,3,candy,snack,blackStimulus,NA,1,1,NA,NA
6456-4,1449260189506,6,subSuperTrial,distr33,parrot,target,4,4,bird,animal,lamp,distrClass3,2,3,NA,furniture,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,pretzels,distrClass3,3,2,NA,snack
6456-4,1449260198618,7,colorSizeTrial,sizeOnly2Distr1Same,small_blue_cap,target,4,3,NA,NA,blackStimulus,NA,5,5,NA,NA,big_orange_cap,distractor,2,4,NA,NA,blackStimulus,NA,1,1,NA,NA,big_blue_cap,distractor,3,2,NA,NA
6456-4,1449260203734,8,subSuperTrial,distr12,mnMs,target,3,2,candy,snack,candyCorn,distrClass1,2,4,candy,snack,blackStimulus,NA,5,5,NA,NA,pretzels,distrClass2,4,3,NA,snack,blackStimulus,NA,1,1,NA,NA
6456-4,1449260213390,9,colorSizeTrial,sizeOnly4Distr1Same,big_orange_billiardball,target,1,1,NA,NA,small_purple_billiardball,distractor,2,5,NA,NA,small_purple_billiardball,distractor,3,3,NA,NA,small_orange_billiardball,distractor,4,4,NA,NA,small_purple_billiardball,distractor,5,2,NA,NA
6456-4,1449260218220,10,subSuperTrial,distr12,rose,target,2,4,flower,plant,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,pottedPlant,distrClass2,4,3,NA,plant,lily,distrClass1,3,2,flower,plant
6456-4,1449260224266,11,subSuperTrial,distr22,catfish,target,2,2,fish,animal,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,elephant,distrClass2,3,4,NA,animal,bison,distrClass2,4,3,NA,animal
6456-4,1449260233049,12,colorSizeTrial,sizeOnly3Distr1Same,big_purple_flower,target,3,4,NA,NA,small_red_flower,distractor,2,2,NA,NA,small_red_flower,distractor,4,1,NA,NA,blackStimulus,NA,5,5,NA,NA,small_purple_flower,distractor,1,3,NA,NA
6456-4,1449260238600,13,subSuperTrial,distr22,husky,target,3,3,dog,animal,squirrel,distrClass2,2,4,NA,animal,rabbit,distrClass2,4,2,NA,animal,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA
6456-4,1449260246928,14,colorSizeTrial,colorOnly3Distr1Same,big_white_weddingcake,target,4,1,NA,NA,big_pink_weddingcake,distractor,1,2,NA,NA,small_pink_weddingcake,distractor,3,3,NA,NA,small_pink_weddingcake,distractor,2,4,NA,NA,blackStimulus,NA,5,5,NA,NA
6456-4,1449260252344,15,subSuperTrial,distr23,hummingBird,target,3,3,bird,animal,bookcase,distrClass3,4,2,NA,furniture,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,bison,distrClass2,2,4,NA,animal
6456-4,1449260259444,16,subSuperTrial,distr23,suv,target,4,4,car,vehicle,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,sheep,distrClass3,3,2,NA,animal,ambulance,distrClass2,2,3,NA,vehicle
6456-4,1449260264260,17,colorSizeTrial,colorOnly3Distr3Same,small_green_pepper,target,1,1,NA,NA,small_red_pepper,distractor,4,4,NA,NA,small_red_pepper,distractor,3,3,NA,NA,small_red_pepper,distractor,2,2,NA,NA,blackStimulus,NA,5,5,NA,NA
6456-4,1449260269943,18,subSuperTrial,distr22,diningTable,target,4,3,table,furniture,bookcase,distrClass2,2,2,NA,furniture,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,wardrobe,distrClass2,3,4,NA,furniture
6456-4,1449260277921,19,colorSizeTrial,sizeOnly4Distr1Same,big_brown_jacket,target,4,4,NA,NA,small_green_jacket,distractor,5,5,NA,NA,small_green_jacket,distractor,1,3,NA,NA,small_green_jacket,distractor,3,1,NA,NA,small_brown_jacket,distractor,2,2,NA,NA
6456-4,1449260285671,20,colorSizeTrial,sizeOnly4Distr3Same,small_blue_book,target,2,1,NA,NA,big_blue_book,distractor,3,4,NA,NA,big_black_book,distractor,1,2,NA,NA,big_blue_book,distractor,5,5,NA,NA,big_blue_book,distractor,4,3,NA,NA
6456-4,1449260293825,21,colorSizeTrial,sizeOnly2Distr1Same,big_blue_ornament,target,4,4,NA,NA,small_blue_ornament,distractor,2,3,NA,NA,small_purple_ornament,distractor,3,2,NA,NA,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA
6456-4,1449260300123,22,colorSizeTrial,colorOnly4Distr1Same,big_purple_bracelet,target,2,1,NA,NA,small_green_bracelet,distractor,1,5,NA,NA,small_green_bracelet,distractor,3,4,NA,NA,big_green_bracelet,distractor,4,3,NA,NA,small_green_bracelet,distractor,5,2,NA,NA
6456-4,1449260306053,23,colorSizeTrial,colorOnly4Distr3Same,small_white_shoe,target,4,5,NA,NA,small_yellow_shoe,distractor,2,1,NA,NA,big_yellow_shoe,distractor,5,4,NA,NA,small_yellow_shoe,distractor,3,2,NA,NA,small_yellow_shoe,distractor,1,3,NA,NA
6456-4,1449260310855,24,subSuperTrial,distr23,goldFish,target,3,4,fish,animal,bison,distrClass2,4,3,NA,animal,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,bathrobe,distrClass3,2,2,NA,clothing
6456-4,1449260316985,25,colorSizeTrial,sizeOnly3Distr3Same,small_yellow_napkin,target,2,4,NA,NA,blackStimulus,NA,5,5,NA,NA,big_yellow_napkin,distractor,1,2,NA,NA,big_yellow_napkin,distractor,4,3,NA,NA,big_yellow_napkin,distractor,3,1,NA,NA
6456-4,1449260325437,26,subSuperTrial,distr12,convertible,target,3,3,car,vehicle,blackStimulus,NA,5,5,NA,NA,sedan,distrClass1,4,2,car,vehicle,blackStimulus,NA,1,1,NA,NA,firetruck,distrClass2,2,4,NA,vehicle
