gameid, time, roundNum, trialType, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, basiclevelClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Basiclevel, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Basiclevel, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Basiclevel, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Basiclevel, alt4superdomain
8258-f,1449254416133,1,colorSizeTrial,colorOnly3Distr1Same,small_purple_ornament,target,4,4,NA,NA,blackStimulus,NA,5,5,NA,NA,big_blue_ornament,distractor,3,3,NA,NA,big_blue_ornament,distractor,2,1,NA,NA,small_blue_ornament,distractor,1,2,NA,NA
8258-f,1449254428972,2,subSuperTrial,distr22,hummingBird,target,4,2,bird,animal,bison,distrClass2,2,3,NA,animal,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,crocodile,distrClass2,3,4,NA,animal
8258-f,1449254438601,3,colorSizeTrial,sizeOnly3Distr3Same,small_green_avocado,target,4,3,NA,NA,blackStimulus,NA,5,5,NA,NA,big_green_avocado,distractor,2,4,NA,NA,big_green_avocado,distractor,1,2,NA,NA,big_green_avocado,distractor,3,1,NA,NA
8258-f,1449254444703,4,subSuperTrial,distr33,grizzlyBear,target,3,3,bear,animal,pottedPlant,distrClass3,2,2,NA,plant,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,ivy,distrClass3,4,4,NA,plant
8258-f,1449254451577,5,colorSizeTrial,sizeOnly4Distr3Same,small_white_phone,target,3,5,NA,NA,big_white_phone,distractor,2,2,NA,NA,big_white_phone,distractor,4,1,NA,NA,big_pink_phone,distractor,1,4,NA,NA,big_white_phone,distractor,5,3,NA,NA
8258-f,1449254456943,6,subSuperTrial,distr33,polarBear,target,4,3,bear,animal,blackStimulus,NA,1,1,NA,NA,chips,distrClass3,2,4,NA,snack,grasses,distrClass3,3,2,NA,plant,blackStimulus,NA,5,5,NA,NA
8258-f,1449254461673,7,colorSizeTrial,sizeOnly4Distr1Same,small_pink_golfball,target,4,3,NA,NA,big_blue_golfball,distractor,1,2,NA,NA,big_blue_golfball,distractor,5,4,NA,NA,big_blue_golfball,distractor,3,1,NA,NA,big_pink_golfball,distractor,2,5,NA,NA
8258-f,1449254466572,8,subSuperTrial,distr33,sunflower,target,2,2,flower,plant,blackStimulus,NA,1,1,NA,NA,dress,distrClass3,4,3,NA,clothing,blackStimulus,NA,5,5,NA,NA,iguana,distrClass3,3,4,NA,animal
8258-f,1449254474537,9,colorSizeTrial,sizeOnly4Distr1Same,big_white_shoe,target,3,2,NA,NA,small_yellow_shoe,distractor,5,4,NA,NA,small_yellow_shoe,distractor,2,1,NA,NA,small_white_shoe,distractor,1,3,NA,NA,small_yellow_shoe,distractor,4,5,NA,NA
8258-f,1449254480279,10,colorSizeTrial,sizeOnly3Distr3Same,big_yellow_balloon,target,1,1,NA,NA,small_yellow_balloon,distractor,4,4,NA,NA,blackStimulus,NA,5,5,NA,NA,small_yellow_balloon,distractor,2,3,NA,NA,small_yellow_balloon,distractor,3,2,NA,NA
