condition,sketchLabel,Target,Distractor1,Distractor2,Distractor3
further,97868839a2f3_1,redsport_0011,crow_0011,pug_0011,squat_0011
further,97868839a2f3_3,waiting_0008,basset_0008,bluesedan_0008,sparrow_0008
further,97868839a2f3_5,bluesport_0016,chihuahua_0016,straight_0016,tomtit_0016
further,97868839a2f3_6,straight_0004,bluesport_0004,chihuahua_0004,tomtit_0004
further,97868839a2f3_7,inlay_0010,cuckoo_0010,redantique_0010,weimaraner_0010
further,97868839a2f3_9,weimaraner_0037,cuckoo_0037,inlay_0037,redantique_0037
further,97868839a2f3_10,redantique_0013,cuckoo_0013,inlay_0013,weimaraner_0013
closer,97868839a2f3_12,bluejay_0032,nightingale_0032,pigeon_0032,robin_0032
further,97868839a2f3_13,bluesedan_0005,basset_0005,sparrow_0005,waiting_0005
further,97868839a2f3_14,pug_0020,crow_0020,redsport_0020,squat_0020
further,97868839a2f3_15,basset_0017,bluesedan_0017,sparrow_0017,waiting_0017
further,97868839a2f3_17,cuckoo_0034,inlay_0034,redantique_0034,weimaraner_0034
closer,97868839a2f3_18,sling_0025,knob_0025,leather_0025,woven_0025
closer,97868839a2f3_19,bullmastiff_0012,bloodhound_0012,doberman_0012,goldenretriever_0012
further,97868839a2f3_20,chihuahua_0021,bluesport_0021,straight_0021,tomtit_0021
closer,97868839a2f3_21,nightingale_0035,bluejay_0035,pigeon_0035,robin_0035
further,97868839a2f3_23,tomtit_0002,bluesport_0002,chihuahua_0002,straight_0002
closer,97868839a2f3_24,knob_0026,leather_0026,sling_0026,woven_0026
closer,97868839a2f3_26,brown_0018,beetle_0018,hatchback_0018,white_0018
further,97868839a2f3_27,squat_0031,crow_0031,pug_0031,redsport_0031
further,97868839a2f3_31,sparrow_0001,basset_0001,bluesedan_0001,waiting_0001
further,97868839a2f3_32,crow_0006,pug_0006,redsport_0006,squat_0006
further,b2cf74f15b98_1,bluejay_0038,brown_0038,goldenretriever_0038,knob_0038
further,b2cf74f15b98_2,straight_0003,doberman_0003,sparrow_0003,white_0003
further,b2cf74f15b98_3,bullmastiff_0010,crow_0010,inlay_0010,redsport_0010
closer,b2cf74f15b98_4,nightingale_0000,pigeon_0000,robin_0000,tomtit_0000
further,b2cf74f15b98_5,redsport_0007,bullmastiff_0007,crow_0007,inlay_0007
further,b2cf74f15b98_6,knob_0025,bluejay_0025,brown_0025,goldenretriever_0025
closer,b2cf74f15b98_7,weimaraner_0006,basset_0006,chihuahua_0006,pug_0006
further,b2cf74f15b98_8,goldenretriever_0018,bluejay_0018,brown_0018,knob_0018
closer,b2cf74f15b98_9,bluesedan_0024,beetle_0024,bluesport_0024,hatchback_0024
further,b2cf74f15b98_10,crow_0005,bullmastiff_0005,inlay_0005,redsport_0005
closer,b2cf74f15b98_11,sling_0026,leather_0026,squat_0026,woven_0026
closer,b2cf74f15b98_12,pigeon_0029,nightingale_0029,robin_0029,tomtit_0029
closer,b2cf74f15b98_13,squat_0008,leather_0008,sling_0008,woven_0008
closer,b2cf74f15b98_14,basset_0016,chihuahua_0016,pug_0016,weimaraner_0016
closer,b2cf74f15b98_15,pug_0036,basset_0036,chihuahua_0036,weimaraner_0036
further,b2cf74f15b98_16,cuckoo_0037,bloodhound_0037,redantique_0037,waiting_0037
further,b2cf74f15b98_17,waiting_0030,bloodhound_0030,cuckoo_0030,redantique_0030
closer,b2cf74f15b98_18,bluesport_0015,beetle_0015,bluesedan_0015,hatchback_0015
further,b2cf74f15b98_19,inlay_0001,bullmastiff_0001,crow_0001,redsport_0001
further,b2cf74f15b98_20,brown_0019,bluejay_0019,goldenretriever_0019,knob_0019
closer,b2cf74f15b98_21,beetle_0031,bluesedan_0031,bluesport_0031,hatchback_0031
closer,b2cf74f15b98_22,leather_0009,sling_0009,squat_0009,woven_0009
further,b2cf74f15b98_23,doberman_0023,sparrow_0023,straight_0023,white_0023
closer,b2cf74f15b98_24,woven_0014,leather_0014,sling_0014,squat_0014
closer,b2cf74f15b98_25,hatchback_0013,beetle_0013,bluesedan_0013,bluesport_0013
closer,b2cf74f15b98_26,robin_0033,nightingale_0033,pigeon_0033,tomtit_0033
further,b2cf74f15b98_27,sparrow_0032,doberman_0032,straight_0032,white_0032
further,b2cf74f15b98_28,bloodhound_0022,cuckoo_0022,redantique_0022,waiting_0022
further,b2cf74f15b98_29,redantique_0035,bloodhound_0035,cuckoo_0035,waiting_0035
closer,b2cf74f15b98_30,chihuahua_0011,basset_0011,pug_0011,weimaraner_0011
closer,b2cf74f15b98_31,tomtit_0021,nightingale_0021,pigeon_0021,robin_0021
further,b2cf74f15b98_32,white_0034,doberman_0034,sparrow_0034,straight_0034
closer,e259368664ec_1,brown_0031,redantique_0031,redsport_0031,white_0031
further,e259368664ec_2,woven_0024,bluesedan_0024,crow_0024,pug_0024
further,e259368664ec_3,beetle_0016,chihuahua_0016,nightingale_0016,squat_0016
closer,e259368664ec_4,waiting_0006,inlay_0006,leather_0006,sling_0006
closer,e259368664ec_5,leather_0021,inlay_0021,sling_0021,waiting_0021
closer,e259368664ec_6,bloodhound_0015,basset_0015,bullmastiff_0015,goldenretriever_0015
closer,e259368664ec_7,tomtit_0011,cuckoo_0011,robin_0011,sparrow_0011
closer,e259368664ec_8,robin_0032,cuckoo_0032,sparrow_0032,tomtit_0032
closer,e259368664ec_9,cuckoo_0017,robin_0017,sparrow_0017,tomtit_0017
closer,e259368664ec_10,sling_0027,inlay_0027,leather_0027,waiting_0027
further,e259368664ec_11,crow_0022,bluesedan_0022,pug_0022,woven_0022
closer,e259368664ec_12,white_0005,brown_0005,redantique_0005,redsport_0005
further,e259368664ec_14,bluesedan_0035,crow_0035,pug_0035,woven_0035
further,e259368664ec_15,squat_0008,beetle_0008,chihuahua_0008,nightingale_0008
further,e259368664ec_16,nightingale_0036,beetle_0036,chihuahua_0036,squat_0036
further,e259368664ec_17,chihuahua_0029,beetle_0029,nightingale_0029,squat_0029
closer,e259368664ec_18,sparrow_0002,cuckoo_0002,robin_0002,tomtit_0002
further,e259368664ec_19,knob_0009,doberman_0009,hatchback_0009,pigeon_0009
further,e259368664ec_20,doberman_0019,hatchback_0019,knob_0019,pigeon_0019
further,e259368664ec_22,straight_0030,bluejay_0030,bluesport_0030,weimaraner_0030
closer,e259368664ec_23,redantique_0014,brown_0014,redsport_0014,white_0014
further,e259368664ec_24,weimaraner_0028,bluejay_0028,bluesport_0028,straight_0028
closer,e259368664ec_25,inlay_0037,leather_0037,sling_0037,waiting_0037
closer,e259368664ec_26,redsport_0001,brown_0001,redantique_0001,white_0001
further,e259368664ec_27,bluejay_0012,bluesport_0012,straight_0012,weimaraner_0012
further,e259368664ec_28,bluesport_0034,bluejay_0034,straight_0034,weimaraner_0034
further,e259368664ec_29,pigeon_0018,doberman_0018,hatchback_0018,knob_0018
further,e259368664ec_30,pug_0003,bluesedan_0003,crow_0003,woven_0003
further,e259368664ec_31,hatchback_0026,doberman_0026,knob_0026,pigeon_0026
closer,e259368664ec_32,basset_0007,bloodhound_0007,bullmastiff_0007,goldenretriever_0007
closer,6cd048a8a033_1,tomtit_0017,crow_0017,nightingale_0017,pigeon_0017
further,6cd048a8a033_2,straight_0037,bloodhound_0037,bluesport_0037,cuckoo_0037
closer,6cd048a8a033_3,redantique_0027,bluesedan_0027,brown_0027,hatchback_0027
closer,6cd048a8a033_4,goldenretriever_0022,bullmastiff_0022,doberman_0022,weimaraner_0022
further,6cd048a8a033_5,chihuahua_0033,redsport_0033,robin_0033,sling_0033
closer,6cd048a8a033_6,crow_0039,nightingale_0039,pigeon_0039,tomtit_0039
further,6cd048a8a033_7,robin_0008,chihuahua_0008,redsport_0008,sling_0008
closer,6cd048a8a033_8,waiting_0000,knob_0000,leather_0000,woven_0000
closer,6cd048a8a033_9,bluesedan_0014,brown_0014,hatchback_0014,redantique_0014
further,6cd048a8a033_10,inlay_0034,pug_0034,sparrow_0034,white_0034
further,6cd048a8a033_11,redsport_0010,chihuahua_0010,robin_0010,sling_0010
further,6cd048a8a033_13,bloodhound_0025,bluesport_0025,cuckoo_0025,straight_0025
closer,6cd048a8a033_14,woven_0001,knob_0001,leather_0001,waiting_0001
closer,6cd048a8a033_15,weimaraner_0011,bullmastiff_0011,doberman_0011,goldenretriever_0011
further,6cd048a8a033_16,squat_0019,basset_0019,beetle_0019,bluejay_0019
closer,6cd048a8a033_17,doberman_0002,bullmastiff_0002,goldenretriever_0002,weimaraner_0002
further,6cd048a8a033_18,beetle_0004,basset_0004,bluejay_0004,squat_0004
further,6cd048a8a033_19,pug_0020,inlay_0020,sparrow_0020,white_0020
closer,6cd048a8a033_20,brown_0006,bluesedan_0006,hatchback_0006,redantique_0006
further,6cd048a8a033_21,bluejay_0016,basset_0016,beetle_0016,squat_0016
further,6cd048a8a033_22,white_0035,inlay_0035,pug_0035,sparrow_0035
further,6cd048a8a033_23,cuckoo_0018,bloodhound_0018,bluesport_0018,straight_0018
further,6cd048a8a033_24,sling_0032,chihuahua_0032,redsport_0032,robin_0032
closer,6cd048a8a033_25,leather_0030,knob_0030,waiting_0030,woven_0030
further,6cd048a8a033_26,bluesport_0021,bloodhound_0021,cuckoo_0021,straight_0021
further,6cd048a8a033_27,basset_0029,beetle_0029,bluejay_0029,squat_0029
closer,6cd048a8a033_28,nightingale_0015,crow_0015,pigeon_0015,tomtit_0015
closer,6cd048a8a033_30,knob_0036,leather_0036,waiting_0036,woven_0036
further,6cd048a8a033_31,sparrow_0028,inlay_0028,pug_0028,white_0028
closer,6cd048a8a033_32,pigeon_0009,crow_0009,nightingale_0009,tomtit_0009
further,e4b733ceb6a7_1,sling_0012,basset_0012,bluesport_0012,tomtit_0012
further,e4b733ceb6a7_2,bullmastiff_0020,redantique_0020,sparrow_0020,straight_0020
further,e4b733ceb6a7_3,bluesedan_0024,cuckoo_0024,goldenretriever_0024,inlay_0024
closer,e4b733ceb6a7_5,pug_0013,bloodhound_0013,doberman_0013,weimaraner_0013
further,e4b733ceb6a7_6,bluesport_0005,basset_0005,sling_0005,tomtit_0005
further,e4b733ceb6a7_8,cuckoo_0017,bluesedan_0017,goldenretriever_0017,inlay_0017
further,e4b733ceb6a7_13,white_0002,chihuahua_0002,pigeon_0002,waiting_0002
further,e4b733ceb6a7_14,inlay_0023,bluesedan_0023,cuckoo_0023,goldenretriever_0023
further,e4b733ceb6a7_15,straight_0033,bullmastiff_0033,redantique_0033,sparrow_0033
closer,e4b733ceb6a7_16,squat_0031,knob_0031,leather_0031,woven_0031
closer,e4b733ceb6a7_17,woven_0009,knob_0009,leather_0009,squat_0009
further,e4b733ceb6a7_18,sparrow_0034,bullmastiff_0034,redantique_0034,straight_0034
further,e4b733ceb6a7_19,basset_0004,bluesport_0004,sling_0004,tomtit_0004
further,e4b733ceb6a7_21,tomtit_0025,basset_0025,bluesport_0025,sling_0025
closer,e4b733ceb6a7_22,leather_0035,knob_0035,squat_0035,woven_0035
further,e4b733ceb6a7_24,waiting_0019,chihuahua_0019,pigeon_0019,white_0019
further,e4b733ceb6a7_26,redantique_0021,bullmastiff_0021,sparrow_0021,straight_0021
further,e4b733ceb6a7_27,chihuahua_0027,pigeon_0027,waiting_0027,white_0027
closer,e4b733ceb6a7_28,knob_0038,leather_0038,squat_0038,woven_0038
further,e4b733ceb6a7_31,goldenretriever_0037,bluesedan_0037,cuckoo_0037,inlay_0037
further,e4b733ceb6a7_32,pigeon_0026,chihuahua_0026,waiting_0026,white_0026
further,9e97a0613616_1,doberman_0039,bluesport_0039,sling_0039,tomtit_0039
closer,9e97a0613616_2,redantique_0002,beetle_0002,redsport_0002,white_0002
further,9e97a0613616_3,bloodhound_0037,bluejay_0037,brown_0037,inlay_0037
closer,9e97a0613616_4,pigeon_0035,crow_0035,cuckoo_0035,robin_0035
further,9e97a0613616_5,inlay_0038,bloodhound_0038,bluejay_0038,brown_0038
further,9e97a0613616_6,bluesedan_0020,nightingale_0020,weimaraner_0020,woven_0020
closer,9e97a0613616_7,basset_0026,bullmastiff_0026,goldenretriever_0026,pug_0026
further,9e97a0613616_8,weimaraner_0011,bluesedan_0011,nightingale_0011,woven_0011
further,9e97a0613616_10,nightingale_0013,bluesedan_0013,weimaraner_0013,woven_0013
further,9e97a0613616_11,sling_0017,bluesport_0017,doberman_0017,tomtit_0017
further,9e97a0613616_12,bluejay_0030,bloodhound_0030,brown_0030,inlay_0030
closer,9e97a0613616_13,goldenretriever_0003,basset_0003,bullmastiff_0003,pug_0003
closer,9e97a0613616_14,crow_0000,cuckoo_0000,pigeon_0000,robin_0000
further,9e97a0613616_15,woven_0006,bluesedan_0006,nightingale_0006,weimaraner_0006
closer,9e97a0613616_16,squat_0032,knob_0032,leather_0032,waiting_0032
further,9e97a0613616_17,chihuahua_0027,hatchback_0027,sparrow_0027,straight_0027
