condition,Distractor1,Distractor2,Distractor3,Target
further,crow_0011,pug_0011,squat_0011,redsport_0011
further,basset_0008,bluesedan_0008,sparrow_0008,waiting_0008
further,chihuahua_0016,straight_0016,tomtit_0016,bluesport_0016
further,bluesport_0004,chihuahua_0004,tomtit_0004,straight_0004
further,cuckoo_0010,redantique_0010,weimaraner_0010,inlay_0010
further,cuckoo_0037,inlay_0037,redantique_0037,weimaraner_0037
further,cuckoo_0013,inlay_0013,weimaraner_0013,redantique_0013
further,basset_0005,sparrow_0005,waiting_0005,bluesedan_0005
further,crow_0020,redsport_0020,squat_0020,pug_0020
further,bluesedan_0017,sparrow_0017,waiting_0017,basset_0017
further,inlay_0034,redantique_0034,weimaraner_0034,cuckoo_0034
further,bluesport_0021,straight_0021,tomtit_0021,chihuahua_0021
further,bluesport_0002,chihuahua_0002,straight_0002,tomtit_0002
further,crow_0031,pug_0031,redsport_0031,squat_0031
further,basset_0001,bluesedan_0001,waiting_0001,sparrow_0001
further,pug_0006,redsport_0006,squat_0006,crow_0006
further,brown_0038,goldenretriever_0038,knob_0038,bluejay_0038
further,doberman_0003,sparrow_0003,white_0003,straight_0003
further,crow_0010,inlay_0010,redsport_0010,bullmastiff_0010
further,bullmastiff_0007,crow_0007,inlay_0007,redsport_0007
further,bluejay_0025,brown_0025,goldenretriever_0025,knob_0025
further,bluejay_0018,brown_0018,knob_0018,goldenretriever_0018
further,bullmastiff_0005,inlay_0005,redsport_0005,crow_0005
further,bloodhound_0037,redantique_0037,waiting_0037,cuckoo_0037
further,bloodhound_0030,cuckoo_0030,redantique_0030,waiting_0030
further,bullmastiff_0001,crow_0001,redsport_0001,inlay_0001
further,bluejay_0019,goldenretriever_0019,knob_0019,brown_0019
further,sparrow_0023,straight_0023,white_0023,doberman_0023
further,doberman_0032,straight_0032,white_0032,sparrow_0032
further,cuckoo_0022,redantique_0022,waiting_0022,bloodhound_0022
further,bloodhound_0035,cuckoo_0035,waiting_0035,redantique_0035
further,doberman_0034,sparrow_0034,straight_0034,white_0034
further,bluesedan_0024,crow_0024,pug_0024,woven_0024
further,chihuahua_0016,nightingale_0016,squat_0016,beetle_0016
further,bluesedan_0022,pug_0022,woven_0022,crow_0022
further,crow_0035,pug_0035,woven_0035,bluesedan_0035
further,beetle_0008,chihuahua_0008,nightingale_0008,squat_0008
further,beetle_0036,chihuahua_0036,squat_0036,nightingale_0036
further,beetle_0029,nightingale_0029,squat_0029,chihuahua_0029
further,doberman_0009,hatchback_0009,pigeon_0009,knob_0009
further,hatchback_0019,knob_0019,pigeon_0019,doberman_0019
further,bluejay_0030,bluesport_0030,weimaraner_0030,straight_0030
further,bluejay_0028,bluesport_0028,straight_0028,weimaraner_0028
further,bluesport_0012,straight_0012,weimaraner_0012,bluejay_0012
further,bluejay_0034,straight_0034,weimaraner_0034,bluesport_0034
further,doberman_0018,hatchback_0018,knob_0018,pigeon_0018
further,bluesedan_0003,crow_0003,woven_0003,pug_0003
further,doberman_0026,knob_0026,pigeon_0026,hatchback_0026
further,bloodhound_0037,bluesport_0037,cuckoo_0037,straight_0037
further,redsport_0033,robin_0033,sling_0033,chihuahua_0033
further,chihuahua_0008,redsport_0008,sling_0008,robin_0008
further,pug_0034,sparrow_0034,white_0034,inlay_0034
further,chihuahua_0010,robin_0010,sling_0010,redsport_0010
further,bluesport_0025,cuckoo_0025,straight_0025,bloodhound_0025
further,basset_0019,beetle_0019,bluejay_0019,squat_0019
further,basset_0004,bluejay_0004,squat_0004,beetle_0004
further,inlay_0020,sparrow_0020,white_0020,pug_0020
further,basset_0016,beetle_0016,squat_0016,bluejay_0016
further,inlay_0035,pug_0035,sparrow_0035,white_0035
further,bloodhound_0018,bluesport_0018,straight_0018,cuckoo_0018
further,chihuahua_0032,redsport_0032,robin_0032,sling_0032
further,bloodhound_0021,cuckoo_0021,straight_0021,bluesport_0021
further,beetle_0029,bluejay_0029,squat_0029,basset_0029
further,inlay_0028,pug_0028,white_0028,sparrow_0028
further,basset_0012,bluesport_0012,tomtit_0012,sling_0012
further,redantique_0020,sparrow_0020,straight_0020,bullmastiff_0020
further,cuckoo_0024,goldenretriever_0024,inlay_0024,bluesedan_0024
further,basset_0005,sling_0005,tomtit_0005,bluesport_0005
further,bluesedan_0017,goldenretriever_0017,inlay_0017,cuckoo_0017
further,chihuahua_0002,pigeon_0002,waiting_0002,white_0002
further,bluesedan_0023,cuckoo_0023,goldenretriever_0023,inlay_0023
further,bullmastiff_0033,redantique_0033,sparrow_0033,straight_0033
further,bullmastiff_0034,redantique_0034,straight_0034,sparrow_0034
further,bluesport_0004,sling_0004,tomtit_0004,basset_0004
further,basset_0025,bluesport_0025,sling_0025,tomtit_0025
further,chihuahua_0019,pigeon_0019,white_0019,waiting_0019
further,bullmastiff_0021,sparrow_0021,straight_0021,redantique_0021
further,pigeon_0027,waiting_0027,white_0027,chihuahua_0027
further,bluesedan_0037,cuckoo_0037,inlay_0037,goldenretriever_0037
further,chihuahua_0026,waiting_0026,white_0026,pigeon_0026
further,bluesport_0039,sling_0039,tomtit_0039,doberman_0039
further,bluejay_0037,brown_0037,inlay_0037,bloodhound_0037
further,bloodhound_0038,bluejay_0038,brown_0038,inlay_0038
further,nightingale_0020,weimaraner_0020,woven_0020,bluesedan_0020
further,bluesedan_0011,nightingale_0011,woven_0011,weimaraner_0011
further,bluesedan_0013,weimaraner_0013,woven_0013,nightingale_0013
further,bluesport_0017,doberman_0017,tomtit_0017,sling_0017
further,bloodhound_0030,brown_0030,inlay_0030,bluejay_0030
further,bluesedan_0006,nightingale_0006,weimaraner_0006,woven_0006
further,hatchback_0027,sparrow_0027,straight_0027,chihuahua_0027
further,doberman_0016,sling_0016,tomtit_0016,bluesport_0016
further,chihuahua_0031,hatchback_0031,straight_0031,sparrow_0031
further,bloodhound_0019,bluejay_0019,inlay_0019,brown_0019
further,chihuahua_0004,hatchback_0004,sparrow_0004,straight_0004
further,chihuahua_0034,sparrow_0034,straight_0034,hatchback_0034
further,bluesport_0005,doberman_0005,sling_0005,tomtit_0005
further,bloodhound_0009,crow_0009,knob_0009,beetle_0009
further,brown_0010,goldenretriever_0010,straight_0010,nightingale_0010
further,bluesedan_0017,inlay_0017,weimaraner_0017,cuckoo_0017
further,beetle_0035,bloodhound_0035,knob_0035,crow_0035
further,doberman_0021,sparrow_0021,white_0021,woven_0021
further,goldenretriever_0013,nightingale_0013,straight_0013,brown_0013
further,beetle_0005,crow_0005,knob_0005,bloodhound_0005
further,doberman_0025,white_0025,woven_0025,sparrow_0025
further,cuckoo_0002,inlay_0002,weimaraner_0002,bluesedan_0002
further,sparrow_0003,white_0003,woven_0003,doberman_0003
further,brown_0011,nightingale_0011,straight_0011,goldenretriever_0011
further,beetle_0032,bloodhound_0032,crow_0032,knob_0032
further,doberman_0012,sparrow_0012,woven_0012,white_0012
further,bluesedan_0038,cuckoo_0038,inlay_0038,weimaraner_0038
further,brown_0007,goldenretriever_0007,nightingale_0007,straight_0007
further,bluesedan_0015,cuckoo_0015,weimaraner_0015,inlay_0015
further,beetle_0003,bluejay_0003,woven_0003,chihuahua_0003
further,bloodhound_0027,leather_0027,pigeon_0027,redsport_0027
further,doberman_0002,nightingale_0002,squat_0002,redantique_0002
further,doberman_0037,nightingale_0037,redantique_0037,squat_0037
further,beetle_0015,chihuahua_0015,woven_0015,bluejay_0015
further,leather_0018,pigeon_0018,redsport_0018,bloodhound_0018
further,beetle_0017,bluejay_0017,chihuahua_0017,woven_0017
further,cuckoo_0030,waiting_0030,white_0030,weimaraner_0030
further,nightingale_0038,redantique_0038,squat_0038,doberman_0038
further,cuckoo_0011,waiting_0011,weimaraner_0011,white_0011
further,bloodhound_0009,leather_0009,redsport_0009,pigeon_0009
further,doberman_0028,redantique_0028,squat_0028,nightingale_0028
further,bloodhound_0026,pigeon_0026,redsport_0026,leather_0026
further,bluejay_0000,chihuahua_0000,woven_0000,beetle_0000
further,waiting_0013,weimaraner_0013,white_0013,cuckoo_0013
further,cuckoo_0021,weimaraner_0021,white_0021,waiting_0021
further,beetle_0015,nightingale_0015,waiting_0015,chihuahua_0015
further,chihuahua_0033,nightingale_0033,waiting_0033,beetle_0033
further,beetle_0026,chihuahua_0026,waiting_0026,nightingale_0026
further,brown_0004,doberman_0004,tomtit_0004,woven_0004
further,inlay_0008,redantique_0008,sparrow_0008,basset_0008
further,basset_0002,inlay_0002,redantique_0002,sparrow_0002
further,basset_0028,inlay_0028,sparrow_0028,redantique_0028
further,bloodhound_0003,bluejay_0003,bluesport_0003,squat_0003
further,bloodhound_0014,bluesport_0014,squat_0014,bluejay_0014
further,basset_0027,redantique_0027,sparrow_0027,inlay_0027
further,bluejay_0010,bluesport_0010,squat_0010,bloodhound_0010
further,bloodhound_0016,bluejay_0016,squat_0016,bluesport_0016
further,brown_0007,doberman_0007,woven_0007,tomtit_0007
further,beetle_0031,chihuahua_0031,nightingale_0031,waiting_0031
further,brown_0020,tomtit_0020,woven_0020,doberman_0020
further,doberman_0029,tomtit_0029,woven_0029,brown_0029
further,bluejay_0020,pug_0020,woven_0020,beetle_0020
further,basset_0017,hatchback_0017,pigeon_0017,waiting_0017
further,brown_0004,goldenretriever_0004,sparrow_0004,sling_0004
further,basset_0000,pigeon_0000,waiting_0000,hatchback_0000
further,bluesport_0031,robin_0031,squat_0031,bloodhound_0031
