,condition,sketchLabel,Target,Distractor1,Distractor2,Distractor3
0,further,d6a8931c94d5_1,trial_8_knob,trial_17_redsport,trial_26_crow,trial_7_basset
1,further,d6a8931c94d5_2,trial_17_redsport,trial_26_crow,trial_7_basset,trial_8_knob
2,further,d6a8931c94d5_7,trial_3_redantique,trial_14_robin,trial_27_sling,trial_2_bullmastiff
3,further,d6a8931c94d5_8,trial_7_basset,trial_17_redsport,trial_26_crow,trial_8_knob
4,further,d6a8931c94d5_12,trial_9_brown,trial_13_tomtit,trial_16_bloodhound,trial_21_woven
5,further,d6a8931c94d5_15,trial_14_robin,trial_27_sling,trial_2_bullmastiff,trial_3_redantique
6,further,d6a8931c94d5_16,trial_16_bloodhound,trial_13_tomtit,trial_21_woven,trial_9_brown
7,further,d6a8931c94d5_17,trial_4_straight,trial_15_nightingale,trial_24_white,trial_25_goldenretriever
8,further,d6a8931c94d5_20,trial_24_white,trial_15_nightingale,trial_25_goldenretriever,trial_4_straight
9,further,d6a8931c94d5_21,trial_13_tomtit,trial_16_bloodhound,trial_21_woven,trial_9_brown
10,further,d6a8931c94d5_22,trial_2_bullmastiff,trial_14_robin,trial_27_sling,trial_3_redantique
11,further,d6a8931c94d5_24,trial_15_nightingale,trial_24_white,trial_25_goldenretriever,trial_4_straight
12,further,d6a8931c94d5_26,trial_21_woven,trial_13_tomtit,trial_16_bloodhound,trial_9_brown
13,further,d6a8931c94d5_28,trial_26_crow,trial_17_redsport,trial_7_basset,trial_8_knob
14,further,d6a8931c94d5_29,trial_27_sling,trial_14_robin,trial_2_bullmastiff,trial_3_redantique
15,further,d6a8931c94d5_32,trial_25_goldenretriever,trial_15_nightingale,trial_24_white,trial_4_straight
16,further,a061099290fc_3,trial_19_pigeon,trial_17_redsport,trial_28_chihuahua,trial_8_knob
17,further,a061099290fc_4,trial_8_knob,trial_17_redsport,trial_19_pigeon,trial_28_chihuahua
18,further,a061099290fc_6,trial_17_redsport,trial_19_pigeon,trial_28_chihuahua,trial_8_knob
19,further,a061099290fc_9,trial_9_brown,trial_15_nightingale,trial_21_woven,trial_7_basset
20,further,a061099290fc_13,trial_16_bloodhound,trial_26_crow,trial_27_sling,trial_6_hatchback
21,further,a061099290fc_15,trial_26_crow,trial_16_bloodhound,trial_27_sling,trial_6_hatchback
22,further,a061099290fc_16,trial_22_leather,trial_10_beetle,trial_25_goldenretriever,trial_29_sparrow
23,further,a061099290fc_17,trial_10_beetle,trial_22_leather,trial_25_goldenretriever,trial_29_sparrow
24,further,a061099290fc_18,trial_27_sling,trial_16_bloodhound,trial_26_crow,trial_6_hatchback
25,further,a061099290fc_19,trial_29_sparrow,trial_10_beetle,trial_22_leather,trial_25_goldenretriever
26,further,a061099290fc_20,trial_6_hatchback,trial_16_bloodhound,trial_26_crow,trial_27_sling
27,further,a061099290fc_21,trial_28_chihuahua,trial_17_redsport,trial_19_pigeon,trial_8_knob
28,further,a061099290fc_25,trial_21_woven,trial_15_nightingale,trial_7_basset,trial_9_brown
29,further,a061099290fc_29,trial_25_goldenretriever,trial_10_beetle,trial_22_leather,trial_29_sparrow
30,further,a061099290fc_30,trial_7_basset,trial_15_nightingale,trial_21_woven,trial_9_brown
31,further,a061099290fc_32,trial_15_nightingale,trial_21_woven,trial_7_basset,trial_9_brown
32,further,66caff2a72e4_5,trial_18_pug,trial_19_pigeon,trial_1_bluesport,trial_27_sling
33,further,66caff2a72e4_6,trial_27_sling,trial_18_pug,trial_19_pigeon,trial_1_bluesport
34,further,66caff2a72e4_8,trial_16_bloodhound,trial_12_bluejay,trial_6_hatchback,trial_8_knob
35,further,66caff2a72e4_10,trial_1_bluesport,trial_18_pug,trial_19_pigeon,trial_27_sling
36,further,66caff2a72e4_12,trial_11_waiting,trial_15_nightingale,trial_2_bullmastiff,trial_31_bluesedan
37,further,66caff2a72e4_14,trial_31_bluesedan,trial_11_waiting,trial_15_nightingale,trial_2_bullmastiff
38,further,66caff2a72e4_15,trial_4_straight,trial_17_redsport,trial_20_cuckoo,trial_23_weimaraner
39,further,66caff2a72e4_16,trial_17_redsport,trial_20_cuckoo,trial_23_weimaraner,trial_4_straight
40,further,66caff2a72e4_18,trial_20_cuckoo,trial_17_redsport,trial_23_weimaraner,trial_4_straight
41,further,66caff2a72e4_20,trial_15_nightingale,trial_11_waiting,trial_2_bullmastiff,trial_31_bluesedan
42,further,66caff2a72e4_23,trial_2_bullmastiff,trial_11_waiting,trial_15_nightingale,trial_31_bluesedan
43,further,66caff2a72e4_25,trial_23_weimaraner,trial_17_redsport,trial_20_cuckoo,trial_4_straight
44,further,66caff2a72e4_26,trial_12_bluejay,trial_16_bloodhound,trial_6_hatchback,trial_8_knob
45,further,66caff2a72e4_27,trial_8_knob,trial_12_bluejay,trial_16_bloodhound,trial_6_hatchback
46,further,66caff2a72e4_29,trial_19_pigeon,trial_18_pug,trial_1_bluesport,trial_27_sling
47,further,66caff2a72e4_31,trial_6_hatchback,trial_12_bluejay,trial_16_bloodhound,trial_8_knob
48,further,e49efb324a4b_2,trial_16_bloodhound,trial_19_pigeon,trial_5_inlay,trial_6_hatchback
49,further,e49efb324a4b_3,trial_27_sling,trial_17_redsport,trial_20_cuckoo,trial_28_chihuahua
50,further,e49efb324a4b_4,trial_28_chihuahua,trial_17_redsport,trial_20_cuckoo,trial_27_sling
51,further,e49efb324a4b_5,trial_17_redsport,trial_20_cuckoo,trial_27_sling,trial_28_chihuahua
52,further,e49efb324a4b_6,trial_19_pigeon,trial_16_bloodhound,trial_5_inlay,trial_6_hatchback
53,further,e49efb324a4b_11,trial_18_pug,trial_14_robin,trial_31_bluesedan,trial_32_squat
54,further,e49efb324a4b_13,trial_14_robin,trial_18_pug,trial_31_bluesedan,trial_32_squat
55,further,e49efb324a4b_14,trial_6_hatchback,trial_16_bloodhound,trial_19_pigeon,trial_5_inlay
56,further,e49efb324a4b_15,trial_7_basset,trial_11_waiting,trial_12_bluejay,trial_9_brown
57,further,e49efb324a4b_17,trial_12_bluejay,trial_11_waiting,trial_7_basset,trial_9_brown
58,further,e49efb324a4b_18,trial_11_waiting,trial_12_bluejay,trial_7_basset,trial_9_brown
59,further,e49efb324a4b_23,trial_9_brown,trial_11_waiting,trial_12_bluejay,trial_7_basset
60,further,e49efb324a4b_24,trial_20_cuckoo,trial_17_redsport,trial_27_sling,trial_28_chihuahua
61,further,e49efb324a4b_25,trial_5_inlay,trial_16_bloodhound,trial_19_pigeon,trial_6_hatchback
62,further,e49efb324a4b_26,trial_32_squat,trial_14_robin,trial_18_pug,trial_31_bluesedan
