condition,object1Name,object2Name,object3Name,object4Name
further,redsport,crow,pug,squat
closer,beetle,brown,hatchback,white
further,waiting,basset,bluesedan,sparrow
closer,goldenretriever,bloodhound,bullmastiff,doberman
further,bluesport,chihuahua,straight,tomtit
further,straight,bluesport,chihuahua,tomtit
further,inlay,cuckoo,redantique,weimaraner
closer,bloodhound,bullmastiff,doberman,goldenretriever
further,weimaraner,cuckoo,inlay,redantique
further,redantique,cuckoo,inlay,weimaraner
closer,pigeon,bluejay,nightingale,robin
closer,bluejay,nightingale,pigeon,robin
further,bluesedan,basset,sparrow,waiting
further,pug,crow,redsport,squat
further,basset,bluesedan,sparrow,waiting
closer,woven,knob,leather,sling
further,cuckoo,inlay,redantique,weimaraner
closer,sling,knob,leather,woven
closer,bullmastiff,bloodhound,doberman,goldenretriever
further,chihuahua,bluesport,straight,tomtit
closer,nightingale,bluejay,pigeon,robin
closer,doberman,bloodhound,bullmastiff,goldenretriever
further,tomtit,bluesport,chihuahua,straight
closer,knob,leather,sling,woven
closer,robin,bluejay,nightingale,pigeon
closer,brown,beetle,hatchback,white
further,squat,crow,pug,redsport
closer,white,beetle,brown,hatchback
closer,hatchback,beetle,brown,white
closer,leather,knob,sling,woven
further,sparrow,basset,bluesedan,waiting
further,crow,pug,redsport,squat
further,bluejay,brown,goldenretriever,knob
further,straight,doberman,sparrow,white
further,bullmastiff,crow,inlay,redsport
closer,nightingale,pigeon,robin,tomtit
further,redsport,bullmastiff,crow,inlay
further,knob,bluejay,brown,goldenretriever
closer,weimaraner,basset,chihuahua,pug
further,goldenretriever,bluejay,brown,knob
closer,bluesedan,beetle,bluesport,hatchback
further,crow,bullmastiff,inlay,redsport
closer,sling,leather,squat,woven
closer,pigeon,nightingale,robin,tomtit
closer,squat,leather,sling,woven
closer,basset,chihuahua,pug,weimaraner
closer,pug,basset,chihuahua,weimaraner
further,cuckoo,bloodhound,redantique,waiting
further,waiting,bloodhound,cuckoo,redantique
closer,bluesport,beetle,bluesedan,hatchback
further,inlay,bullmastiff,crow,redsport
further,brown,bluejay,goldenretriever,knob
closer,beetle,bluesedan,bluesport,hatchback
closer,leather,sling,squat,woven
further,doberman,sparrow,straight,white
closer,woven,leather,sling,squat
closer,hatchback,beetle,bluesedan,bluesport
closer,robin,nightingale,pigeon,tomtit
further,sparrow,doberman,straight,white
further,bloodhound,cuckoo,redantique,waiting
further,redantique,bloodhound,cuckoo,waiting
closer,chihuahua,basset,pug,weimaraner
closer,tomtit,nightingale,pigeon,robin
further,white,doberman,sparrow,straight
closer,brown,redantique,redsport,white
further,woven,bluesedan,crow,pug
further,beetle,chihuahua,nightingale,squat
closer,waiting,inlay,leather,sling
closer,leather,inlay,sling,waiting
