eventType	gameid	time	roundNum	sender	contents
utterance	0192-1c29ed21-30ea-45be-bb95-008af0416a8c	1510713656610	1	speaker	Example 1
utterance	0192-1c29ed21-30ea-45be-bb95-008af0416a8c	1510713669821	2	speaker	Example 2
utterance	0192-1c29ed21-30ea-45be-bb95-008af0416a8c	1510713681409	3	speaker	Example 3
utterance	0192-1c29ed21-30ea-45be-bb95-008af0416a8c	1510713694851	4	speaker	Example 4
utterance	0192-1c29ed21-30ea-45be-bb95-008af0416a8c	1510713710342	5	speaker	Example 5
utterance	0192-1c29ed21-30ea-45be-bb95-008af0416a8c	1510713729201	6	speaker	Example 6
utterance	0192-1c29ed21-30ea-45be-bb95-008af0416a8c	1510713744097	7	speaker	Example 7
utterance	0192-1c29ed21-30ea-45be-bb95-008af0416a8c	1510713756409	8	speaker	Example 8
utterance	0192-1c29ed21-30ea-45be-bb95-008af0416a8c	1510713766539	9	speaker	Example 9
utterance	0192-1c29ed21-30ea-45be-bb95-008af0416a8c	1510713775383	10	speaker	Example 10
utterance	0192-1c29ed21-30ea-45be-bb95-008af0416a8c	1510713786320	11	listener	Example 11
utterance	0192-1c29ed21-30ea-45be-bb95-008af0416a8c	1510713790487	11	speaker	Yep
utterance	0192-1c29ed21-30ea-45be-bb95-008af0416a8c	1510713810537	12	speaker	Example 12
utterance	0192-1c29ed21-30ea-45be-bb95-008af0416a8c	1510713821426	13	speaker	Example 13
utterance	0192-1c29ed21-30ea-45be-bb95-008af0416a8c	1510713831892	14	speaker	Example 14
utterance	0192-1c29ed21-30ea-45be-bb95-008af0416a8c	1510713843876	15	speaker	Example 15
