gameid, time, roundNum, trialType, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, basiclevelClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Basiclevel, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Basiclevel, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Basiclevel, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Basiclevel, alt4superdomain
1223-7,1449255290794,1,subSuperTrial,distr22,mnMs,target,3,2,candy,snack,blackStimulus,NA,5,5,NA,NA,popcorn,distrClass2,4,3,NA,snack,blackStimulus,NA,1,1,NA,NA,pretzels,distrClass2,2,4,NA,snack
1223-7,1449255303317,2,subSuperTrial,distr23,hummingBird,target,2,3,bird,animal,blackStimulus,NA,5,5,NA,NA,chick,distrClass2,4,2,NA,animal,bed,distrClass3,3,4,NA,furniture,blackStimulus,NA,1,1,NA,NA
1223-7,1449255310351,3,colorSizeTrial,colorOnly2Distr1Same,small_red_pepper,target,2,2,NA,NA,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,big_green_pepper,distractor,3,3,NA,NA,small_green_pepper,distractor,4,4,NA,NA
1223-7,1449255318917,4,colorSizeTrial,sizeOnly3Distr1Same,small_green_guitar,target,3,3,NA,NA,blackStimulus,NA,5,5,NA,NA,big_green_guitar,distractor,1,4,NA,NA,big_blue_guitar,distractor,2,2,NA,NA,big_blue_guitar,distractor,4,1,NA,NA
1223-7,1449255328193,5,colorSizeTrial,sizeOnly3Distr2Same,small_black_belt,target,4,4,NA,NA,big_brown_belt,distractor,2,2,NA,NA,big_black_belt,distractor,1,3,NA,NA,blackStimulus,NA,5,5,NA,NA,big_black_belt,distractor,3,1,NA,NA
1223-7,1449255335931,6,subSuperTrial,distr22,eagle,target,2,3,bird,animal,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,snake,distrClass2,4,4,NA,animal,elephant,distrClass2,3,2,NA,animal
1223-7,1449255345228,7,subSuperTrial,distr12,goldFish,target,3,2,fish,animal,blackStimulus,NA,5,5,NA,NA,cow,distrClass2,4,4,NA,animal,blackStimulus,NA,1,1,NA,NA,discusFish,distrClass1,2,3,fish,animal
1223-7,1449255353605,8,subSuperTrial,distr22,picnicTable,target,4,3,table,furniture,lamp,distrClass2,3,2,NA,furniture,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,bed,distrClass2,2,4,NA,furniture
1223-7,1449255367378,9,colorSizeTrial,sizeOnly3Distr2Same,big_brown_jacket,target,4,3,NA,NA,small_green_jacket,distractor,1,2,NA,NA,small_brown_jacket,distractor,2,1,NA,NA,blackStimulus,NA,5,5,NA,NA,small_brown_jacket,distractor,3,4,NA,NA
1223-7,1449255374086,10,subSuperTrial,distr33,hawaiiShirt,target,2,2,shirt,clothing,pig,distrClass3,4,3,NA,animal,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,horse,distrClass3,3,4,NA,animal
1223-7,1449255380771,11,subSuperTrial,distr22,skittles,target,3,4,candy,snack,pretzels,distrClass2,2,2,NA,snack,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,cookies,distrClass2,4,3,NA,snack
1223-7,1449255391726,12,colorSizeTrial,colorOnly3Distr3Same,big_pink_phone,target,2,1,NA,NA,big_white_phone,distractor,3,3,NA,NA,big_white_phone,distractor,4,2,NA,NA,blackStimulus,NA,5,5,NA,NA,big_white_phone,distractor,1,4,NA,NA
1223-7,1449255397817,13,subSuperTrial,distr23,sportsCar,target,3,2,car,vehicle,cookies,distrClass3,4,4,NA,snack,firetruck,distrClass2,2,3,NA,vehicle,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA
1223-7,1449255405958,14,colorSizeTrial,colorOnly4Distr3Same,small_white_weddingcake,target,2,1,NA,NA,small_pink_weddingcake,distractor,3,5,NA,NA,small_pink_weddingcake,distractor,5,2,NA,NA,small_pink_weddingcake,distractor,4,3,NA,NA,big_pink_weddingcake,distractor,1,4,NA,NA
1223-7,1449255414312,15,subSuperTrial,distr12,gummyBears,target,4,2,candy,snack,pretzels,distrClass2,3,4,NA,snack,candyCorn,distrClass1,2,3,candy,snack,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA
1223-7,1449255420382,16,colorSizeTrial,colorOnly3Distr2Same,small_blue_binder,target,3,1,NA,NA,big_green_binder,distractor,1,4,NA,NA,blackStimulus,NA,5,5,NA,NA,small_green_binder,distractor,4,3,NA,NA,small_green_binder,distractor,2,2,NA,NA
1223-7,1449255426485,17,subSuperTrial,distr23,bedsideTable,target,3,2,table,furniture,bison,distrClass3,4,3,NA,animal,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,bookcase,distrClass2,2,4,NA,furniture
1223-7,1449255434240,18,colorSizeTrial,sizeOnly3Distr2Same,big_red_bike,target,1,1,NA,NA,small_red_bike,distractor,3,4,NA,NA,small_purple_bike,distractor,4,3,NA,NA,small_red_bike,distractor,2,2,NA,NA,blackStimulus,NA,5,5,NA,NA
1223-7,1449255441900,19,subSuperTrial,distr12,swordFish,target,4,2,fish,animal,rhino,distrClass2,3,3,NA,animal,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,discusFish,distrClass1,2,4,fish,animal
1223-7,1449255448239,20,colorSizeTrial,colorOnly4Distr3Same,big_pink_bucket,target,4,4,NA,NA,small_red_bucket,distractor,1,2,NA,NA,big_red_bucket,distractor,5,1,NA,NA,big_red_bucket,distractor,2,5,NA,NA,big_red_bucket,distractor,3,3,NA,NA
1223-7,1449255459238,21,colorSizeTrial,sizeOnly3Distr1Same,big_purple_bracelet,target,2,3,NA,NA,small_green_bracelet,distractor,4,4,NA,NA,small_purple_bracelet,distractor,3,1,NA,NA,blackStimulus,NA,5,5,NA,NA,small_green_bracelet,distractor,1,2,NA,NA
1223-7,1449255473751,22,subSuperTrial,distr12,germanShepherd,target,4,3,dog,animal,crocodile,distrClass2,3,4,NA,animal,greyhound,distrClass1,2,2,dog,animal,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA
1223-7,1449255480290,23,colorSizeTrial,sizeOnly2Distr1Same,big_white_teacup,target,2,2,NA,NA,small_pink_teacup,distractor,4,4,NA,NA,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,small_white_teacup,distractor,3,3,NA,NA
1223-7,1449255486987,24,colorSizeTrial,sizeOnly3Distr3Same,small_red_stapler,target,2,2,NA,NA,big_red_stapler,distractor,4,1,NA,NA,big_red_stapler,distractor,3,3,NA,NA,big_red_stapler,distractor,1,4,NA,NA,blackStimulus,NA,5,5,NA,NA
1223-7,1449255493755,25,colorSizeTrial,sizeOnly3Distr3Same,big_green_rock,target,1,2,NA,NA,small_green_rock,distractor,2,1,NA,NA,blackStimulus,NA,5,5,NA,NA,small_green_rock,distractor,3,3,NA,NA,small_green_rock,distractor,4,4,NA,NA
1223-7,1449255503290,26,subSuperTrial,distr12,koalaBear,distrClass1,3,4,bear,animal,lobster,distrClass2,4,3,NA,animal,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,pandaBear,target,2,2,bear,animal
1223-7,1449255509251,27,subSuperTrial,distr33,diningTable,target,2,2,table,furniture,lobster,distrClass3,3,3,NA,animal,blackStimulus,NA,1,1,NA,NA,crocodile,distrClass3,4,4,NA,animal,blackStimulus,NA,5,5,NA,NA
1223-7,1449255517174,28,colorSizeTrial,sizeOnly3Distr1Same,big_blue_ornament,target,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,small_purple_ornament,distractor,3,2,NA,NA,small_purple_ornament,distractor,4,4,NA,NA,small_blue_ornament,distractor,2,3,NA,NA
1223-7,1449255525399,29,colorSizeTrial,colorOnly3Distr1Same,big_purple_butterfly,target,2,1,NA,NA,small_blue_butterfly,distractor,1,4,NA,NA,blackStimulus,NA,5,5,NA,NA,small_blue_butterfly,distractor,3,2,NA,NA,big_blue_butterfly,distractor,4,3,NA,NA
1223-7,1449255534615,30,colorSizeTrial,sizeOnly4Distr3Same,big_pink_balloon,target,3,3,NA,NA,small_pink_balloon,distractor,2,2,NA,NA,small_pink_balloon,distractor,1,4,NA,NA,small_pink_balloon,distractor,4,1,NA,NA,small_yellow_balloon,distractor,5,5,NA,NA
