workerid,totalLength,gameID,thinksHuman,confused,comments,ratePartner,role,nativeEnglish
0,139434,1087-8,yes,yes,,liked,listener,yes
1,722526,5895-a,yes,yes,,liked,speaker,yes
2,697140,5895-a,yes,yes,,liked,listener,yes
3,986650,8483-3,yes,yes,Thanks. That was fun!,liked,speaker,yes
4,975023,8483-3,no,yes,,okay,listener,yes
5,950681,0387-1,yes,yes,"This was a really a fun and interesting hit, thank you. ",loved,listener,yes
6,966003,0387-1,yes,yes,"This was super fun, and my parter was also super fun! Though he called me a man, and I&quotecharm actually a woman. Still, it was fun!",loved,speaker,yes
7,965454,1297-b,yes,yes,This was a fun experiment.,loved,listener,yes
8,1078162,1297-b,yes,yes,I saw in the instructions I&quotechard be saying the color. I quickly realized I&quotechard be describing the shapes. That confused me initially. But once I started I got it down and it was fun. ,loved,speaker,yes
9,1317881,9764-6,no,yes,Nope.,okay,speaker,yes
10,1013064,9764-6,yes,yes,I&quotechard have liked to seen the bonus for each correct one be at least 2 cents if possible,liked,listener,yes
11,186988,0126-4,yes,yes,"I think ours was broken. My speaker said that his/her images never loaded. I guessed on the first round to go to the second and see if that would work. It didn&quotechart, so it looks like my partner quit. ",liked,listener,yes
12,150637,2970-4,no,yes,The experiment ended after only six rounds!,okay,speaker,yes
13,673080,6549-7,yes,yes,thanks,loved,speaker,yes
14,635923,6549-7,yes,yes,No comments,liked,listener,yes
15,710994,7977-3,yes,yes,"I&quotecharm not sure if my partner disconnected or not, but I was forwarded to the end at round 22; also -- in the HIT form, regarding the questions we were asked to answer: I have not participated in this experiment, but I have done a similar one. Wasn&quotechart entirely sure how to respond. Thanks!",okay,listener,yes
16,1098139,7936-b,yes,yes,,loved,speaker,yes
17,143256,3981-6,yes,yes,"yes, I have comments - nobody showed up! I waited only about a minute, and then found myself on this page to submit. Is that right???",loved,listener,yes
18,680799,1384-3,yes,yes,no,liked,speaker,yes
19,677144,1384-3,yes,yes,no,loved,listener,yes
20,1213181,7936-b,yes,yes,This was an interesting and different from anything I have done,loved,listener,yes
21,762711,8654-6,yes,yes,,loved,speaker,yes
22,793157,8654-6,yes,yes,No,okay,listener,yes
23,304455,9494-5,yes,yes,Thanks!,not much,listener,yes
24,1427673,8680-a,yes,yes,,liked,speaker,yes
25,1425463,8680-a,yes,yes,,loved,listener,yes
26,1322681,7349-b,yes,yes,No,loved,speaker,yes
