iterationName	gameid	time	trialNum	intendedName	clickedName	correct	condition	family	intendedMember	clickedMember	shapenet_id	object1Name	object1SketcherLoc	object1ViewerLoc	object2Name	object2SketcherLoc	object2ViewerLoc	object3Name	object3SketcherLoc	object3ViewerLoc	eventType
pilot0	2914-2a3df33c-0616-4b12-a04a-3992263d1783	1501544824403	1	close_28_a_c79532846cee59c35a4549f761d78642	close_28_a_c79532846cee59c35a4549f761d78642	true	close	28	a	a	c79532846cee59c35a4549f761d78642	close_28_a_c79532846cee59c35a4549f761d78642	1	1	close_28_b_c79532846cee59c35a4549f761d78642	3	2	close_28_c_c79532846cee59c35a4549f761d78642	2	3	clickedObj
pilot0	2914-2a3df33c-0616-4b12-a04a-3992263d1783	1501544862717	2	close_58_a_6cf3b41688dfc4b4707cdefe012d	close_58_a_6cf3b41688dfc4b4707cdefe012d	true	close	58	a	a	6cf3b41688dfc4b4707cdefe012d0353	close_58_a_6cf3b41688dfc4b4707cdefe012d	1	2	close_58_b_6cf3b41688dfc4b4707cdefe012d	3	1	close_58_c_6cf3b41688dfc4b4707cdefe012d	2	3	clickedObj
pilot0	2914-2a3df33c-0616-4b12-a04a-3992263d1783	1501544899248	3	far_107_a_f112035c6413080a664b3b9b23dd	far_107_a_f112035c6413080a664b3b9b23dd	true	far	107	a	a	f112035c6413080a664b3b9b23ddfcbc	far_107_a_f112035c6413080a664b3b9b23dd	1	1	far_107_b_f112035c6413080a664b3b9b23dd	2	3	far_107_c_f112035c6413080a664b3b9b23dd	3	2	clickedObj
pilot0	2914-2a3df33c-0616-4b12-a04a-3992263d1783	1501544926627	4	far_120_a_41852b57b492559eb36178084a593098	far_120_a_41852b57b492559eb36178084a593098	true	far	120	a	a	41852b57b492559eb36178084a593098	far_120_a_41852b57b492559eb36178084a593098	3	2	far_120_b_41852b57b492559eb36178084a593098	2	1	far_120_c_41852b57b492559eb36178084a593098	1	3	clickedObj
pilot0	2914-2a3df33c-0616-4b12-a04a-3992263d1783	1501544969977	5	close_57_a_1055f78d441d170c4f3443b2	close_57_a_1055f78d441d170c4f3443b2	true	close	57	a	a	1055f78d441d170c4f3443b22038d340	close_57_a_1055f78d441d170c4f3443b2	2	3	close_57_b_1055f78d441d170c4f3443b2	1	2	close_57_c_1055f78d441d170c4f3443b2	3	1	clickedObj
pilot0	2914-2a3df33c-0616-4b12-a04a-3992263d1783	1501544997078	6	far_27_a_7b5b032a2cddeebc54d7082b3482	far_27_a_7b5b032a2cddeebc54d7082b3482	true	far	27	a	a	7b5b032a2cddeebc54d7082b34825ef0	far_27_a_7b5b032a2cddeebc54d7082b3482	3	1	far_27_b_7b5b032a2cddeebc54d7082b3482	2	2	far_27_c_7b5b032a2cddeebc54d7082b3482	1	3	clickedObj
pilot0	2914-2a3df33c-0616-4b12-a04a-3992263d1783	1501545026063	7	far_62_a_93ee27f70b593cee7b11ae648ea9	far_62_a_93ee27f70b593cee7b11ae648ea9	true	far	62	a	a	93ee27f70b593cee7b11ae648ea92233	far_62_a_93ee27f70b593cee7b11ae648ea9	1	3	far_62_b_93ee27f70b593cee7b11ae648ea9	3	2	far_62_c_93ee27f70b593cee7b11ae648ea9	2	1	clickedObj
pilot0	2914-2a3df33c-0616-4b12-a04a-3992263d1783	1501545052332	8	close_79_a_bbf45d2d189dcd758e5f5b49c9f5	close_79_a_bbf45d2d189dcd758e5f5b49c9f5	true	close	79	a	a	bbf45d2d189dcd758e5f5b49c9f5b3f2	close_79_a_bbf45d2d189dcd758e5f5b49c9f5	1	1	close_79_b_bbf45d2d189dcd758e5f5b49c9f5	2	2	close_79_c_bbf45d2d189dcd758e5f5b49c9f5	3	3	clickedObj
pilot0	2914-2a3df33c-0616-4b12-a04a-3992263d1783	1501545082528	9	close_121_a_91cf38c4b99d75374fa746d16faad4f5	close_121_a_91cf38c4b99d75374fa746d16faad4f5	true	close	121	a	a	91cf38c4b99d75374fa746d16faad4f5	close_121_a_91cf38c4b99d75374fa746d16faad4f5	1	3	close_121_b_91cf38c4b99d75374fa746d16faad4f5	3	2	close_121_c_91cf38c4b99d75374fa746d16faad4f5	2	1	clickedObj
pilot0	2914-2a3df33c-0616-4b12-a04a-3992263d1783	1501545121780	10	split_16_a_a3260f0c8fddf11cf0f4992137d8	split_16_a_a3260f0c8fddf11cf0f4992137d8	true	split	16	a	a	a3260f0c8fddf11cf0f4992137d8f4a3	split_16_a_a3260f0c8fddf11cf0f4992137d8	1	1	split_16_b_a3260f0c8fddf11cf0f4992137d8	2	3	split_16_c_a3260f0c8fddf11cf0f4992137d8	3	2	clickedObj
