iterationName	gameid	time	trialNum	intendedName	clickedName	correct	condition	family	intendedMember	clickedMember	shapenet_id	object1Name	object1SketcherLoc	object1ViewerLoc	object2Name	object2SketcherLoc	object2ViewerLoc	object3Name	object3SketcherLoc	object3ViewerLoc	eventType
pilot0	9734-7bdb2c43-17cb-4fa1-9d85-444d6c4a4a5f	1501895788386	1	close_17_a_81ba38f4d3b7eac1	close_17_a_81ba38f4d3b7eac1	true	close	17	a	a	81ba38f4d3b7eac1f82a35e8b19afa86	close_17_a_81ba38f4d3b7eac1	1	3	close_17_b_81ba38f4d3b7eac1	2	2	close_17_c_81ba38f4d3b7eac1	3	1	clickedObj
pilot0	9734-7bdb2c43-17cb-4fa1-9d85-444d6c4a4a5f	1501895842577	2	close_89_a_5379	close_89_a_5379	true	close	89	a	a	537924063294eb5f46ed025f8f85e067	close_89_a_5379	1	3	close_89_b_5379	3	2	close_89_c_5379	2	1	clickedObj
pilot0	9734-7bdb2c43-17cb-4fa1-9d85-444d6c4a4a5f	1501895866862	3	split_2	split_2	true	split	25	a	a	3bb2201ba3b8709523f4da4464aa0c0b	split_2	1	2	split_2	2	1	split_2	3	3	clickedObj
pilot0	9734-7bdb2c43-17cb-4fa1-9d85-444d6c4a4a5f	1501895893203	4	split_116_a_5e89f5cc	split_116_a_5e89f5cc	true	split	116	a	a	5e89f5cc834553622acd2bb6205825cb	split_116_a_5e89f5cc	3	1	split_116_b_5e89f5cc	2	2	split_116_c_5e89f5cc	1	3	clickedObj
pilot0	9734-7bdb2c43-17cb-4fa1-9d85-444d6c4a4a5f	1501895916594	5	far_2	far_2	true	far	27	a	a	7b5b032a2cddeebc54d7082b34825ef0	far_2	2	3	far_2	1	2	far_2	3	1	clickedObj
pilot0	9734-7bdb2c43-17cb-4fa1-9d85-444d6c4a4a5f	1501895948663	6	far_62_a_93ee	far_62_a_93ee	true	far	62	a	a	93ee27f70b593cee7b11ae648ea92233	far_62_a_93ee	3	2	far_62_b_93ee	2	1	far_62_c_93ee	1	3	clickedObj
pilot0	9734-7bdb2c43-17cb-4fa1-9d85-444d6c4a4a5f	1501895975927	7	close_35_a_3853	close_35_a_3853	true	close	35	a	a	3853339519aca1bdfcd4910413c446d9	close_35_a_3853	2	3	close_35_b_3853	3	2	close_35_c_3853	1	1	clickedObj
pilot0	9734-7bdb2c43-17cb-4fa1-9d85-444d6c4a4a5f	1501896012557	8	split_30_a_313bfbd7	split_30_a_313bfbd7	true	split	30	a	a	313bfbd7bc2d516e14d782de5388fe8c	split_30_a_313bfbd7	3	1	split_30_b_313bfbd7	1	3	split_30_c_313bfbd7	2	2	clickedObj
pilot0	9734-7bdb2c43-17cb-4fa1-9d85-444d6c4a4a5f	1501896044276	9	close_128_a_faca91ff3f9e2b93a87d	close_128_a_faca91ff3f9e2b93a87d	true	close	128	a	a	faca91ff3f9e2b93a87dbaf229daf408	close_128_a_faca91ff3f9e2b93a87d	3	2	close_128_b_faca91ff3f9e2b93a87d	1	1	close_128_c_faca91ff3f9e2b93a87d	2	3	clickedObj
pilot0	9734-7bdb2c43-17cb-4fa1-9d85-444d6c4a4a5f	1501896068749	10			true	close	134	a	a	11dba3a8d7b7210f5ff61a3a2a0e2484		3	1		2	3		1	2	clickedObj
pilot0	9734-7bdb2c43-17cb-4fa1-9d85-444d6c4a4a5f	1501896096828	11	split_	split_	true	split	68	a	a	98f923c006fdd918e6d206b2ed87676	split_	3	1	split_	2	3	split_	1	2	clickedObj
pilot0	9734-7bdb2c43-17cb-4fa1-9d85-444d6c4a4a5f	1501896116802	12	close_123_a_e3d2	close_123_a_e3d2	true	close	123	a	a	e3d23dc47ddd9620c9be65dfbd21428b	close_123_a_e3d2	2	2	close_123_b_e3d2	3	1	close_123_c_e3d2	1	3	clickedObj
pilot0	9734-7bdb2c43-17cb-4fa1-9d85-444d6c4a4a5f	1501896135018	13	split_48_a_8d4efa98	split_48_a_8d4efa98	true	split	48	a	a	8d4efa9893f7e49b3a85b56ecd01e269	split_48_a_8d4efa98	3	2	split_48_b_8d4efa98	1	3	split_48_c_8d4efa98	2	1	clickedObj
pilot0	9734-7bdb2c43-17cb-4fa1-9d85-444d6c4a4a5f	1501896161338	14	split_64_a_2a1	split_64_a_2a1	true	split	64	a	a	2a1184b04dd8f30e3e92f39ce48d644	split_64_a_2a1	1	1	split_64_b_2a1	2	3	split_64_c_2a1	3	2	clickedObj
pilot0	9734-7bdb2c43-17cb-4fa1-9d85-444d6c4a4a5f	1501896187724	15	close_2_a_	close_2_a_	true	close	2	a	a	46c7367eede2d9c5ca2ed12df13a916a	close_2_a_	2	1	close_2_b_	1	2	close_2_c_	3	3	clickedObj
pilot0	9734-7bdb2c43-17cb-4fa1-9d85-444d6c4a4a5f	1501896207310	16	far_50_a_	far_50_a_	true	far	50	a	a	f550b5413eb040c29829306a513f9466	far_50_a_	2	3	far_50_b_	3	1	far_50_c_	1	2	clickedObj
pilot0	9734-7bdb2c43-17cb-4fa1-9d85-444d6c4a4a5f	1501896227680	17	close_22_a_8b005a01	close_22_a_8b005a01	true	close	22	a	a	8b005a01cf4ae50dab49dceef0d15b99	close_22_a_8b005a01	2	1	close_22_b_8b005a01	3	2	close_22_c_8b005a01	1	3	clickedObj
pilot0	9734-7bdb2c43-17cb-4fa1-9d85-444d6c4a4a5f	1501896248699	18	far_111_a_892d8090	far_111_a_892d8090	true	far	111	a	a	892d8090f05c136dd93768e7b9b1eabf	far_111_a_892d8090	3	2	far_111_b_892d8090	1	1	far_111_c_892d8090	2	3	clickedObj
pilot0	9734-7bdb2c43-17cb-4fa1-9d85-444d6c4a4a5f	1501896268747	19			true	far	107	a	a	f112035c6413080a664b3b9b23ddfcbc		3	2		1	1		2	3	clickedObj
pilot0	9734-7bdb2c43-17cb-4fa1-9d85-444d6c4a4a5f	1501896285574	20	far_113_a_3e1e1070ed7a	far_113_a_3e1e1070ed7a	true	far	113	a	a	3e1e1070ed7a0ba67484091a041fe77e	far_113_a_3e1e1070ed7a	2	1	far_113_b_3e1e1070ed7a	1	2	far_113_c_3e1e1070ed7a	3	3	clickedObj
