gameid,roundNum,targetHex,alt1Hex,alt2Hex,clickStatus,strippedContents,cleanMsg
1124-1,1,#1848E7,#B011EE,#290AF5,distr2,The darker blue one,darker blue one
1124-1,2,#69609F,#2BD445,#C3B63C,target,purple,purple
1124-1,3,#C837C6,#ED12E6,#B434CB,distr2,Medium pink,medium pink
1124-1,3,#C837C6,#ED12E6,#B434CB,distr2,the medium dark one,medium dark one
1124-1,4,#88D42B,#849A65,#A35BA4,distr1,lime,lime
1124-1,5,#14EB95,#D1C92E,#1114EE,target,Mint green ,mint green
1124-1,6,#888277,#87738C,#CFC930,target,Mud brown,mud brown
1124-1,7,#838B74,#629D75,#D419E6,target,Mud brown,mud brown
1124-1,8,#73946B,#708F81,#B2FE01,target,Camo green,camo green
1124-1,9,#B95046,#DB6124,#2FC2D0,target,Darkish red,darkish red
1124-1,10,#6F7D90,#18E7B0,#78EB14,target,Grey,grey
1124-1,11,#5866A7,#2DD2BC,#C23D5A,target,Purple,purple
1124-1,12,#3ECB34,#12ED5B,#1DE2A0,target,Darkest shade of green  forest green,darkest shade green forest green
1124-1,13,#88936C,#857D7A,#A03EC1,target,One of the brown ones  the lighter shaded one,one brown ones lighter shaded one
1124-1,14,#956A8D,#8B6996,#46CB34,target,The more vibrantly red one        not the more purple one,vibrantly red one purple one
1124-1,15,#4781B8,#7032CD,#8FDE21,target,blue,blue
1124-1,16,#067FF9,#40A6BF,#BD9E42,target,Plain blue,plain blue
1124-1,17,#BDA842,#87748B,#30CFC4,target,Yellowish brownish orangish yellow,yellowish brownish orangish yellow
1124-1,17,#BDA842,#87748B,#30CFC4,target,lol,lol
1124-1,18,#778A75,#6BAC53,#DF20D2,target,Like that description  Haha,like description haha
1124-1,18,#778A75,#6BAC53,#DF20D2,target,Thank you ,thank
1124-1,18,#778A75,#6BAC53,#DF20D2,target,Grey,grey
1124-1,19,#6B9A65,#54AB78,#B44B56,target,Camo green,camo green
1124-1,20,#7F7E81,#71848E,#71738E,target,Brown,brown
1124-1,21,#E31C8D,#A35C70,#DA25AD,distr2,Neon pink,neon pink
1124-1,22,#7F827D,#867B79,#FEB201,target,oopsies  I think they're both a bit neon,oopsies think bit neon
1124-1,22,#7F827D,#867B79,#FEB201,target,the greyish one that's not the browner one,greyish one browner one
1124-1,23,#957C6A,#808080,#BD42A4,target,Brown,brown
1124-1,24,#4EB14E,#18E73E,#2DD2D0,target,forest green,forest green
1124-1,25,#81857A,#95866A,#86946B,target,greyest one,greyest one
1124-1,26,#B6497C,#CD32BB,#798486,target,darker red,darker red
1124-1,27,#F00F35,#9D6267,#AB7054,target,red,red
1124-1,28,#B647B8,#E31C86,#E014EB,target,purple  darker one,purple darker one
1124-1,29,#D95026,#AB7254,#C837C3,target,orange,orange
1124-1,30,#78CC33,#92ED12,#B44B5B,target,dark green,dark green
1124-1,31,#87787E,#80C639,#2AD5AD,target,grey,grey
1124-1,32,#3EC19A,#7E916E,#E219E6,distr1,green,green
1124-1,34,#965EA1,#BF40B9,#744EB1,distr2,Hahaha  Me too    This one is purple    Not neon and not lavender,hahaha one purple neon lavender
1124-1,35,#F5220A,#A642BD,#5EA164,target,Red,red
1124-1,36,#94D926,#41C837,#19D1E6,target,Lime green  not forest green,lime green forest green
1124-1,37,#547FAB,#807E81,#6D956A,target,blue,blue
1124-1,39,#8C7B73,#7A7986,#98677A,target,light brown,light brown
1124-1,40,#A37C5C,#03FCB6,#708F76,target,brown,brown
1124-1,41,#3937C8,#793DC2,#9D1DE2,target,blue,blue
1124-1,42,#4AB5A5,#6C8E93,#58A7A4,distr2,lightest shade of teal blue green,lightest shade teal blue green
1124-1,43,#2817E8,#77758A,#CD32A1,target,blue,blue
1124-1,44,#619E89,#7E7986,#1CE37C,target,dark yucky green,dark yucky green
1124-1,45,#75888A,#9FF708,#9822DD,target,grey,grey
1124-1,46,#738C87,#03FC30,#FE0134,target,grey,grey
1124-1,47,#EB5514,#60929F,#3EC16E,target,red,red
1124-1,48,#42BD7D,#06F95F,#1DE2B4,target,dark green,dark green
