gameid,time,roundNum,redH,redW,redX,redY,blueH,blueW,blueX,blueY,plazaD,plazaX,plazaY,lilyX,lilyY,mouseX, mouseY
2594-e,1479510344821,1,86, 137, 401, 139, 131, 194, 231, 237, 100, 363, 215, 363, 265, 402, 253
2594-e,1479510367377,2,85, 109, 179, 204, 249, 276, 316, 112, 100, 321, 222, 424, 191, 458, 233
2594-e,1479510404914,3,56, 128, 60, 66, 200, 53, 400, 149, 100, 62, 187, 450, 130, 469, 134
2594-e,1479510447066,4,163, 66, 358, 228, 152, 163, 61, 53, 100, 274, 113, 200, 250, 225, 243
2594-e,1479510494804,5,222, 105, 173, 128, 291, 226, 368, 89, 100, 391, 155, 290, 300, 305, 351
2594-e,1479510527328,6,98, 82, 507, 293, 285, 63, 210, 107, 100, 65, 299, 540, 326, 560, 342
2594-e,1479510587347,7,163, 66, 358, 228, 152, 163, 61, 53, 100, 274, 113, 220, 100, 244, 113
2594-e,1479510656099,8,118, 77, 311, 134, 62, 289, 181, 307, 100, 307, 175, 323, 200, 324, 222
2594-e,1479510704902,9,87, 246, 243, 256, 153, 233, 331, 58, 100, 78, 122, 78, 172, 93, 180
2594-e,1479510751674,10,118, 77, 311, 134, 62, 289, 181, 307, 100, 307, 175, 382, 314, 405, 342
2594-e,1479510829284,11,298, 289, 153, 54, 92, 79, 474, 263, 100, 184, 71, 164, 190, 231, 197
2594-e,1479510868891,12,285, 206, 289, 80, 134, 59, 65, 134, 100, 438, 230, 91, 206, 109, 218
2594-e,1479510924533,13,118, 77, 311, 134, 62, 289, 181, 307, 100, 307, 175, 400, 225, 443, 247
2594-e,1479510960209,14,64, 155, 121, 228, 207, 133, 318, 80, 100, 360, 67, 380, 150, 399, 187
2594-e,1479511020048,15,54, 178, 161, 310, 233, 122, 429, 51, 100, 438, 188, 491, 339, 493, 337
2594-e,1479511095377,16,140, 278, 304, 199, 251, 176, 90, 75, 100, 487, 150, 250, 150, 266, 181
2594-e,1479511135177,17,163, 66, 358, 228, 152, 163, 61, 53, 100, 274, 113, 250, 100, 262, 122
2594-e,1479511178053,18,54, 178, 161, 310, 233, 122, 429, 51, 100, 438, 188, 400, 150, 411, 168
2594-e,1479511221515,19,140, 278, 304, 199, 251, 176, 90, 75, 100, 487, 150, 400, 190, 400, 199
2594-e,1479511257063,20,87, 246, 243, 256, 153, 233, 331, 58, 100, 78, 122, 311, 250, 340, 255
2594-e,1479511294314,21,56, 128, 60, 66, 200, 53, 400, 149, 100, 62, 187, 180, 60, 177, 72
2594-e,1479511354253,22,86, 52, 418, 165, 56, 303, 116, 106, 100, 279, 86, 390, 209, 418, 244
2594-e,1479511386247,23,183, 132, 209, 94, 78, 181, 114, 319, 100, 265, 221, 199, 340, 216, 360
2594-e,1479511412421,24,87, 246, 243, 256, 153, 233, 331, 58, 100, 78, 122, 120, 130, 135, 142
2594-e,1479511461097,25,54, 178, 161, 310, 233, 122, 429, 51, 100, 438, 188, 470, 210, 494, 214
2594-e,1479511503448,26,163, 66, 358, 228, 152, 163, 61, 53, 100, 274, 113, 355, 277, 377, 288
2594-e,1479511548896,27,298, 289, 153, 54, 92, 79, 474, 263, 100, 184, 71, 200, 80, 221, 102
2594-e,1479511589885,28,56, 128, 60, 66, 200, 53, 400, 149, 100, 62, 187, 110, 100, 121, 125
2594-e,1479511623890,29,56, 128, 60, 66, 200, 53, 400, 149, 100, 62, 187, 50, 200, 53, 236
2594-e,1479511651624,30,298, 289, 153, 54, 92, 79, 474, 263, 100, 184, 71, 500, 300, 504, 315
2594-e,1479511725802,31,53, 269, 294, 290, 115, 251, 294, 120, 100, 401, 255, 419, 125, 449, 138
2594-e,1479511767254,32,107, 56, 425, 163, 88, 134, 161, 123, 100, 262, 215, 262, 300, 263, 299
2594-e,1479511794369,33,96, 63, 142, 246, 165, 136, 309, 139, 100, 442, 109, 500, 200, 520, 225
2594-e,1479511833019,34,118, 77, 311, 134, 62, 289, 181, 307, 100, 307, 175, 300, 200, 331, 208
