gameid,time,roundNum,redH,redW,redX,redY,blueH,blueW,blueX,blueY,plazaD,plazaX,plazaY,lilyX,lilyY,mouseX, mouseY
6430-a,1479512161031,1,86, 137, 401, 139, 131, 194, 231, 237, 100, 363, 215, 363, 265, 409, 244
6430-a,1479512197997,2,85, 109, 179, 204, 249, 276, 316, 112, 100, 321, 222, 424, 191, 452, 213
6430-a,1479512247794,3,56, 128, 60, 66, 200, 53, 400, 149, 100, 62, 187, 450, 130, 454, 145
6430-a,1479512275543,4,163, 66, 358, 228, 152, 163, 61, 53, 100, 274, 113, 200, 250, 221, 251
6430-a,1479512308797,5,222, 105, 173, 128, 291, 226, 368, 89, 100, 391, 155, 290, 300, 311, 345
6430-a,1479512331534,6,98, 82, 507, 293, 285, 63, 210, 107, 100, 65, 299, 540, 326, 557, 316
6430-a,1479512373668,7,163, 66, 358, 228, 152, 163, 61, 53, 100, 274, 113, 220, 100, 231, 128
6430-a,1479512394308,8,118, 77, 311, 134, 62, 289, 181, 307, 100, 307, 175, 323, 200, 364, 228
6430-a,1479512467607,9,87, 246, 243, 256, 153, 233, 331, 58, 100, 78, 122, 78, 172, 348, 208
6430-a,1479512497157,10,118, 77, 311, 134, 62, 289, 181, 307, 100, 307, 175, 382, 314, 433, 308
6430-a,1479512516083,11,298, 289, 153, 54, 92, 79, 474, 263, 100, 184, 71, 164, 190, 223, 196
6430-a,1479512536811,12,285, 206, 289, 80, 134, 59, 65, 134, 100, 438, 230, 91, 206, 106, 248
6430-a,1479512580112,13,118, 77, 311, 134, 62, 289, 181, 307, 100, 307, 175, 400, 225, 400, 244
6430-a,1479512610799,14,64, 155, 121, 228, 207, 133, 318, 80, 100, 360, 67, 380, 150, 398, 170
6430-a,1479512665620,15,54, 178, 161, 310, 233, 122, 429, 51, 100, 438, 188, 491, 339, 521, 320
6430-a,1479512714754,16,140, 278, 304, 199, 251, 176, 90, 75, 100, 487, 150, 250, 150, 259, 178
6430-a,1479512738002,17,163, 66, 358, 228, 152, 163, 61, 53, 100, 274, 113, 250, 100, 279, 206
6430-a,1479512782944,18,54, 178, 161, 310, 233, 122, 429, 51, 100, 438, 188, 400, 150, 405, 79
6430-a,1479512856932,19,140, 278, 304, 199, 251, 176, 90, 75, 100, 487, 150, 400, 190, 391, 187
