iterationName	gameid	time	trialNum	currStrokeNum	intendedName	condition	family	intendedMember	shapenet_id	shiftKeyUsed	svg	eventType
pilot0	9440-0de554a4-485c-4fc2-b992-429a2023bff7	1501890751497	1	1	far_38_a_a66d	far	38	a	a66d78cbf3603e8bba9df3ea0397b1a6.png	0	M99,151,9375c-4,26998,0 -17,73032,-33,26968 -13,-38c10,95056,-10,95056 44,94729,-25,01757 66,-18c11,08027,3,69342 24,74949,7,74949 33,16c2,24318,2,24318 1,58211,8,16423 3,11c9,9229,19,84581 -2,42528,53 -25,53	stroke
pilot0	9440-0de554a4-485c-4fc2-b992-429a2023bff7	1501890782758	2	1	close_13_a_fb9f11f1	close	13	a	fb9f11f128e006d2498725b9a1405ebb.png	0	M101,177,9375c0,-9,99011 -34,-29,20222 -34,-71c0,-8,65882 0,41454,-19,12181 5,-26c4,032,-6,048 7,16566,-17,05522 16,-20c17,00639,-5,6688 49,3885,-21,6115 65,-6c13,1439,13,1439 11,7874,31,7874 26,46c12,83389,12,83389 28,09503,10,2838 46,11	stroke
pilot0	9440-0de554a4-485c-4fc2-b992-429a2023bff7	1501890785289	2	2	close_13_a_fb9f11f1	close	13	a	fb9f11f128e006d2498725b9a1405ebb.png	0	M98,61,9375c21,2884,21,2884 24,32291,56,64582 37,82c0,23765,0,47529 3,8 3,8c0,0 -1,74205,-8,22615 -2,-9	stroke
pilot0	9440-0de554a4-485c-4fc2-b992-429a2023bff7	1501890786716	2	3	close_13_a_fb9f11f1	close	13	a	fb9f11f128e006d2498725b9a1405ebb.png	0	M111,55,9375c9,27281,0 38,77,32167 38,85	stroke
pilot0	9440-0de554a4-485c-4fc2-b992-429a2023bff7	1501890796276	2	4	close_13_a_fb9f11f1	close	13	a	fb9f11f128e006d2498725b9a1405ebb.png	0	M102,172,9375c0,5,08817 5,00538,13,98924 2,20c-3,9393,7,87861 -17,7,82925 -17,-4	stroke
pilot0	9440-0de554a4-485c-4fc2-b992-429a2023bff7	1501890814246	3	1	far_130_a_8a21b853c8de77f0c8687ff9	far	130	a	8a21b853c8de77f0c8687ff9b0b4e4ac.png	0	M58,49,9375c0,3,01437 -0,98138,21,01862 1,23c3,13154,3,13154 35,47421,0,52579 38,-2c5,46888,-5,46888 -3,13369,-25,86631 3,-32c0,2357,-0,2357 0,66667,0 1,0c14,5293,0 26,37994,-8 43,-8c9,48217,0 46,97059,-3,59244 52,0c15,63551,11,16822 11,96702,21,54575 17,40c0,06059,0,22215 3,43031,0 4,0c9,08107,0 32,80535,2,19465 39,-4c2,95699,-2,95699 0,-23,13853 0,-28	stroke
pilot0	9440-0de554a4-485c-4fc2-b992-429a2023bff7	1501890817515	3	2	far_130_a_8a21b853c8de77f0c8687ff9	far	130	a	8a21b853c8de77f0c8687ff9b0b4e4ac.png	0	M58,73,9375c0,-2,45895 1,88543,3,77087 2,4c1,64826,3,29652 3,14055,10,14055 6,13c3,93478,3,93478 15,41045,3,41045 19,7c4,16095,4,16095 6,45324,16,81295 8,23c9,3694,37,47761 10,82,8748 10,125	stroke
pilot0	9440-0de554a4-485c-4fc2-b992-429a2023bff7	1501890820863	3	3	far_130_a_8a21b853c8de77f0c8687ff9	far	130	a	8a21b853c8de77f0c8687ff9b0b4e4ac.png	0	M257,63,9375c0,3,9664 -4,00035,11,00035 -6,13c-4,10888,4,10888 -1,33738,13,33738 -5,17c-9,16177,9,16177 -20,33891,14,33891 -29,23c-0,59786,0,59786 -1,749,2,24701 -2,3c-7,99927,23,99782 7,49,65351 7,70c0,1,91566 0,80474,9 -1,9	stroke
pilot0	9440-0de554a4-485c-4fc2-b992-429a2023bff7	1501890822104	3	4	far_130_a_8a21b853c8de77f0c8687ff9	far	130	a	8a21b853c8de77f0c8687ff9b0b4e4ac.png	0	M107,195,9375c0,24,7647 46,31367,46,563 66,55c5,13789,2,20195 23,52687,18,47313 27,15	stroke
pilot0	9440-0de554a4-485c-4fc2-b992-429a2023bff7	1501890823294	3	5	far_130_a_8a21b853c8de77f0c8687ff9	far	130	a	8a21b853c8de77f0c8687ff9b0b4e4ac.png	0	M222,184,9375c6,49076,3,24538 82,64,5276 82,76	stroke
