iterationName	gameid	time	trialNum	currStrokeNum	intendedName	condition	family	intendedMember	shapenet_id	shiftKeyUsed	svg	eventType
pilot0	8216-2922e40c-72e8-49bb-a18e-8db6b0519d28	1501628196778	1	1	far_30_a_313bfbd7bc2d516e	far	30	a	313bfbd7bc2d516e14d782de5388fe8c.png	0	M44,52,66667c10,78789,0 110,92272,-3,07728 113,-1c2,52602,2,52602 2,71,89996 2,75	stroke
pilot0	8216-2922e40c-72e8-49bb-a18e-8db6b0519d28	1501628198741	1	2	far_30_a_313bfbd7bc2d516e	far	30	a	313bfbd7bc2d516e14d782de5388fe8c.png	0	M46,56,66667c0,29,61416 4,56,32699 4,87	stroke
pilot0	8216-2922e40c-72e8-49bb-a18e-8db6b0519d28	1501628200180	1	3	far_30_a_313bfbd7bc2d516e	far	30	a	313bfbd7bc2d516e14d782de5388fe8c.png	0	M46,92,66667c12,58151,0 51,32605,4,33698 60,0c16,19866,-8,09933 34,49854,-8 53,-8	stroke
pilot0	8216-2922e40c-72e8-49bb-a18e-8db6b0519d28	1501628209061	1	4	far_30_a_313bfbd7bc2d516e	far	30	a	313bfbd7bc2d516e14d782de5388fe8c.png	0	M158,123,66667c0,1,83535 -1,11719,16,4414 0,17c8,7271,4,36355 17,85964,4,11579 26,9c11,35645,6,81387 11,63376,6,63376 17,12c1,1069,1,1069 6,18667,3,81333 5,5c-5,35248,5,35248 -85,0251,7,00837 -100,12c-8,22907,2,74302 -23,76019,3,1199 -30,0c-10,75136,-5,37568 -7,10217,-21,10217 -14,-28c-2,80807,-2,80807 -7,42453,-5,56604 -10,-9c-0,42581,-0,56775 -2,36017,-3,63983 -4,-2c-2,15218,2,15218 3,37172,10,37172 4,11c3,85058,3,85058 1,24,55275 1,30c0,28,18888 -3,14872,61,85128 16,81c18,74243,18,74243 55,69142,13,89714 83,23	stroke
pilot0	8216-2922e40c-72e8-49bb-a18e-8db6b0519d28	1501628212758	1	5	far_30_a_313bfbd7bc2d516e	far	30	a	313bfbd7bc2d516e14d782de5388fe8c.png	0	M161,175,66667c-3,69086,3,69086 -4,19,62134 -4,25c0,40,39999 39,28016,56 76,56	stroke
pilot0	8216-2922e40c-72e8-49bb-a18e-8db6b0519d28	1501628214326	1	6	far_30_a_313bfbd7bc2d516e	far	30	a	313bfbd7bc2d516e14d782de5388fe8c.png	0	M68,256,66667c1,81511,-1,81511 95,45117,-26 100,-26	stroke
pilot0	8216-2922e40c-72e8-49bb-a18e-8db6b0519d28	1501628227226	2	1	far_71_a_22cc9b68e67339738d2d730aebe7	far	71	a	22cc9b68e67339738d2d730aebe7865d.png	0	M66,52,66667c0,-1,90906 6,25523,-1 8,-1c20,1154,0 44,95098,-3,01634 63,3c9,65016,3,21672 48,67609,4 59,4c1,41619,0 5,41615,-0,75156 6,1c3,59727,10,7918 -0,49898,41,99796 -5,51c-3,12389,6,24778 6,99145,26 -3,26	stroke
pilot0	8216-2922e40c-72e8-49bb-a18e-8db6b0519d28	1501628229336	2	2	far_71_a_22cc9b68e67339738d2d730aebe7	far	71	a	22cc9b68e67339738d2d730aebe7865d.png	0	M69,53,66667c0,29,32617 4,60,27747 4,91	stroke
pilot0	8216-2922e40c-72e8-49bb-a18e-8db6b0519d28	1501628231524	2	3	far_71_a_22cc9b68e67339738d2d730aebe7	far	71	a	22cc9b68e67339738d2d730aebe7865d.png	0	M198,134,66667c0,2,26932 56,08439,32 73,32	stroke
pilot0	8216-2922e40c-72e8-49bb-a18e-8db6b0519d28	1501628237465	2	4	far_71_a_22cc9b68e67339738d2d730aebe7	far	71	a	22cc9b68e67339738d2d730aebe7865d.png	0	M271,166,66667c0,2,91343 0,32247,5,35505 -1,8c-10,4093,20,8186 0,49617,63,00767 -5,74c-2,24274,4,48548 -26,45171,2 -31,2c-15,62778,0 -42,22077,-3,92641 -57,1c-10,70679,3,56893 -23,71953,8 -37,8c-0,99582,0 -6,42329,0,57671 -7,0c-9,47495,-9,47495 7,24782,-56,50436 0,-71c-5,12527,-10,25053 -59,-32,37661 -59,-41	stroke
