eventType	gameid	time	roundNum	lClicked	mouseX	mouseY	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	sObj0_Shapes	sObj0_Shp0_Prnt	sObj0_Shp0_PrntSide	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj0_Shp0_Sides	sObj0_Shp0_Length	sObj0_Shp0_CenterX	sObj0_Shp0_CenterY	sObj0_Shp0_Pnt0_X	sObj0_Shp0_Pnt0_Y	sObj0_Shp0_Pnt1_X	sObj0_Shp0_Pnt1_Y	sObj0_Shp0_Pnt2_X	sObj0_Shp0_Pnt2_Y	sObj0_Shp0_Pnt3_X	sObj0_Shp0_Pnt3_Y	sObj0_Shp0_Pnt4_X	sObj0_Shp0_Pnt4_Y	sObj0_Shp0_Pnt5_X	sObj0_Shp0_Pnt5_Y	sObj0_Shp1_Prnt	sObj0_Shp1_PrntSide	sObj0_Shp1_ClrH	sObj0_Shp1_ClrS	sObj0_Shp1_ClrL	sObj0_Shp1_Sides	sObj0_Shp1_Length	sObj0_Shp1_CenterX	sObj0_Shp1_CenterY	sObj0_Shp1_Pnt0_X	sObj0_Shp1_Pnt0_Y	sObj0_Shp1_Pnt1_X	sObj0_Shp1_Pnt1_Y	sObj0_Shp1_Pnt2_X	sObj0_Shp1_Pnt2_Y	sObj0_Shp1_Pnt3_X	sObj0_Shp1_Pnt3_Y	sObj0_Shp1_Pnt4_X	sObj0_Shp1_Pnt4_Y	sObj0_Shp1_Pnt5_X	sObj0_Shp1_Pnt5_Y	sObj0_Shp2_Prnt	sObj0_Shp2_PrntSide	sObj0_Shp2_ClrH	sObj0_Shp2_ClrS	sObj0_Shp2_ClrL	sObj0_Shp2_Sides	sObj0_Shp2_Length	sObj0_Shp2_CenterX	sObj0_Shp2_CenterY	sObj0_Shp2_Pnt0_X	sObj0_Shp2_Pnt0_Y	sObj0_Shp2_Pnt1_X	sObj0_Shp2_Pnt1_Y	sObj0_Shp2_Pnt2_X	sObj0_Shp2_Pnt2_Y	sObj0_Shp2_Pnt3_X	sObj0_Shp2_Pnt3_Y	sObj0_Shp2_Pnt4_X	sObj0_Shp2_Pnt4_Y	sObj0_Shp2_Pnt5_X	sObj0_Shp2_Pnt5_Y	sObj0_Shp3_Prnt	sObj0_Shp3_PrntSide	sObj0_Shp3_ClrH	sObj0_Shp3_ClrS	sObj0_Shp3_ClrL	sObj0_Shp3_Sides	sObj0_Shp3_Length	sObj0_Shp3_CenterX	sObj0_Shp3_CenterY	sObj0_Shp3_Pnt0_X	sObj0_Shp3_Pnt0_Y	sObj0_Shp3_Pnt1_X	sObj0_Shp3_Pnt1_Y	sObj0_Shp3_Pnt2_X	sObj0_Shp3_Pnt2_Y	sObj0_Shp3_Pnt3_X	sObj0_Shp3_Pnt3_Y	sObj0_Shp3_Pnt4_X	sObj0_Shp3_Pnt4_Y	sObj0_Shp3_Pnt5_X	sObj0_Shp3_Pnt5_Y	sObj1_Shapes	sObj1_Shp0_Prnt	sObj1_Shp0_PrntSide	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	sObj1_Shp0_Sides	sObj1_Shp0_Length	sObj1_Shp0_CenterX	sObj1_Shp0_CenterY	sObj1_Shp0_Pnt0_X	sObj1_Shp0_Pnt0_Y	sObj1_Shp0_Pnt1_X	sObj1_Shp0_Pnt1_Y	sObj1_Shp0_Pnt2_X	sObj1_Shp0_Pnt2_Y	sObj1_Shp0_Pnt3_X	sObj1_Shp0_Pnt3_Y	sObj1_Shp0_Pnt4_X	sObj1_Shp0_Pnt4_Y	sObj1_Shp0_Pnt5_X	sObj1_Shp0_Pnt5_Y	sObj1_Shp1_Prnt	sObj1_Shp1_PrntSide	sObj1_Shp1_ClrH	sObj1_Shp1_ClrS	sObj1_Shp1_ClrL	sObj1_Shp1_Sides	sObj1_Shp1_Length	sObj1_Shp1_CenterX	sObj1_Shp1_CenterY	sObj1_Shp1_Pnt0_X	sObj1_Shp1_Pnt0_Y	sObj1_Shp1_Pnt1_X	sObj1_Shp1_Pnt1_Y	sObj1_Shp1_Pnt2_X	sObj1_Shp1_Pnt2_Y	sObj1_Shp1_Pnt3_X	sObj1_Shp1_Pnt3_Y	sObj1_Shp1_Pnt4_X	sObj1_Shp1_Pnt4_Y	sObj1_Shp1_Pnt5_X	sObj1_Shp1_Pnt5_Y	sObj1_Shp2_Prnt	sObj1_Shp2_PrntSide	sObj1_Shp2_ClrH	sObj1_Shp2_ClrS	sObj1_Shp2_ClrL	sObj1_Shp2_Sides	sObj1_Shp2_Length	sObj1_Shp2_CenterX	sObj1_Shp2_CenterY	sObj1_Shp2_Pnt0_X	sObj1_Shp2_Pnt0_Y	sObj1_Shp2_Pnt1_X	sObj1_Shp2_Pnt1_Y	sObj1_Shp2_Pnt2_X	sObj1_Shp2_Pnt2_Y	sObj1_Shp2_Pnt3_X	sObj1_Shp2_Pnt3_Y	sObj1_Shp2_Pnt4_X	sObj1_Shp2_Pnt4_Y	sObj1_Shp2_Pnt5_X	sObj1_Shp2_Pnt5_Y	sObj1_Shp3_Prnt	sObj1_Shp3_PrntSide	sObj1_Shp3_ClrH	sObj1_Shp3_ClrS	sObj1_Shp3_ClrL	sObj1_Shp3_Sides	sObj1_Shp3_Length	sObj1_Shp3_CenterX	sObj1_Shp3_CenterY	sObj1_Shp3_Pnt0_X	sObj1_Shp3_Pnt0_Y	sObj1_Shp3_Pnt1_X	sObj1_Shp3_Pnt1_Y	sObj1_Shp3_Pnt2_X	sObj1_Shp3_Pnt2_Y	sObj1_Shp3_Pnt3_X	sObj1_Shp3_Pnt3_Y	sObj1_Shp3_Pnt4_X	sObj1_Shp3_Pnt4_Y	sObj1_Shp3_Pnt5_X	sObj1_Shp3_Pnt5_Y	lObj0_Shapes	lObj0_Shp0_Prnt	lObj0_Shp0_PrntSide	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj0_Shp0_Sides	lObj0_Shp0_Length	lObj0_Shp0_CenterX	lObj0_Shp0_CenterY	lObj0_Shp0_Pnt0_X	lObj0_Shp0_Pnt0_Y	lObj0_Shp0_Pnt1_X	lObj0_Shp0_Pnt1_Y	lObj0_Shp0_Pnt2_X	lObj0_Shp0_Pnt2_Y	lObj0_Shp0_Pnt3_X	lObj0_Shp0_Pnt3_Y	lObj0_Shp0_Pnt4_X	lObj0_Shp0_Pnt4_Y	lObj0_Shp0_Pnt5_X	lObj0_Shp0_Pnt5_Y	lObj0_Shp1_Prnt	lObj0_Shp1_PrntSide	lObj0_Shp1_ClrH	lObj0_Shp1_ClrS	lObj0_Shp1_ClrL	lObj0_Shp1_Sides	lObj0_Shp1_Length	lObj0_Shp1_CenterX	lObj0_Shp1_CenterY	lObj0_Shp1_Pnt0_X	lObj0_Shp1_Pnt0_Y	lObj0_Shp1_Pnt1_X	lObj0_Shp1_Pnt1_Y	lObj0_Shp1_Pnt2_X	lObj0_Shp1_Pnt2_Y	lObj0_Shp1_Pnt3_X	lObj0_Shp1_Pnt3_Y	lObj0_Shp1_Pnt4_X	lObj0_Shp1_Pnt4_Y	lObj0_Shp1_Pnt5_X	lObj0_Shp1_Pnt5_Y	lObj0_Shp2_Prnt	lObj0_Shp2_PrntSide	lObj0_Shp2_ClrH	lObj0_Shp2_ClrS	lObj0_Shp2_ClrL	lObj0_Shp2_Sides	lObj0_Shp2_Length	lObj0_Shp2_CenterX	lObj0_Shp2_CenterY	lObj0_Shp2_Pnt0_X	lObj0_Shp2_Pnt0_Y	lObj0_Shp2_Pnt1_X	lObj0_Shp2_Pnt1_Y	lObj0_Shp2_Pnt2_X	lObj0_Shp2_Pnt2_Y	lObj0_Shp2_Pnt3_X	lObj0_Shp2_Pnt3_Y	lObj0_Shp2_Pnt4_X	lObj0_Shp2_Pnt4_Y	lObj0_Shp2_Pnt5_X	lObj0_Shp2_Pnt5_Y	lObj0_Shp3_Prnt	lObj0_Shp3_PrntSide	lObj0_Shp3_ClrH	lObj0_Shp3_ClrS	lObj0_Shp3_ClrL	lObj0_Shp3_Sides	lObj0_Shp3_Length	lObj0_Shp3_CenterX	lObj0_Shp3_CenterY	lObj0_Shp3_Pnt0_X	lObj0_Shp3_Pnt0_Y	lObj0_Shp3_Pnt1_X	lObj0_Shp3_Pnt1_Y	lObj0_Shp3_Pnt2_X	lObj0_Shp3_Pnt2_Y	lObj0_Shp3_Pnt3_X	lObj0_Shp3_Pnt3_Y	lObj0_Shp3_Pnt4_X	lObj0_Shp3_Pnt4_Y	lObj0_Shp3_Pnt5_X	lObj0_Shp3_Pnt5_Y	lObj1_Shapes	lObj1_Shp0_Prnt	lObj1_Shp0_PrntSide	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL	lObj1_Shp0_Sides	lObj1_Shp0_Length	lObj1_Shp0_CenterX	lObj1_Shp0_CenterY	lObj1_Shp0_Pnt0_X	lObj1_Shp0_Pnt0_Y	lObj1_Shp0_Pnt1_X	lObj1_Shp0_Pnt1_Y	lObj1_Shp0_Pnt2_X	lObj1_Shp0_Pnt2_Y	lObj1_Shp0_Pnt3_X	lObj1_Shp0_Pnt3_Y	lObj1_Shp0_Pnt4_X	lObj1_Shp0_Pnt4_Y	lObj1_Shp0_Pnt5_X	lObj1_Shp0_Pnt5_Y	lObj1_Shp1_Prnt	lObj1_Shp1_PrntSide	lObj1_Shp1_ClrH	lObj1_Shp1_ClrS	lObj1_Shp1_ClrL	lObj1_Shp1_Sides	lObj1_Shp1_Length	lObj1_Shp1_CenterX	lObj1_Shp1_CenterY	lObj1_Shp1_Pnt0_X	lObj1_Shp1_Pnt0_Y	lObj1_Shp1_Pnt1_X	lObj1_Shp1_Pnt1_Y	lObj1_Shp1_Pnt2_X	lObj1_Shp1_Pnt2_Y	lObj1_Shp1_Pnt3_X	lObj1_Shp1_Pnt3_Y	lObj1_Shp1_Pnt4_X	lObj1_Shp1_Pnt4_Y	lObj1_Shp1_Pnt5_X	lObj1_Shp1_Pnt5_Y	lObj1_Shp2_Prnt	lObj1_Shp2_PrntSide	lObj1_Shp2_ClrH	lObj1_Shp2_ClrS	lObj1_Shp2_ClrL	lObj1_Shp2_Sides	lObj1_Shp2_Length	lObj1_Shp2_CenterX	lObj1_Shp2_CenterY	lObj1_Shp2_Pnt0_X	lObj1_Shp2_Pnt0_Y	lObj1_Shp2_Pnt1_X	lObj1_Shp2_Pnt1_Y	lObj1_Shp2_Pnt2_X	lObj1_Shp2_Pnt2_Y	lObj1_Shp2_Pnt3_X	lObj1_Shp2_Pnt3_Y	lObj1_Shp2_Pnt4_X	lObj1_Shp2_Pnt4_Y	lObj1_Shp2_Pnt5_X	lObj1_Shp2_Pnt5_Y	lObj1_Shp3_Prnt	lObj1_Shp3_PrntSide	lObj1_Shp3_ClrH	lObj1_Shp3_ClrS	lObj1_Shp3_ClrL	lObj1_Shp3_Sides	lObj1_Shp3_Length	lObj1_Shp3_CenterX	lObj1_Shp3_CenterY	lObj1_Shp3_Pnt0_X	lObj1_Shp3_Pnt0_Y	lObj1_Shp3_Pnt1_X	lObj1_Shp3_Pnt1_Y	lObj1_Shp3_Pnt2_X	lObj1_Shp3_Pnt2_Y	lObj1_Shp3_Pnt3_X	lObj1_Shp3_Pnt3_Y	lObj1_Shp3_Pnt4_X	lObj1_Shp3_Pnt4_Y	lObj1_Shp3_Pnt5_X	lObj1_Shp3_Pnt5_Y
clickedObj	2904-51b1aee2-57a2-4017-a13a-b39ca14542fb	1510708068931	2	0	213	111	1	0	1	0	1	0	3		0	250	89	50	4	40	189	198	169	178	209	178	209	218	169	218	0	0	0	0	0	3	158	88	50	5	40	141	198	169	218	169	178	131	166	107	198	131	230	0	0	1	3	229	83	50	3	40	110	221	107	198	131	230	91	234	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3		0	250	89	50	5	40	166	160	146	133	186	133	199	171	166	194	134	171	0	0	0	3	158	88	50	5	40	134	205	166	194	134	171	101	194	114	232	154	232	0	0	1	3	229	83	50	3	40	134	244	114	232	154	232	134	267	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3		0	250	89	50	5	40	166	160	146	133	186	133	199	171	166	194	134	171	0	0	0	3	158	88	50	5	40	134	205	166	194	134	171	101	194	114	232	154	232	0	0	1	3	229	83	50	3	40	134	244	114	232	154	232	134	267	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3		0	250	89	50	4	40	189	198	169	178	209	178	209	218	169	218	0	0	0	0	0	3	158	88	50	5	40	141	198	169	218	169	178	131	166	107	198	131	230	0	0	1	3	229	83	50	3	40	110	221	107	198	131	230	91	234	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
clickedObj	2904-51b1aee2-57a2-4017-a13a-b39ca14542fb	1510708093236	3	0	279	122	1	0	1	0	1	0	4		0	92	99	50	4	40	169	200	149	180	189	180	189	220	149	220	0	0	0	0	0	2	140	89	50	5	40	169	248	189	220	149	220	137	258	169	282	201	258	0	0	0	0	49	57	50	5	40	169	152	149	180	189	180	201	142	169	118	137	142	0	0	1	1	250	93	50	4	40	124	233	149	220	137	258	99	246	111	208	0	0	0	0	4		0	92	99	50	4	40	175	226	155	206	195	206	195	246	155	246	0	0	0	0	0	3	140	89	50	5	40	127	226	155	246	155	206	117	194	93	226	117	259	0	0	0	0	49	57	50	5	40	175	179	155	206	195	206	207	168	175	145	142	168	0	0	1	1	250	93	50	5	40	144	174	155	206	117	194	117	154	155	141	178	174	0	0	4		0	92	99	50	4	40	175	226	155	206	195	206	195	246	155	246	0	0	0	0	0	3	140	89	50	5	40	127	226	155	246	155	206	117	194	93	226	117	259	0	0	0	0	49	57	50	5	40	175	179	155	206	195	206	207	168	175	145	142	168	0	0	1	1	250	93	50	5	40	144	174	155	206	117	194	117	154	155	141	178	174	0	0	4		0	92	99	50	4	40	169	200	149	180	189	180	189	220	149	220	0	0	0	0	0	2	140	89	50	5	40	169	248	189	220	149	220	137	258	169	282	201	258	0	0	0	0	49	57	50	5	40	169	152	149	180	189	180	201	142	169	118	137	142	0	0	1	1	250	93	50	4	40	124	233	149	220	137	258	99	246	111	208	0	0	0	0
clickedObj	2904-51b1aee2-57a2-4017-a13a-b39ca14542fb	1510708112741	4	1	350	58	0	0	1	0	0	1	3		0	353	60	50	3	40	180	161	160	150	200	150	180	184	0	0	0	0	0	0	0	2	263	45	50	5	40	146	181	180	184	160	150	121	158	116	198	153	214	0	0	1	3	191	23	50	4	40	127	224	116	198	153	214	137	250	100	234	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3		0	353	60	50	3	40	185	155	165	144	205	144	185	178	0	0	0	0	0	0	0	2	11	7	50	5	40	151	175	185	178	165	144	126	152	122	192	158	208	0	0	1	3	191	23	50	5	40	129	225	122	192	158	208	154	248	115	256	95	222	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3		0	353	60	50	3	40	180	161	160	150	200	150	180	184	0	0	0	0	0	0	0	2	263	45	50	5	40	146	181	180	184	160	150	121	158	116	198	153	214	0	0	1	3	191	23	50	4	40	127	224	116	198	153	214	137	250	100	234	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3		0	353	60	50	3	40	185	155	165	144	205	144	185	178	0	0	0	0	0	0	0	2	11	7	50	5	40	151	175	185	178	165	144	126	152	122	192	158	208	0	0	1	3	191	23	50	5	40	129	225	122	192	158	208	154	248	115	256	95	222	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
clickedObj	2904-51b1aee2-57a2-4017-a13a-b39ca14542fb	1510708127530	5	0	274	119	1	1	0	0	0	1	3		0	357	37	50	5	40	140	231	120	204	160	204	173	242	140	265	108	242	0	0	0	0	172	85	50	6	40	140	169	120	204	160	204	180	169	160	135	120	135	100	169	0	1	272	1	50	3	40	178	219	160	204	173	242	200	212	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3		0	357	37	50	4	40	161	231	141	211	181	211	181	251	141	251	0	0	0	0	0	0	172	85	50	5	40	161	183	141	211	181	211	194	173	161	149	129	173	0	0	0	3	272	1	50	3	40	130	231	141	251	141	211	106	231	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3		0	357	37	50	4	40	161	231	141	211	181	211	181	251	141	251	0	0	0	0	0	0	172	85	50	5	40	161	183	141	211	181	211	194	173	161	149	129	173	0	0	0	3	272	1	50	3	40	130	231	141	251	141	211	106	231	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3		0	357	37	50	5	40	140	231	120	204	160	204	173	242	140	265	108	242	0	0	0	0	172	85	50	6	40	140	169	120	204	160	204	180	169	160	135	120	135	100	169	0	1	272	1	50	3	40	178	219	160	204	173	242	200	212	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
clickedObj	2904-51b1aee2-57a2-4017-a13a-b39ca14542fb	1510708144525	6	0	164	51	1	1	0	0	0	1	1		0	85	36	50	4	40	150	200	130	180	170	180	170	220	130	220	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	286	23	50	4	40	150	200	130	180	170	180	170	220	130	220	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	286	23	50	4	40	150	200	130	180	170	180	170	220	130	220	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	85	36	50	4	40	150	200	130	180	170	180	170	220	130	220	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
clickedObj	2904-51b1aee2-57a2-4017-a13a-b39ca14542fb	1510708156429	7	1	374	67	0	0	1	0	0	1	1		0	184	85	50	3	40	150	194	130	183	170	183	150	217	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	36	26	50	3	40	150	194	130	183	170	183	150	217	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	184	85	50	3	40	150	194	130	183	170	183	150	217	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	36	26	50	3	40	150	194	130	183	170	183	150	217	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
clickedObj	2904-51b1aee2-57a2-4017-a13a-b39ca14542fb	1510708174369	8	1	367	56	0	0	1	1	1	0	1		0	152	43	50	4	40	150	200	130	180	170	180	170	220	130	220	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	148	18	50	4	40	150	200	130	180	170	180	170	220	130	220	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	148	18	50	4	40	150	200	130	180	170	180	170	220	130	220	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	152	43	50	4	40	150	200	130	180	170	180	170	220	130	220	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
clickedObj	2904-51b1aee2-57a2-4017-a13a-b39ca14542fb	1510708188617	9	0	206	142	1	0	1	1	0	1	1		0	232	80	50	4	40	150	200	130	180	170	180	170	220	130	220	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	206	51	50	6	40	150	200	130	165	170	165	190	200	170	235	130	235	110	200	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	232	80	50	4	40	150	200	130	180	170	180	170	220	130	220	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	206	51	50	6	40	150	200	130	165	170	165	190	200	170	235	130	235	110	200	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
clickedObj	2904-51b1aee2-57a2-4017-a13a-b39ca14542fb	1510708204279	10	1	378	63	0	0	1	1	1	0	1		0	190	36	50	3	40	150	194	130	183	170	183	150	217	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	47	9	50	4	40	150	200	130	180	170	180	170	220	130	220	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	47	9	50	4	40	150	200	130	180	170	180	170	220	130	220	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	190	36	50	3	40	150	194	130	183	170	183	150	217	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
clickedObj	2904-51b1aee2-57a2-4017-a13a-b39ca14542fb	1510708216810	11	0	247	67	1	1	0	1	1	0	3		0	160	2	50	5	40	124	228	104	200	144	200	156	238	124	262	91	238	0	0	0	0	9	3	50	5	40	124	172	104	200	144	200	156	162	124	138	91	162	0	0	0	1	3	37	50	5	40	176	211	144	200	156	238	196	238	209	200	176	176	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3		0	197	75	50	4	40	163	231	143	211	183	211	183	251	143	251	0	0	0	0	0	0	222	18	50	5	40	163	183	143	211	183	211	196	173	163	149	131	173	0	0	1	4	210	4	50	3	40	126	195	131	173	143	211	104	202	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3		0	160	2	50	5	40	124	228	104	200	144	200	156	238	124	262	91	238	0	0	0	0	9	3	50	5	40	124	172	104	200	144	200	156	162	124	138	91	162	0	0	0	1	3	37	50	5	40	176	211	144	200	156	238	196	238	209	200	176	176	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3		0	197	75	50	4	40	163	231	143	211	183	211	183	251	143	251	0	0	0	0	0	0	222	18	50	5	40	163	183	143	211	183	211	196	173	163	149	131	173	0	0	1	4	210	4	50	3	40	126	195	131	173	143	211	104	202	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
