gameid,time,roundNum,targetColH, targetColS,targetColL, submittedColH, submittedColS,submittedColL,score
3065-8,1452906271605,1,308,64,50,239,80,50,13
3065-8,1452906335798,2,91,57,53,126,94,50,28
3065-8,1452906353691,3,353,92,46,354,94,50,30
3065-8,1452906378980,4,12,80,40,14,95,50,25
3065-8,1452906409302,5,6,67,45,11,88,50,29
3065-8,1452906460031,6,5,59,39,19,41,50,22
3065-8,1452906497898,7,245,54,62,275,96,50,24
3065-8,1452906522315,8,59,82,48,57,96,50,30
3065-8,1452906554637,9,131,86,50,125,61,50,30
3065-8,1452906607358,10,43,95,46,40,80,50,30
3065-8,1452906638237,11,44,75,52,45,56,50,30
3065-8,1452906691641,12,265,97,48,272,87,50,30
3065-8,1452906762737,13,165,69,80,164,82,50,26
3065-8,1452906807500,14,51,69,43,46,68,50,30
3065-8,1452906842393,15,111,97,63,120,96,50,30
3065-8,1452906877392,16,270,83,70,285,99,50,27
3065-8,1452906937387,17,192,94,48,214,100,50,11
3065-8,1452906976482,18,63,84,71,59,51,50,28
3065-8,1452907015573,19,293,84,58,294,94,40,28
3065-8,1452907103922,20,47,16,38,29,11,35,30
3065-8,1452907172285,21,20,23,56,7,21,60,30
3065-8,1452907213929,22,151,39,58,147,59,50,30
3065-8,1452907244039,23,317,45,62,292,95,50,23
3065-8,1452907271679,24,194,66,53,197,61,50,30
3065-8,1452907397540,25,94,93,40,135,82,50,30
