gameid,time,roundNum,targetColH, targetColS,targetColL, submittedColH, submittedColS,submittedColL,score
8586-5,1452905671025,1,351,48,70,327,74,50,18
8586-5,1452905704364,2,194,22,39,147,75,50,0
8586-5,1452905735711,3,46,44,52,45,37,50,30
8586-5,1452905756891,4,297,61,54,309,54,50,30
8586-5,1452905772810,5,40,24,34,50,25,50,18
8586-5,1452905786826,6,334,94,14,34,70,50,0
8586-5,1452905803586,7,175,26,75,178,79,50,25
8586-5,1452905817741,8,38,23,53,49,4,50,28
8586-5,1452905842616,9,350,63,53,303,51,50,16
8586-5,1452905861681,10,136,87,51,100,40,50,24
8586-5,1452905887619,11,223,26,50,61,33,50,0
8586-5,1452905905682,12,229,32,59,219,18,50,30
8586-5,1452905924277,13,110,95,69,112,37,50,22
8586-5,1452905935410,14,105,65,81,109,30,50,19
8586-5,1452905951016,15,263,87,40,276,54,50,28
8586-5,1452905988805,16,105,97,53,100,55,50,28
8586-5,1452906000303,17,145,71,53,139,31,50,25
8586-5,1452906014485,18,59,90,31,42,54,50,28
8586-5,1452906031456,19,79,63,83,68,1,50,7
8586-5,1452906046688,20,225,71,60,241,55,50,21
8586-5,1452906063622,21,65,99,46,58,71,50,30
8586-5,1452906077046,22,306,64,42,270,52,50,28
8586-5,1452906092105,23,113,49,44,97,56,50,29
8586-5,1452906104988,24,253,42,73,311,29,50,18
8586-5,1452906117212,25,333,35,40,2,77,50,12
