eventType	gameid	time	roundNum	sender	contents
message	2594-72ad5510-36e3-4f03-aa6f-07a711131daa	1510708409725	1	speaker	Green
message	2594-72ad5510-36e3-4f03-aa6f-07a711131daa	1510708426889	2	speaker	Green
message	2594-72ad5510-36e3-4f03-aa6f-07a711131daa	1510708444744	3	speaker	Gray
message	2594-72ad5510-36e3-4f03-aa6f-07a711131daa	1510708464714	4	speaker	Orange
message	2594-72ad5510-36e3-4f03-aa6f-07a711131daa	1510708478955	5	speaker	Orange
message	2594-72ad5510-36e3-4f03-aa6f-07a711131daa	1510708491786	6	speaker	Orange
message	2594-72ad5510-36e3-4f03-aa6f-07a711131daa	1510708505183	7	speaker	Very orange
message	2594-72ad5510-36e3-4f03-aa6f-07a711131daa	1510708539545	8	speaker	Blue
message	2594-72ad5510-36e3-4f03-aa6f-07a711131daa	1510708549101	9	speaker	Red
message	2594-72ad5510-36e3-4f03-aa6f-07a711131daa	1510708558378	10	speaker	Green
message	2594-72ad5510-36e3-4f03-aa6f-07a711131daa	1510708575374	11	speaker	Purple
message	2594-72ad5510-36e3-4f03-aa6f-07a711131daa	1510708586822	12	speaker	Gray
message	2594-72ad5510-36e3-4f03-aa6f-07a711131daa	1510708596568	13	speaker	Purple
message	2594-72ad5510-36e3-4f03-aa6f-07a711131daa	1510708607726	14	speaker	Pink
message	2594-72ad5510-36e3-4f03-aa6f-07a711131daa	1510708620224	15	speaker	Orange
