gameid,time,roundNum,redH,redW,redX,redY,blueH,blueW,blueX,blueY,plazaD,plazaX,plazaY,lilyX,lilyY,mouseX, mouseY
7689-8,1480975378106,1,140, 278, 304, 199, 251, 176, 90, 75, 100, 487, 150, 500, 166, 488, 204
7689-8,1480975444367,2,56, 128, 60, 66, 200, 53, 400, 149, 100, 62, 187, 110, 100, 83, 118
7689-8,1480975487236,3,86, 137, 401, 139, 131, 194, 231, 237, 100, 363, 215, 363, 265, 372, 240
7689-8,1480975538926,4,163, 66, 358, 228, 152, 163, 61, 53, 100, 274, 113, 300, 150, 259, 113
7689-8,1480975592913,5,56, 128, 60, 66, 200, 53, 400, 149, 100, 62, 187, 180, 60, 60, 175
7689-8,1480975638262,6,222, 105, 173, 128, 291, 226, 368, 89, 100, 391, 155, 290, 300, 370, 170
7689-8,1480975702801,7,85, 109, 179, 204, 249, 276, 316, 112, 100, 321, 222, 424, 191, 318, 191
7689-8,1480975820281,8,85, 109, 179, 204, 249, 276, 316, 112, 100, 321, 222, 310, 250, 350, 226
7689-8,1480975862914,9,87, 246, 243, 256, 153, 233, 331, 58, 100, 78, 122, 410, 100, 398, 80
7689-8,1480975921045,10,54, 178, 161, 310, 233, 122, 429, 51, 100, 438, 188, 190, 360, 209, 360
7689-8,1480975980920,11,107, 56, 425, 163, 88, 134, 161, 123, 100, 262, 215, 262, 300, 250, 292
7689-8,1480976054124,12,96, 63, 142, 246, 165, 136, 309, 139, 100, 442, 109, 500, 200, 495, 195
7689-8,1480976115386,13,64, 155, 121, 228, 207, 133, 318, 80, 100, 360, 67, 380, 150, 381, 143
7689-8,1480976182820,14,86, 52, 418, 165, 56, 303, 116, 106, 100, 279, 86, 390, 209, 367, 203
7689-8,1480976230671,15,140, 278, 304, 199, 251, 176, 90, 75, 100, 487, 150, 400, 190, 385, 199
7689-8,1480976278618,16,64, 155, 121, 228, 207, 133, 318, 80, 100, 360, 67, 300, 100, 314, 83
7689-8,1480976349080,17,56, 128, 60, 66, 200, 53, 400, 149, 100, 62, 187, 50, 200, 41, 216
7689-8,1480976387398,18,140, 278, 304, 199, 251, 176, 90, 75, 100, 487, 150, 250, 150, 264, 151
7689-8,1480976427910,19,64, 155, 121, 228, 207, 133, 318, 80, 100, 360, 67, 360, 100, 341, 94
7689-8,1480976482651,20,285, 206, 289, 80, 134, 59, 65, 134, 100, 438, 230, 91, 206, 92, 207
7689-8,1480976524448,21,298, 289, 153, 54, 92, 79, 474, 263, 100, 184, 71, 200, 80, 164, 58
7689-8,1480976614630,22,54, 178, 161, 310, 233, 122, 429, 51, 100, 438, 188, 400, 150, 554, 147
7689-8,1480976695690,23,118, 77, 311, 134, 62, 289, 181, 307, 100, 307, 175, 382, 314, 376, 306
7689-8,1480976747001,24,163, 66, 358, 228, 152, 163, 61, 53, 100, 274, 113, 220, 100, 222, 96
7689-8,1480976824575,25,87, 246, 243, 256, 153, 233, 331, 58, 100, 78, 122, 78, 172, 117, 172
7689-8,1480976886456,26,54, 178, 161, 310, 233, 122, 429, 51, 100, 438, 188, 470, 210, 476, 206
7689-8,1480976958876,27,96, 63, 142, 246, 165, 136, 309, 139, 100, 442, 109, 357, 181, 364, 192
7689-8,1480976991302,28,64, 155, 121, 228, 207, 133, 318, 80, 100, 360, 67, 348, 236, 358, 221
7689-8,1480977075882,29,183, 132, 209, 94, 78, 181, 114, 319, 100, 265, 221, 260, 300, 236, 297
7689-8,1480977135622,30,87, 246, 243, 256, 153, 233, 331, 58, 100, 78, 122, 120, 130, 126, 138
