iterationName	gameid	time	trialNum	intendedName	role	text	reactionTime	eventType
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500477671781	1	far_120_a_4185	speaker	the chair with the straightest lines	17157	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500477688058	2	far_66_a_a14c7700cfc99b03	speaker	smallest chair	4495	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500477719773	3	split_9_a_ee445cf3710af7e2	speaker	flat strait back chair 	13167	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500477738443	4	far_98_a_c04c5b7d68b4e6481a68dda91fe	speaker	shortest chair	3918	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500477767751	5	split_123_a_e3d23dc47ddd9620	speaker	square bottom legs	11218	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500477794988	6	close_130_a_8a21b853	speaker	thin with little arms on the top	10456	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500477819483	7	split_62_a_93ee27f70b59	speaker	shortest legs	4287	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500477839708	8	far_51_a_81628a0b	speaker	rocking chair	7198	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500477871251	9	close_114_a_6f70a7948c59b49943da	speaker	lines in back,no head rest	12655	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500477899867	10	far_23_a_3c81fab5678a3872	speaker	longer skinney legs	7863	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500477925988	11	split_4_a_38b5f764afc9	speaker	flat back no holes	7160	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500477949428	12	split_128_a_faca	speaker	high chair flat seat	7615	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500477973350	13	far_58_a_6cf3b41688df	speaker	flat with leg rest	6015	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500477990605	14	far_117_a_665bfb42a036	speaker	curved legs	4665	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478005020	15	split_129_a_d5e1c6d3e6ce16ca	speaker	round bottom	4118	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478022445	16	far_111_a_892d8090f05c136dd937	speaker	shortest 	5063	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478043180	17	far_70_a_99e4c4b39b75a06b30e06a01	speaker	thin curved legs	9079	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478060311	18	split_68_a_98f923c	speaker	round legs	4959	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478076060	19	close_10	speaker	curved legs	2583	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478095541	20	split_28_a_c79532846cee59c35a4549f7	speaker	no legs flat bottom	7557	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478116494	21	far_74_a_2dc5055b8d900ec7db4b	speaker	legs curved back	6550	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478141141	22	split_67_a_d3f31fd0	speaker	back only 2 bars	10007	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478167366	23	split_7_a_64c80a33436b8a84541e	speaker	long leg rest no holes	12078	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478184836	24	far_138_a_67d9	speaker	sofa seat	3607	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478206716	25	far_113_a_3e1e1070ed7a0ba67484	speaker	curved weird looking	9814	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478240407	26	split_14_a_4fdc	speaker	one piece curved with lines	18951	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478266486	27	far_107_a_f112035c6413080a	speaker	thinest legs	6857	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478289174	28	close_60_a_6223f3849d57154b5ecb3cc5	speaker	back has lines in it	9695	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478311853	29	split_31_a_87e1155	speaker	short lines in head rest	8463	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478343005	30	split_91_a_f90dab51bec2bcd1	speaker	curved rounded head rest	14647	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478364205	31	close_109_a_44dd	speaker	thinest legs	3800	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478382606	32	split_118_a_b3e4c494a862	speaker	looks like a open box	5759	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478405133	33	far_16_a_a3260f0c8fdd	speaker	curved back legs	4791	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478433608	34	close_39_a_20b36bbb42d	speaker	flat bottom no legs	8015	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478462246	35	split_26_a_bce5c7402fee	speaker	round back totally flat no legs	14718	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478487214	36	far_134_a_11dba3a8d7b7210f	speaker	fat seat	1936	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478512174	37	close_35_a_3853339519ac	speaker	flat most square	7406	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478535654	38	close_29_a_b8fe0dd70bae3a9	speaker	only 5 back poles	5631	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478552321	39	far_38_a_a66d	speaker	round	2141	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478581486	40	close_95_a_4eed	speaker	thin legs down curved back	10632	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478622630	41	close_2_a_46c7367eede2	speaker	6 thin legs thinest seat	13855	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478649570	42	far_79_a_bbf45d2d189d	speaker	flat square	8518	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478693134	43	close_27_a_7b5b032a2cddeebc54d7082b	speaker	biggest tank,	18839	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478738407	43	close_27_a_7b5b032a2cddeebc54d7082b	listener	the tank that looks like a "normal" toilet or the one that angles out as it goes down	23212	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478766951	43	close_27_a_7b5b032a2cddeebc54d7082b	speaker	angles out	743	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478798665	44	close_106_a_2fc2	speaker	rounded legs in front flat in back	18560	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478826335	45	split_17_a_81ba38f4d3b7	speaker	shorest back	5575	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478855586	46	far_86_a_58f44c0057ae64b52563	speaker	thin regular looking chair	10744	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478873926	47	close_13_a_fb9f11f128e006d24987	speaker	rounded back	4047	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478901203	48	split_59_a_e4931ffa	speaker	legs with bar in between	10343	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478927199	49	close_69_a_fe6b3c001a86d844d5767a0de8dd037e	speaker	thickest air rests	12567	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478931711	49	close_69_a_fe6b3c001a86d844d5767a0de8dd037e	speaker	arm	2560	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478956448	50	close_24_a_d9a1f2e7290cd2c3baab0c71	speaker	thikest square back	8320	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478960778	50	close_24_a_d9a1f2e7290cd2c3baab0c71	speaker	thickest	2112	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500478981080	51	far_64_a_2a1184b	speaker	square legs	2728	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500479023680	52	close_84_a_5402eecc	speaker	more triangle back	7327	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500479046832	53	split_57_a_1055f78d441d170c4f34	speaker	back leg curved out	8592	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500479060656	54	close_18_a_8e0832b4ee38	speaker	seat has hole	3232	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500479086008	55	far_50_a_f550b541	speaker	fattest chair	11136	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500479107488	56	split_121_a_91cf38c4b99d75374fa746d1	speaker	3 holes in headrest	9830	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500479132675	57	far_116_a_5e89f5cc83455362	speaker	lowest seat	6055	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500479148903	57	far_116_a_5e89f5cc83455362	listener	the pictures arent showing up	5542	chatMessage
pilot1	9638-4da2d331-840a-4136-9a0c-185b886b458d	1500479150037	57	far_116_a_5e89f5cc83455362	speaker	3 plank back	3262	chatMessage
