iterationName	gameid	time	trialNum	intendedName	role	text	reactionTime	eventType
close_only	4004-7a0adbf7-3d5b-4ffd-aac0-36234d417776	1502566592369	1	close_113_a_3e1e1070ed7a0ba67484	speaker	curvey chair	4195	chatMessage
close_only	4004-7a0adbf7-3d5b-4ffd-aac0-36234d417776	1502566607594	1	close_113_a_3e1e1070ed7a0ba67484	listener	shaped like an s?	6644	chatMessage
close_only	4004-7a0adbf7-3d5b-4ffd-aac0-36234d417776	1502566610152	1	close_113_a_3e1e1070ed7a0ba67484	speaker	yes	479	chatMessage
close_only	4004-7a0adbf7-3d5b-4ffd-aac0-36234d417776	1502566626258	2	close_50_a_f550b5413eb040c29829	speaker	widest chair, darkest	6079	chatMessage
close_only	4004-7a0adbf7-3d5b-4ffd-aac0-36234d417776	1502566647618	3	close_69_a_fe6b3c001a86d844d576	speaker	thickest arms	3688	chatMessage
close_only	4004-7a0adbf7-3d5b-4ffd-aac0-36234d417776	1502566662249	4	close_7_a_64c80a33436b8a84541e	speaker	no holes	2499	chatMessage
close_only	4004-7a0adbf7-3d5b-4ffd-aac0-36234d417776	1502566683879	5	close_114_a_6f70a7948c59b49943da	speaker	slanting up with holes	4376	chatMessage
close_only	4004-7a0adbf7-3d5b-4ffd-aac0-36234d417776	1502566711029	6	close_23_a_3c81fab5678a38723272	speaker	looks like a tampon	3620	chatMessage
close_only	4004-7a0adbf7-3d5b-4ffd-aac0-36234d417776	1502566736925	7	close_79_a_bbf45d2d189dcd758e5f	speaker	thinnest chair, no holes	9843	chatMessage
close_only	4004-7a0adbf7-3d5b-4ffd-aac0-36234d417776	1502566751339	8	close_68_a_98f923c006fdd918e6d	speaker	wheel chair	1869	chatMessage
close_only	4004-7a0adbf7-3d5b-4ffd-aac0-36234d417776	1502566768838	9	close_86_a_58f44c0057ae64b52563	speaker	thinnest legs	3520	chatMessage
close_only	4004-7a0adbf7-3d5b-4ffd-aac0-36234d417776	1502566791558	10	close_31_a_87e11555e7233fb4a9b	speaker	smiley face on the top	5956	chatMessage
close_only	4004-7a0adbf7-3d5b-4ffd-aac0-36234d417776	1502566809224	11	close_25_a_3bb2201ba3b8709523f4	speaker	pillows, messy	4124	chatMessage
close_only	4004-7a0adbf7-3d5b-4ffd-aac0-36234d417776	1502566828348	12	close_8_a_e78f25a1f66c19a38a63	speaker	thickest legs	2479	chatMessage
close_only	4004-7a0adbf7-3d5b-4ffd-aac0-36234d417776	1502566859871	13	close_29_a_b8fe0dd70bae3a9dba7	speaker	thinnest legs, a bit crooked	11150	chatMessage
close_only	4004-7a0adbf7-3d5b-4ffd-aac0-36234d417776	1502566878611	14	close_123_a_e3d23dc47ddd9620c9be	speaker	box legs	3027	chatMessage
