iterationName	gameid	time	trialNum	intendedName	role	text	reactionTime	eventType
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329292615	1	far_13_a_fb9f11f128e006d2498725b9a1405ebb	speaker	curvy back without the five column bars	18211	chatMessage
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329322285	2	far_31_a_87e11555e7233fb4a9b	speaker	its has armrests	5157	chatMessage
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329341703	3	close_98_a_c04c5b7d68b4e6481a6	speaker	diamond back	3774	chatMessage
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329358449	4	far_50_a_f550b5413eb040c29829306a	speaker	more like a couch	3302	chatMessage
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329380068	5	far_51_a_81628a0b5f7f9ad7ba94feec	speaker	stripped bar and rocking	10904	chatMessage
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329408695	6	far_58_a_6cf3b41688dfc4b4707cdefe012d0353	speaker	opaque back and has leg rest	13262	chatMessage
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329456157	7	close_106_a_2fc2b897b6b131c4dc75a59e280f3bf8	speaker	armrests and legs have a similar roundish feature	19048	chatMessage
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329477757	8	far_123_a_e3d23dc47ddd9620c9be65df	speaker	legs are like squares	6880	chatMessage
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329499495	9	split_118_a_b3e4c494a862986b9226550f	speaker	looks like a vinyl record player	6248	chatMessage
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329560055	10	split_133_a_a5a2d09e5384237869513d0907f19c8f	speaker	top piece of its back is curvier than any other	47978	chatMessage
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329585492	11	split_91_a_f90dab51bec2bcd1a3340564b56a7f70	speaker	from the s-shaped the one that is more curvy	9459	chatMessage
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329610045	12	split_28_a_c79532846cee59c35a4549f761d7	speaker	from the s-shaped the least curvy	8947	chatMessage
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329641445	13	close_89_a_537924063294eb5f46ed025f8f85	speaker	the one with the simplest lines	12801	chatMessage
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329691443	14	close_4_a_38b5f764afc9d28f200ad3f421b6	speaker	from the two with the more opaque back the one that has thin legs and armrests	35383	chatMessage
pilot1	5203-3c590f48-139a-4c4e-a241-f9a36de3d9a4	1502329725062	15	far_120_a_41852b57b492559eb36178084a593098	speaker	simplest of three 	19754	chatMessage
