expid	gameid	time	trialNum	workerId	assignmentId	intendedName	role	text	reactionTime	eventType
	1855-c51d933b-f52b-43c9-a784-80952e3901d3	1500064324255	1	far_117_a_665bfb42a0362f71d577f4b88a77	speaker	chair with a separation between the back and the seat	12962	chatMessage
	1855-c51d933b-f52b-43c9-a784-80952e3901d3	1500064363510	2	close_82_a_668c488e900c2ede62a9eaa32bfe	speaker	bar connecting the legs only in the front; thick legs	17336	chatMessage
	1855-c51d933b-f52b-43c9-a784-80952e3901d3	1500064395236	3	far_71_a_22cc9b68e67339738d2d730aebe7865d	speaker	armrests with cupholders	4454	chatMessage
	1855-c51d933b-f52b-43c9-a784-80952e3901d3	1500064425975	4	close_2_a_46c7367eede2d9c5ca2ed12df13a916a	speaker	six legs, strappy looking cross pieces	8735	chatMessage
	1855-c51d933b-f52b-43c9-a784-80952e3901d3	1500064460553	5	split_116_a_5e89f5cc834553622acd2bb62058	speaker	tall and thin, three vertical pieces for the back	11847	chatMessage
	1855-c51d933b-f52b-43c9-a784-80952e3901d3	1500064488173	6	split_106_a_2fc2b897b6b131c4dc75a59e280f	speaker	solid back, ornate front posts	7716	chatMessage
	1855-c51d933b-f52b-43c9-a784-80952e3901d3	1500064512733	7	close_62_a_93ee27f70b593cee7b11ae648ea92233	speaker	square back	5570	chatMessage
	1855-c51d933b-f52b-43c9-a784-80952e3901d3	1500064531876	8	far_59_a_e4931ffa06d7b05cb04cb542e2c5	speaker	four tall thin legs	4199	chatMessage
	1855-c51d933b-f52b-43c9-a784-80952e3901d3	1500064556346	9	far_98_a_c04c5b7d68b4e6481a68dda	speaker	short, x-shaped pattern in back	10510	chatMessage
	1855-c51d933b-f52b-43c9-a784-80952e3901d3	1500064587259	10	split_23_a_3c81fab5678a3872327289c0	speaker	rounded top and seat, thin legs	7810	chatMessage
	1855-c51d933b-f52b-43c9-a784-80952e3901d3	1500064608740	11	close_129_a_d5e1c6d3e6ce16ca8f5bf896c08c	speaker	circle seat, circle back	4137	chatMessage
	1855-c51d933b-f52b-43c9-a784-80952e3901d3	1500064626430	12	split_51_a_81628a0b5f7f9ad7ba94feec	speaker	many slats on back	4626	chatMessage
	1855-c51d933b-f52b-43c9-a784-80952e3901d3	1500064650916	13	far_130_a_8a21b853c8de77f0c8687ff9b0b4e4ac	speaker	thick and boxy with weird shaped back	10053	chatMessage
	1855-c51d933b-f52b-43c9-a784-80952e3901d3	1500064674131	14	split_29_a_b8fe0dd70bae3a9dba7a8c9ac8add14	speaker	five spindles on back	7115	chatMessage
	1855-c51d933b-f52b-43c9-a784-80952e3901d3	1500064704530	15	far_39_a_20b36bbb42d36e0771dcb8deedb6c8d	speaker	square, boxy, no legs	4116	chatMessage
	1855-c51d933b-f52b-43c9-a784-80952e3901d3	1500064738739	16	far_68_a_98f923c006fdd918e6d206b	speaker	arms and legs are one big circle	16146	chatMessage
	1855-c51d933b-f52b-43c9-a784-80952e3901d3	1500064769318	17	close_89_a_537924063294eb5f46ed025f8f85	speaker	square arms, square legs	8396	chatMessage
	1855-c51d933b-f52b-43c9-a784-80952e3901d3	1500064787952	18	split_18_a_8e0832b4ee38c9743b8d5c0ebdd1	speaker	hole in the middle	1844	chatMessage
