gameid,time,roundNum,redH,redW,redX,redY,blueH,blueW,blueX,blueY,plazaD,plazaX,plazaY,lilyX,lilyY,mouseX, mouseY
3444-7,1480978308836,1,86, 137, 401, 139, 131, 194, 231, 237, 100, 363, 215, 363, 265, 376, 31
3444-7,1480978337891,2,85, 109, 179, 204, 249, 276, 316, 112, 100, 321, 222, 250, 279, 266, 277
3444-7,1480978378133,3,87, 271, 113, 53, 60, 69, 272, 335, 100, 318, 75, 320, 100, 292, 88
3444-7,1480978414791,4,54, 178, 161, 310, 233, 122, 429, 51, 100, 438, 188, 400, 150, 376, 173
3444-7,1480978430307,5,86, 52, 418, 165, 56, 303, 116, 106, 100, 279, 86, 390, 209, 411, 209
3444-7,1480978463487,6,298, 289, 153, 54, 92, 79, 474, 263, 100, 184, 71, 164, 190, 169, 108
3444-7,1480978551666,7,118, 77, 311, 134, 62, 289, 181, 307, 100, 307, 175, 382, 314, 402, 309
3444-7,1480978580884,8,54, 178, 161, 310, 233, 122, 429, 51, 100, 438, 188, 190, 360, 190, 361
3444-7,1480978605433,9,64, 155, 121, 228, 207, 133, 318, 80, 100, 360, 67, 310, 70, 314, 73
3444-7,1480978648945,10,222, 105, 173, 128, 291, 226, 368, 89, 100, 391, 155, 290, 300, 148, 307
3444-7,1480978660093,11,96, 63, 142, 246, 165, 136, 309, 139, 100, 442, 109, 500, 200, 276, 197
3444-7,1480978702230,12,183, 132, 209, 94, 78, 181, 114, 319, 100, 265, 221, 199, 340, 195, 292
3444-7,1480978733091,13,118, 77, 311, 134, 62, 289, 181, 307, 100, 307, 175, 400, 225, 412, 226
3444-7,1480978773702,14,98, 82, 507, 293, 285, 63, 210, 107, 100, 65, 299, 540, 326, 527, 316
3444-7,1480978877828,15,87, 246, 243, 256, 153, 233, 331, 58, 100, 78, 122, 78, 172, 237, 202
3444-7,1480978934363,16,85, 109, 179, 204, 249, 276, 316, 112, 100, 321, 222, 424, 191, 416, 183
3444-7,1480978977037,17,64, 155, 121, 228, 207, 133, 318, 80, 100, 360, 67, 300, 100, 272, 90
3444-7,1480979047554,18,163, 66, 358, 228, 152, 163, 61, 53, 100, 274, 113, 220, 100, 220, 90
3444-7,1480979092712,19,140, 278, 304, 199, 251, 176, 90, 75, 100, 487, 150, 400, 190, 414, 182
3444-7,1480979139815,20,285, 206, 289, 80, 134, 59, 65, 134, 100, 438, 230, 91, 206, 90, 200
3444-7,1480979223739,21,54, 178, 161, 310, 233, 122, 429, 51, 100, 438, 188, 491, 339, 421, 357
3444-7,1480979263057,22,64, 155, 121, 228, 207, 133, 318, 80, 100, 360, 67, 360, 100, 363, 86
3444-7,1480979285825,23,56, 128, 60, 66, 200, 53, 400, 149, 100, 62, 187, 180, 60, 184, 71
3444-7,1480979309468,24,107, 56, 425, 163, 88, 134, 161, 123, 100, 262, 215, 262, 300, 294, 232
3444-7,1480979328591,25,183, 132, 209, 94, 78, 181, 114, 319, 100, 265, 221, 260, 300, 210, 299
3444-7,1480979346674,26,163, 66, 358, 228, 152, 163, 61, 53, 100, 274, 113, 200, 250, 225, 235
3444-7,1480979370030,27,56, 128, 60, 66, 200, 53, 400, 149, 100, 62, 187, 50, 200, 67, 165
3444-7,1480979388823,28,140, 278, 304, 199, 251, 176, 90, 75, 100, 487, 150, 120, 269, 107, 285
3444-7,1480979412319,29,140, 278, 304, 199, 251, 176, 90, 75, 100, 487, 150, 500, 166, 485, 182
3444-7,1480979431656,30,298, 289, 153, 54, 92, 79, 474, 263, 100, 184, 71, 500, 300, 486, 285
