gameid,time,roundNum,redH,redW,redX,redY,blueH,blueW,blueX,blueY,plazaD,plazaX,plazaY,lilyX,lilyY,mouseX, mouseY
4791-d,1480977427930,1,53, 269, 294, 290, 115, 251, 294, 120, 100, 401, 255, 419, 125, 423, 135
4791-d,1480977502637,2,64, 155, 121, 228, 207, 133, 318, 80, 100, 360, 67, 380, 150, 383, 106
4791-d,1480977525697,3,87, 246, 243, 256, 153, 233, 331, 58, 100, 78, 122, 78, 172, 77, 122
4791-d,1480977551381,4,87, 246, 243, 256, 153, 233, 331, 58, 100, 78, 122, 410, 100, 356, 81
4791-d,1480977589981,5,163, 66, 358, 228, 152, 163, 61, 53, 100, 274, 113, 355, 277, 369, 246
4791-d,1480977617023,6,163, 66, 358, 228, 152, 163, 61, 53, 100, 274, 113, 220, 100, 196, 83
4791-d,1480977683503,7,64, 155, 121, 228, 207, 133, 318, 80, 100, 360, 67, 360, 100, 351, 120
4791-d,1480977737641,8,54, 178, 161, 310, 233, 122, 429, 51, 100, 438, 188, 491, 339, 488, 347
4791-d,1480977807344,9,85, 109, 179, 204, 249, 276, 316, 112, 100, 321, 222, 424, 191, 513, 175
4791-d,1480977844667,10,140, 278, 304, 199, 251, 176, 90, 75, 100, 487, 150, 250, 150, 260, 150
4791-d,1480977914219,11,96, 63, 142, 246, 165, 136, 309, 139, 100, 442, 109, 500, 200, 477, 221
4791-d,1480977949247,12,118, 77, 311, 134, 62, 289, 181, 307, 100, 307, 175, 382, 314, 364, 306
4791-d,1480977993089,13,183, 132, 209, 94, 78, 181, 114, 319, 100, 265, 221, 199, 340, 203, 343
4791-d,1480978056157,14,118, 77, 311, 134, 62, 289, 181, 307, 100, 307, 175, 400, 225, 388, 227
4791-d,1480978121578,15,85, 109, 179, 204, 249, 276, 316, 112, 100, 321, 222, 310, 250, 302, 237
4791-d,1480978176250,16,86, 52, 418, 165, 56, 303, 116, 106, 100, 279, 86, 390, 209, 387, 206
4791-d,1480978242124,17,64, 155, 121, 228, 207, 133, 318, 80, 100, 360, 67, 300, 100, 288, 80
4791-d,1480978329027,18,86, 137, 401, 139, 131, 194, 231, 237, 100, 363, 215, 363, 265, 349, 223
4791-d,1480978429407,19,140, 278, 304, 199, 251, 176, 90, 75, 100, 487, 150, 400, 190, 546, 202
4791-d,1480978590785,20,87, 246, 243, 256, 153, 233, 331, 58, 100, 78, 122, 120, 130, 129, 120
4791-d,1480978696160,21,183, 132, 209, 94, 78, 181, 114, 319, 100, 265, 221, 260, 300, 270, 294
4791-d,1480978781985,22,298, 289, 153, 54, 92, 79, 474, 263, 100, 184, 71, 164, 190, 175, 169
4791-d,1480978881803,23,298, 289, 153, 54, 92, 79, 474, 263, 100, 184, 71, 200, 80, 201, 91
4791-d,1480978995262,24,54, 178, 161, 310, 233, 122, 429, 51, 100, 438, 188, 190, 360, 189, 361
4791-d,1480979089906,25,183, 132, 209, 94, 78, 181, 114, 319, 100, 265, 221, 239, 254, 218, 293
4791-d,1480979139393,26,285, 206, 289, 80, 134, 59, 65, 134, 100, 438, 230, 91, 206, 93, 196
4791-d,1480979181066,27,56, 128, 60, 66, 200, 53, 400, 149, 100, 62, 187, 450, 130, 464, 138
4791-d,1480979237592,28,87, 246, 243, 256, 153, 233, 331, 58, 100, 78, 122, 311, 250, 276, 255
4791-d,1480979271665,29,118, 77, 311, 134, 62, 289, 181, 307, 100, 307, 175, 323, 200, 308, 190
4791-d,1480979349261,30,56, 128, 60, 66, 200, 53, 400, 149, 100, 62, 187, 50, 200, 48, 199
