gameid,time,roundNum,redH,redW,redX,redY,blueH,blueW,blueX,blueY,plazaD,plazaX,plazaY,lilyX,lilyY,mouseX, mouseY
5628-c,1480973170684,1,87, 246, 243, 256, 153, 233, 331, 58, 100, 78, 122, 311, 250, 270, 196
5628-c,1480973217816,2,140, 278, 304, 199, 251, 176, 90, 75, 100, 487, 150, 250, 150, 274, 150
5628-c,1480973241896,3,98, 82, 507, 293, 285, 63, 210, 107, 100, 65, 299, 540, 326, 513, 302
5628-c,1480973286345,4,56, 128, 60, 66, 200, 53, 400, 149, 100, 62, 187, 110, 100, 95, 91
5628-c,1480973325512,5,87, 271, 113, 53, 60, 69, 272, 335, 100, 318, 75, 320, 100, 318, 113
5628-c,1480973358098,6,86, 137, 401, 139, 131, 194, 231, 237, 100, 363, 215, 363, 265, 364, 265
5628-c,1480973412243,7,64, 155, 121, 228, 207, 133, 318, 80, 100, 360, 67, 380, 150, 345, 126
5628-c,1480973442390,8,183, 132, 209, 94, 78, 181, 114, 319, 100, 265, 221, 239, 254, 237, 254
5628-c,1480973468648,9,183, 132, 209, 94, 78, 181, 114, 319, 100, 265, 221, 199, 340, 196, 332
5628-c,1480973500051,10,86, 52, 418, 165, 56, 303, 116, 106, 100, 279, 86, 390, 209, 403, 204
5628-c,1480973540618,11,96, 63, 142, 246, 165, 136, 309, 139, 100, 442, 109, 500, 200, 367, 106
5628-c,1480973573052,12,163, 66, 358, 228, 152, 163, 61, 53, 100, 274, 113, 300, 150, 298, 150
5628-c,1480973597698,13,85, 109, 179, 204, 249, 276, 316, 112, 100, 321, 222, 310, 250, 298, 258
5628-c,1480973642961,14,118, 77, 311, 134, 62, 289, 181, 307, 100, 307, 175, 400, 225, 399, 263
5628-c,1480973669794,15,64, 155, 121, 228, 207, 133, 318, 80, 100, 360, 67, 310, 70, 307, 68
5628-c,1480973703996,16,118, 77, 311, 134, 62, 289, 181, 307, 100, 307, 175, 323, 200, 335, 204
5628-c,1480973750238,17,54, 178, 161, 310, 233, 122, 429, 51, 100, 438, 188, 190, 360, 170, 357
5628-c,1480973787211,18,140, 278, 304, 199, 251, 176, 90, 75, 100, 487, 150, 500, 166, 523, 169
5628-c,1480973905835,19,163, 66, 358, 228, 152, 163, 61, 53, 100, 274, 113, 355, 277, 361, 270
5628-c,1480973943066,20,96, 63, 142, 246, 165, 136, 309, 139, 100, 442, 109, 357, 181, 314, 146
5628-c,1480973987875,21,163, 66, 358, 228, 152, 163, 61, 53, 100, 274, 113, 220, 100, 213, 103
5628-c,1480974008281,22,87, 246, 243, 256, 153, 233, 331, 58, 100, 78, 122, 120, 130, 121, 118
5628-c,1480974042192,23,56, 128, 60, 66, 200, 53, 400, 149, 100, 62, 187, 50, 200, 43, 219
5628-c,1480974077574,24,298, 289, 153, 54, 92, 79, 474, 263, 100, 184, 71, 200, 80, 226, 91
5628-c,1480974106699,25,56, 128, 60, 66, 200, 53, 400, 149, 100, 62, 187, 450, 130, 446, 133
5628-c,1480974130224,26,56, 128, 60, 66, 200, 53, 400, 149, 100, 62, 187, 180, 60, 185, 51
5628-c,1480974156313,27,54, 178, 161, 310, 233, 122, 429, 51, 100, 438, 188, 400, 150, 409, 143
5628-c,1480974207633,28,140, 278, 304, 199, 251, 176, 90, 75, 100, 487, 150, 400, 190, 451, 207
5628-c,1480974229678,29,163, 66, 358, 228, 152, 163, 61, 53, 100, 274, 113, 250, 100, 235, 83
5628-c,1480974282733,30,85, 109, 179, 204, 249, 276, 316, 112, 100, 321, 222, 250, 279, 259, 282
