iterationName	gameid	time	trialNum	intendedName	role	text	reactionTime	eventType
pilot1	6839-34dcac26-371f-4954-b72a-8d5f3bb4224d	1500427664429	1	far_69_a_fe6b3c001a86d844	speaker	the one that looks like a director's chair	5833	chatMessage
pilot1	6839-34dcac26-371f-4954-b72a-8d5f3bb4224d	1500427668500	1	far_69_a_fe6b3c001a86d844	speaker	criss cross bottom	2881	chatMessage
pilot1	6839-34dcac26-371f-4954-b72a-8d5f3bb4224d	1500427670124	1	far_69_a_fe6b3c001a86d844	speaker	you know	988	chatMessage
pilot1	6839-34dcac26-371f-4954-b72a-8d5f3bb4224d	1500427716694	2	split_117_a_665bfb42a0362f71	speaker	the chair with the seat curved inward	20833	chatMessage
pilot1	6839-34dcac26-371f-4954-b72a-8d5f3bb4224d	1500427719227	2	split_117_a_665bfb42a0362f71	speaker	short legs	2275	chatMessage
pilot1	6839-34dcac26-371f-4954-b72a-8d5f3bb4224d	1500427744631	3	far_4_a_38b5f764afc9	speaker	the rectangle chair	4069	chatMessage
pilot1	6839-34dcac26-371f-4954-b72a-8d5f3bb4224d	1500427746525	3	far_4_a_38b5f764afc9	speaker	with long legs	1738	chatMessage
pilot1	6839-34dcac26-371f-4954-b72a-8d5f3bb4224d	1500427773477	4	close_122_a_2cb0ac27f1cdb3f0b2db0181	speaker	the chair with a little thing attached. the seat has lines on it	11607	chatMessage
pilot1	6839-34dcac26-371f-4954-b72a-8d5f3bb4224d	1500427779529	4	close_122_a_2cb0ac27f1cdb3f0b2db0181	speaker	2 layers of lines	2680	chatMessage
pilot1	6839-34dcac26-371f-4954-b72a-8d5f3bb4224d	1500427800549	5	far_121_a_91cf38c4	speaker	the seat with 3 ovals on the top	5717	chatMessage
