gameid,time,roundNum,trialType,condition,nameClickedObj,targetStatusClickedObj,spLocsClickedObj,lisLocsClickedObj,basiclevelClickedObj,superdomainClickedObj,alt1Name,alt1TargetStatus,alt1SpLocs,alt1LisLocs,alt1Basiclevel,alt1superdomain,alt2Name,alt2TargetStatus,alt2SpLocs,alt2LisLocs,alt2Basiclevel,alt2superdomain,speakerMessages,listenerMessages,messageTimeStamps,refExp,clickedType,sub,basic,super,moreThanOneLevelMentioned,automaticallyLabelledTrial,manualAdditionTrial,additionalAttrMentioned,onlyAttrMentioned,oneMentioned,theMentioned,fullSentence,noLevelMentioned,,,,,,,,,,,
2298-c,1455300904392,2,subSuperTrial,basic23,suv,target,2,3,car,vehicle,ambulance,distractor,3,4,NA,vehicle,pottedPlant,distractor,4,2,NA,plant,SUV,,1455300901773,SUV,suv,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2298-c,1455300966490,9,subSuperTrial,basic22,dressShirt,target,2,4,shirt,clothing,dress,distractor,3,3,NA,clothing,socks,distractor,4,2,NA,clothing,Light blue shirt,,1455300965511,Light blue shirt,dressShirt,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2298-c,1455300989982,14,subSuperTrial,basic12,picnicTable,target,4,3,table,furniture,sideTable,distractor,3,2,table,furniture,bed,distractor,2,4,NA,furniture,Picnic table,,1455300988582,Picnic table,picnicTable,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2298-c,1455300994225,15,subSuperTrial,basic12,grizzlyBear,target,4,3,bear,animal,koalaBear,distractor,2,2,bear,animal,cow,distractor,3,4,NA,animal,Brown bear,,1455300993391,Brown bear,grizzlyBear,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2298-c,1455300999612,16,subSuperTrial,basic12,husky,target,4,3,dog,animal,greyhound,distractor,3,2,dog,animal,hamster,distractor,2,4,NA,animal,Wolf,,1455300997858,Wolf,husky,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2298-c,1455301004485,17,subSuperTrial,basic33,parrot,target,2,2,bird,animal,train,distractor,4,4,NA,vehicle,bookcase,distractor,3,3,NA,furniture,Parrot,,1455301003283,Parrot,parrot,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2298-c,1455301009020,18,subSuperTrial,basic22,goldFish,target,4,4,fish,animal,lobster,distractor,2,3,NA,animal,rhino,distractor,3,2,NA,animal,Fish,,1455301007667,Fish,goldFish,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2298-c,1455301013720,19,subSuperTrial,basic22,sunflower,target,3,2,flower,plant,grasses,distractor,2,4,NA,plant,pottedPlant,distractor,4,3,NA,plant,Yellow,,1455301012539,Yellow,sunflower,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,
2298-c,1455301018263,20,subSuperTrial,basic33,minivan,target,2,4,car,vehicle,lamp,distractor,3,2,NA,furniture,grasses,distractor,4,3,NA,plant,Car,,1455301016780,Car,minivan,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2298-c,1455301022933,21,subSuperTrial,basic33,gummyBears,target,2,2,candy,snack,grasses,distractor,3,3,NA,plant,dress,distractor,4,4,NA,clothing,Candy,,1455301021652,Candy,gummyBears,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2298-c,1455301040577,25,subSuperTrial,basic23,eagle,target,3,3,bird,animal,lobster,distractor,2,2,NA,animal,rosemary,distractor,4,4,NA,plant,Bird,,1455301039269,Bird,eagle,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
