gameid,time,roundNum,mouseX,mouseY,lilyW,lilyH,lilyX,lilyY,boxW0,boxH0,boxX0,boxY0,boxC0,boxW1,boxH1,boxX1,boxY1,boxC1,boxW2,boxH2,boxX2,boxY2,boxC2,boxW3,boxH3,boxX3,boxY3,boxC3,boxW4,boxH4,boxX4,boxY4,boxC4
2685-8,1487283772157,1,493,165,50,50,476,153,300,50,197,219,blue,200,100,330,34,black,300,50,91,332,yellow,300,50,262,274,green,100,200,164,14,red
2685-8,1487283789320,2,338,194,50,50,315,175,100,100,201,105,blue,300,50,183,251,black,100,200,494,101,yellow,300,50,145,50,green,100,100,58,235,red
2685-8,1487283809284,3,149,96,50,50,121,75,300,50,165,151,blue,200,100,118,277,black,100,200,477,195,yellow,200,100,51,50,green,100,100,333,254,red
2685-8,1487283820701,4,153,209,50,50,126,209,100,200,385,177,blue,100,200,125,84,black,100,200,498,97,yellow,300,50,28,304,green,100,100,11,136,red
2685-8,1487283831260,5,477,207,50,50,454,182,100,100,37,107,blue,300,50,293,23,black,100,100,267,129,yellow,300,50,192,284,green,100,200,160,47,red
2685-8,1487283840867,6,538,86,50,50,528,93,100,100,359,146,blue,100,100,251,258,black,200,100,121,32,yellow,100,200,119,160,green,100,200,5,6,red
2685-8,1487283851500,7,557,139,50,50,549,127,100,200,0,6,blue,300,50,221,45,black,100,100,481,248,yellow,200,100,145,220,green,300,50,77,320,red
2685-8,1487283861406,8,405,234,50,50,394,195,200,100,301,180,blue,200,100,101,219,black,200,100,363,56,yellow,300,50,258,329,green,100,100,135,42,red
2685-8,1487283872338,9,39,42,50,50,3,26,200,100,136,168,blue,100,100,242,25,black,100,200,490,157,yellow,200,100,245,280,green,100,100,472,37,red
2685-8,1487283881361,10,264,32,50,50,239,1,300,50,151,66,blue,300,50,8,135,black,100,100,329,160,yellow,200,100,58,297,green,100,100,472,250,red
2685-8,1487283890693,11,196,223,50,50,170,194,300,50,270,38,blue,300,50,79,106,black,300,50,145,282,yellow,100,100,400,172,green,300,50,126,342,red
2685-8,1487283903350,12,258,14,50,50,234,4,100,100,289,1,blue,200,100,28,256,black,200,100,14,20,yellow,100,200,452,132,green,100,200,331,162,red
2685-8,1487283916156,13,47,104,50,50,14,73,100,200,99,71,blue,200,100,255,130,black,300,50,203,60,yellow,300,50,194,300,green,100,100,0,282,red
2685-8,1487283925800,14,228,337,50,50,211,273,100,100,486,176,blue,100,200,62,67,black,100,200,303,151,yellow,100,200,191,46,green,300,50,297,70,red
2685-8,1487283938737,15,164,337,50,50,127,319,100,200,73,18,blue,300,50,240,189,black,300,50,211,287,yellow,300,50,191,63,green,300,50,175,129,red
