gameid,time,roundNum,mouseX,mouseY,lilyW,lilyH,lilyX,lilyY,boxW0,boxH0,boxX0,boxY0,boxC0,boxW1,boxH1,boxX1,boxY1,boxC1,boxW2,boxH2,boxX2,boxY2,boxC2,boxW3,boxH3,boxX3,boxY3,boxC3,boxW4,boxH4,boxX4,boxY4,boxC4
8762-e,1487310864057,1,217,214,50,50,218,241,200,100,377,54,blue,100,200,208,199,black,200,100,308,231,yellow,100,200,88,198,green,200,100,146,61,red
8762-e,1487311138118,2,65,195,50,50,49,156,100,100,452,235,blue,100,100,87,229,black,100,200,213,133,yellow,300,50,17,33,green,100,100,350,100,red
8762-e,1487311420678,3,494,258,50,50,485,218,200,100,37,221,blue,300,50,289,304,black,200,100,219,60,yellow,200,100,272,175,green,100,100,65,14,red
8762-e,1487311537477,4,217,200,50,50,213,176,200,100,190,136,blue,100,100,37,183,black,200,100,342,11,yellow,300,50,286,304,green,300,50,257,236,red
8762-e,1487311664483,5,146,155,50,50,121,133,200,100,143,198,blue,100,100,428,155,black,300,50,241,46,yellow,100,200,19,103,green,300,50,226,319,red
8762-e,1487311948271,6,520,275,50,50,542,271,100,100,134,284,blue,100,200,111,20,black,100,200,349,85,yellow,100,100,0,256,green,100,100,1,118,red
8762-e,1487312101801,7,251,146,50,50,216,140,300,50,209,244,blue,100,100,13,93,black,200,100,126,93,yellow,200,100,381,105,green,300,50,248,340,red
8762-e,1487312518605,8,507,38,50,50,468,23,100,200,0,22,blue,300,50,213,248,black,300,50,249,109,yellow,300,50,243,315,green,100,100,106,140,red
8762-e,1487312741309,9,248,110,50,50,232,90,200,100,341,228,blue,100,200,49,81,black,200,100,320,120,yellow,300,50,164,12,green,100,100,171,151,red
8762-e,1487313016179,10,532,334,50,50,498,306,300,50,252,216,blue,300,50,226,152,black,200,100,284,21,yellow,100,100,389,267,green,100,100,68,183,red
8762-e,1487313190154,11,381,190,50,50,377,172,100,100,346,19,blue,100,200,119,115,black,100,100,355,228,yellow,300,50,50,332,green,100,200,491,110,red
8762-e,1487313483113,12,101,273,50,50,64,257,200,100,136,26,blue,300,50,289,173,black,300,50,0,320,yellow,100,100,162,148,green,300,50,281,252,red
8762-e,1487313686622,13,532,135,50,50,515,106,100,200,387,115,blue,100,100,1,204,black,300,50,201,10,yellow,100,100,233,94,green,100,100,93,83,red
8762-e,1487313934961,14,21,173,50,50,13,176,300,50,198,237,blue,300,50,137,337,black,100,100,465,45,yellow,100,100,7,20,green,100,100,205,99,red
8762-e,1487314384363,15,140,330,50,50,133,315,100,100,188,239,blue,100,100,154,2,black,300,50,298,229,yellow,100,100,180,113,green,200,100,290,117,red
