gameid,time,roundNum,mouseX,mouseY,lilyW,lilyH,lilyX,lilyY,boxW0,boxH0,boxX0,boxY0,boxC0,boxW1,boxH1,boxX1,boxY1,boxC1,boxW2,boxH2,boxX2,boxY2,boxC2,boxW3,boxH3,boxX3,boxY3,boxC3,boxW4,boxH4,boxX4,boxY4,boxC4
0609-e,1487308125206,1,189,207,50,50,179,153,100,200,142,115,blue,100,100,271,100,black,300,50,111,27,yellow,100,100,6,282,green,100,100,470,164,red
0609-e,1487308154544,2,236,137,50,50,94,62,300,50,254,78,blue,200,100,21,150,black,200,100,372,164,yellow,100,100,201,261,green,100,100,408,277,red
0609-e,1487308185702,3,416,17,50,50,411,160,100,200,168,82,blue,100,100,268,171,black,300,50,41,288,yellow,100,200,464,168,green,300,50,26,28,red
0609-e,1487308235804,4,364,43,50,50,356,9,300,50,36,21,blue,100,100,202,152,black,100,200,96,109,yellow,100,100,442,70,green,100,100,308,259,red
0609-e,1487308279853,5,65,127,50,50,25,116,100,100,484,199,blue,300,50,83,288,black,200,100,94,152,yellow,100,100,74,15,green,200,100,178,23,red
0609-e,1487308344600,6,512,241,50,50,503,245,100,100,135,7,blue,200,100,136,262,black,300,50,29,157,yellow,100,100,474,298,green,100,100,7,290,red
0609-e,1487308380121,7,35,78,50,50,21,53,300,50,283,177,blue,300,50,198,10,black,200,100,23,118,yellow,300,50,251,262,green,300,50,298,66,red
0609-e,1487308429750,8,318,62,50,50,254,44,300,50,126,204,blue,300,50,0,297,black,300,50,22,347,yellow,200,100,349,16,green,100,100,492,223,red
0609-e,1487308444612,9,344,95,50,50,308,63,200,100,151,281,blue,100,100,465,258,black,200,100,247,49,yellow,100,200,108,76,green,100,100,471,69,red
0609-e,1487308500528,10,89,161,50,50,54,157,200,100,327,132,blue,200,100,139,16,black,100,100,165,277,yellow,100,100,8,226,green,200,100,355,243,red
0609-e,1487308551112,11,575,12,50,50,531,159,100,200,384,161,blue,100,100,94,149,black,100,200,257,161,yellow,100,100,121,26,green,200,100,251,60,red
0609-e,1487308598922,12,26,240,50,50,7,269,100,100,134,56,blue,200,100,304,135,black,100,100,64,222,yellow,200,100,279,267,green,300,50,221,5,red
0609-e,1487308629402,13,147,210,50,50,146,186,200,100,20,36,blue,100,100,481,189,black,300,50,95,336,yellow,200,100,122,143,green,100,100,381,67,red
0609-e,1487308649234,14,381,200,50,50,365,143,100,100,180,32,blue,100,200,333,88,black,300,50,283,31,yellow,300,50,115,321,green,100,100,445,107,red
0609-e,1487308677587,15,455,92,50,50,412,109,200,100,141,19,blue,200,100,164,171,black,100,200,46,194,yellow,100,100,415,224,green,100,100,481,123,red
