gameid,time,roundNum,mouseX,mouseY,lilyW,lilyH,lilyX,lilyY,boxW0,boxH0,boxX0,boxY0,boxC0,boxW1,boxH1,boxX1,boxY1,boxC1,boxW2,boxH2,boxX2,boxY2,boxC2,boxW3,boxH3,boxX3,boxY3,boxC3,boxW4,boxH4,boxX4,boxY4,boxC4
0248-9,1487372878199,1,574,296,50,50,486,136,100,200,241,109,blue,100,100,74,103,black,100,100,465,260,yellow,100,100,27,223,green,300,50,116,51,red
0248-9,1487372908058,2,535,369,50,50,501,348,200,100,264,298,blue,300,50,267,222,black,200,100,195,89,yellow,100,100,42,119,green,100,100,483,75,red
0248-9,1487372949696,3,251,146,50,50,206,91,300,50,110,235,blue,200,100,273,95,black,300,50,144,335,yellow,100,100,483,35,green,100,200,160,25,red
0248-9,1487372997485,4,263,332,50,50,341,310,100,200,217,10,blue,200,100,346,62,black,300,50,266,256,yellow,200,100,13,76,green,100,100,103,220,red
0248-9,1487373036051,5,255,250,50,50,245,194,100,100,334,206,blue,100,200,435,188,black,100,200,29,170,yellow,300,50,156,30,green,100,200,234,107,red
0248-9,1487373076110,6,438,191,50,50,393,188,300,50,249,132,blue,300,50,161,291,black,300,50,179,12,yellow,100,100,32,96,green,100,100,144,158,red
0248-9,1487373144727,7,430,217,50,50,366,201,300,50,24,170,blue,300,50,267,110,black,300,50,166,295,yellow,200,100,117,1,green,100,100,482,292,red
0248-9,1487373200700,8,177,207,50,50,57,22,100,200,195,10,blue,300,50,80,342,black,100,200,430,60,yellow,100,200,297,67,green,100,100,60,210,red
0248-9,1487373253952,9,466,371,50,50,465,337,100,100,129,278,blue,300,50,6,214,black,100,100,312,238,yellow,200,100,125,97,green,100,100,374,13,red
0248-9,1487373310646,10,223,242,50,50,190,214,100,200,376,160,blue,300,50,125,13,black,100,100,271,189,yellow,300,50,253,82,green,100,200,86,109,red
0248-9,1487373359667,11,150,230,50,50,120,258,300,50,62,343,blue,100,100,387,213,black,300,50,152,14,yellow,100,100,376,108,green,100,100,47,109,red
0248-9,1487373409720,12,528,48,50,50,522,60,300,50,222,325,blue,300,50,55,181,black,200,100,23,10,yellow,100,100,320,22,green,200,100,8,261,red
0248-9,1487373444128,13,352,42,50,50,317,7,300,50,86,147,blue,100,100,417,263,black,200,100,178,209,yellow,300,50,157,76,green,100,100,444,147,red
0248-9,1487373503186,14,341,217,50,50,300,189,100,100,479,158,blue,300,50,96,41,black,100,200,362,123,yellow,100,100,226,246,green,100,100,499,31,red
0248-9,1487373541784,15,577,380,50,50,532,322,200,100,267,162,blue,100,100,124,83,black,300,50,18,307,yellow,100,100,495,18,green,100,100,337,15,red
