gameid,time,roundNum,mouseX,mouseY,lilyW,lilyH,lilyX,lilyY,boxW0,boxH0,boxX0,boxY0,boxC0,boxW1,boxH1,boxX1,boxY1,boxC1,boxW2,boxH2,boxX2,boxY2,boxC2,boxW3,boxH3,boxX3,boxY3,boxC3,boxW4,boxH4,boxX4,boxY4,boxC4
8407-3,1487369734485,1,254,296,50,50,213,269,300,50,232,20,blue,300,50,99,185,black,300,50,288,273,yellow,100,100,448,99,green,300,50,86,94,red
8407-3,1487369770175,2,359,208,50,50,332,193,100,200,219,98,blue,100,200,46,63,black,100,200,398,130,yellow,300,50,289,26,green,300,50,15,322,red
8407-3,1487369816824,3,406,180,50,50,359,154,200,100,147,25,blue,100,200,443,173,black,100,100,242,174,yellow,100,200,29,112,green,100,100,368,40,red
8407-3,1487369870617,4,478,360,50,50,458,338,100,100,367,10,blue,100,100,66,286,black,300,50,40,79,yellow,100,100,475,193,green,100,200,240,185,red
8407-3,1487369945057,5,87,72,50,50,79,40,300,50,165,282,blue,300,50,35,181,black,100,100,337,25,yellow,300,50,81,337,green,100,100,490,126,red
8407-3,1487370006034,6,504,153,50,50,487,119,300,50,137,86,blue,100,200,22,154,black,100,200,168,169,yellow,100,200,474,24,green,100,100,381,234,red
8407-3,1487370043515,7,64,347,50,50,11,344,200,100,195,281,blue,100,200,177,22,black,200,100,388,123,yellow,100,200,63,114,green,100,100,487,262,red
8407-3,1487370167019,8,167,322,50,50,142,298,300,50,124,241,blue,300,50,26,183,black,300,50,233,101,yellow,100,100,124,39,green,200,100,11,296,red
8407-3,1487370216086,9,157,95,50,50,120,70,100,100,16,132,blue,200,100,201,242,black,200,100,236,139,yellow,100,200,436,91,green,100,100,306,34,red
8407-3,1487370257293,10,228,282,50,50,193,276,200,100,23,63,blue,100,100,253,11,black,100,200,257,179,yellow,200,100,365,46,green,200,100,382,237,red
8407-3,1487370300891,11,132,59,50,50,82,29,300,50,176,231,blue,200,100,38,1,black,300,50,3,330,yellow,200,100,253,55,green,300,50,66,177,red
8407-3,1487370373108,12,62,213,50,50,55,194,100,100,139,184,blue,300,50,80,76,black,300,50,11,133,yellow,200,100,222,293,green,100,200,467,123,red
8407-3,1487370404925,13,236,164,50,50,213,147,100,200,372,189,blue,200,100,127,118,black,300,50,134,23,yellow,100,200,477,19,green,200,100,9,250,red
8407-3,1487370460365,14,439,320,50,50,397,304,300,50,4,327,blue,100,100,471,10,black,100,100,138,166,yellow,100,100,308,42,green,100,100,471,244,red
8407-3,1487370508717,15,124,116,50,50,99,80,300,50,183,323,blue,300,50,153,36,black,100,100,297,143,yellow,100,100,6,258,green,100,100,422,107,red
