gameid,time,roundNum,mouseX,mouseY,lilyW,lilyH,lilyX,lilyY,boxW0,boxH0,boxX0,boxY0,boxC0,boxW1,boxH1,boxX1,boxY1,boxC1,boxW2,boxH2,boxX2,boxY2,boxC2,boxW3,boxH3,boxX3,boxY3,boxC3,boxW4,boxH4,boxX4,boxY4,boxC4
4332-c,1487311397903,1,11,28,50,50,103,50,100,200,243,108,blue,300,50,13,328,black,100,100,401,146,yellow,300,50,242,50,green,200,100,7,17,red
4332-c,1487311456116,2,127,187,50,50,194,182,300,50,192,99,blue,200,100,60,249,black,100,100,358,213,yellow,100,100,498,192,green,100,100,69,120,red
4332-c,1487311499713,3,290,101,50,50,344,42,300,50,280,252,blue,100,100,181,19,black,300,50,20,312,yellow,100,200,10,68,green,200,100,303,19,red
4332-c,1487311547315,4,411,249,50,50,450,241,100,200,38,136,blue,200,100,302,216,black,100,100,307,4,yellow,100,100,151,292,green,100,100,195,67,red
4332-c,1487311597171,5,70,336,50,50,31,346,100,100,156,180,blue,300,50,155,5,black,300,50,179,115,yellow,300,50,114,57,green,200,100,386,256,red
4332-c,1487311665453,6,466,252,50,50,525,233,300,50,128,253,blue,200,100,312,143,black,100,100,157,28,yellow,100,100,18,169,green,200,100,306,31,red
4332-c,1487311713097,7,141,93,50,50,108,118,200,100,90,171,blue,300,50,202,348,black,200,100,195,48,yellow,100,200,445,95,green,100,100,28,281,red
4332-c,1487311737367,8,497,265,50,50,502,265,100,200,161,20,blue,200,100,355,68,black,100,100,222,298,yellow,100,100,34,229,green,100,100,492,261,red
4332-c,1487311843763,9,56,175,50,50,40,159,100,100,40,247,blue,200,100,367,25,black,100,100,348,171,yellow,300,50,53,108,green,300,50,128,349,red
4332-c,1487311964013,10,121,90,50,50,47,39,300,50,291,40,blue,100,100,172,7,black,100,200,97,132,yellow,100,100,370,250,green,200,100,321,105,red
4332-c,1487312096614,11,462,73,50,50,417,117,100,200,268,112,blue,300,50,155,53,black,100,100,119,233,yellow,200,100,390,173,green,200,100,68,126,red
4332-c,1487312162397,12,442,47,50,50,480,29,100,100,317,64,blue,200,100,26,120,black,100,100,451,124,yellow,300,50,26,252,green,200,100,29,18,red
4332-c,1487312302032,13,260,165,50,50,295,172,100,200,25,158,blue,200,100,259,246,black,100,100,493,244,yellow,100,200,147,161,green,300,50,10,78,red
4332-c,1487312340232,14,549,291,50,50,526,272,100,200,331,183,blue,100,200,1,125,black,100,200,477,130,yellow,200,100,130,110,green,100,100,228,294,red
4332-c,1487312390991,15,13,13,50,50,17,0,100,200,439,11,blue,300,50,80,168,black,100,100,47,228,yellow,100,100,333,10,green,300,50,12,71,red
