gameid,time,roundNum,mouseX,mouseY,lilyW,lilyH,lilyX,lilyY,boxW0,boxH0,boxX0,boxY0,boxC0,boxW1,boxH1,boxX1,boxY1,boxC1,boxW2,boxH2,boxX2,boxY2,boxC2,boxW3,boxH3,boxX3,boxY3,boxC3,boxW4,boxH4,boxX4,boxY4,boxC4
4723-8,1487315296737,1,11,12,50,50,4,11,200,100,154,170,blue,100,200,477,78,black,100,100,245,18,yellow,100,100,81,55,green,300,50,33,281,red
4723-8,1487315328240,2,228,179,50,50,224,164,300,50,157,294,blue,300,50,167,239,black,200,100,221,62,yellow,100,100,9,184,green,100,100,484,24,red
4723-8,1487315363147,3,45,84,50,50,31,44,100,200,448,143,blue,100,100,14,1,black,100,200,8,141,yellow,300,50,132,80,green,300,50,120,273,red
4723-8,1487315418361,4,126,199,50,50,102,179,100,100,163,49,blue,100,200,279,142,black,300,50,273,49,yellow,100,100,79,252,green,100,200,439,198,red
4723-8,1487315471125,5,383,102,50,50,363,86,300,50,177,331,blue,100,200,336,42,black,300,50,12,233,yellow,100,200,479,168,green,200,100,72,29,red
4723-8,1487315552204,6,417,210,50,50,388,180,100,200,203,117,blue,300,50,207,326,black,100,200,475,19,yellow,300,50,131,64,green,100,100,94,252,red
4723-8,1487315645537,7,116,269,50,50,132,249,200,100,280,102,blue,100,100,216,263,black,100,100,475,286,yellow,300,50,23,32,green,200,100,333,2,red
4723-8,1487315714028,8,536,143,50,50,520,134,100,100,262,145,blue,200,100,387,263,black,100,200,143,121,yellow,100,200,25,163,green,100,100,462,10,red
4723-8,1487315950464,9,193,339,50,50,168,324,200,100,371,284,blue,100,100,80,58,black,100,100,449,20,yellow,100,100,219,215,green,100,100,4,242,red
4723-8,1487316077473,10,465,117,50,50,448,88,100,100,235,71,blue,100,100,19,256,black,200,100,201,231,yellow,100,200,471,188,green,100,200,1,20,red
4723-8,1487316205934,11,494,147,50,50,495,130,300,50,9,327,blue,100,200,356,114,black,100,200,47,79,yellow,100,100,486,268,green,100,200,175,41,red
4723-8,1487316277118,12,153,244,50,50,127,236,200,100,293,263,blue,200,100,131,79,black,100,200,12,1,yellow,100,200,185,188,green,100,100,7,267,red
4723-8,1487316416270,13,177,370,50,50,168,342,100,100,8,169,blue,200,100,307,259,black,300,50,141,169,yellow,300,50,8,49,green,100,100,485,95,red
4723-8,1487316454857,14,509,136,50,50,465,99,300,50,144,339,blue,100,200,195,27,black,100,200,47,87,yellow,200,100,358,225,green,100,100,422,54,red
4723-8,1487316580568,15,84,320,50,50,67,296,100,100,19,69,blue,100,100,299,295,black,200,100,372,30,yellow,200,100,372,191,green,300,50,29,202,red
