gameid,time,roundNum,redH,redW,redX,redY,blueH,blueW,blueX,blueY,plazaD,plazaX,plazaY,lilyX,lilyY,mouseX, mouseY
3402-4,1480978407163,1,118, 77, 311, 134, 62, 289, 181, 307, 100, 307, 175, 300, 200, 319, 184
3402-4,1480978482819,2,140, 278, 304, 199, 251, 176, 90, 75, 100, 487, 150, 400, 190, 421, 193
3402-4,1480978569608,3,64, 155, 121, 228, 207, 133, 318, 80, 100, 360, 67, 380, 150, 385, 173
3402-4,1480978664011,4,140, 278, 304, 199, 251, 176, 90, 75, 100, 487, 150, 250, 150, 253, 182
3402-4,1480978806553,5,163, 66, 358, 228, 152, 163, 61, 53, 100, 274, 113, 200, 250, 193, 231
3402-4,1480978858657,6,96, 63, 142, 246, 165, 136, 309, 139, 100, 442, 109, 180, 340, 172, 332
3402-4,1480978907523,7,56, 128, 60, 66, 200, 53, 400, 149, 100, 62, 187, 450, 130, 448, 144
3402-4,1480979056586,8,163, 66, 358, 228, 152, 163, 61, 53, 100, 274, 113, 355, 277, 371, 272
3402-4,1480979110441,9,85, 109, 179, 204, 249, 276, 316, 112, 100, 321, 222, 250, 279, 241, 280
3402-4,1480979147818,10,163, 66, 358, 228, 152, 163, 61, 53, 100, 274, 113, 220, 100, 218, 84
3402-4,1480979265610,11,87, 246, 243, 256, 153, 233, 331, 58, 100, 78, 122, 120, 130, 137, 120
3402-4,1480979315613,12,54, 178, 161, 310, 233, 122, 429, 51, 100, 438, 188, 491, 339, 489, 310
3402-4,1480979355647,13,163, 66, 358, 228, 152, 163, 61, 53, 100, 274, 113, 250, 100, 289, 86
3402-4,1480979431270,14,118, 77, 311, 134, 62, 289, 181, 307, 100, 307, 175, 382, 314, 394, 299
3402-4,1480979485319,15,183, 132, 209, 94, 78, 181, 114, 319, 100, 265, 221, 199, 340, 215, 321
3402-4,1480979536092,16,54, 178, 161, 310, 233, 122, 429, 51, 100, 438, 188, 400, 150, 404, 143
3402-4,1480979589745,17,85, 109, 179, 204, 249, 276, 316, 112, 100, 321, 222, 424, 191, 372, 168
3402-4,1480979629863,18,56, 128, 60, 66, 200, 53, 400, 149, 100, 62, 187, 180, 60, 180, 68
3402-4,1480979687036,19,140, 278, 304, 199, 251, 176, 90, 75, 100, 487, 150, 120, 269, 103, 287
3402-4,1480979717610,20,298, 289, 153, 54, 92, 79, 474, 263, 100, 184, 71, 164, 190, 434, 191
3402-4,1480979764883,21,87, 246, 243, 256, 153, 233, 331, 58, 100, 78, 122, 410, 100, 425, 119
3402-4,1480979818145,22,118, 77, 311, 134, 62, 289, 181, 307, 100, 307, 175, 400, 225, 393, 247
3402-4,1480979859031,23,222, 105, 173, 128, 291, 226, 368, 89, 100, 391, 155, 290, 300, 285, 320
3402-4,1480979906544,24,183, 132, 209, 94, 78, 181, 114, 319, 100, 265, 221, 239, 254, 225, 256
3402-4,1480979935810,25,298, 289, 153, 54, 92, 79, 474, 263, 100, 184, 71, 200, 80, 201, 89
3402-4,1480979981996,26,96, 63, 142, 246, 165, 136, 309, 139, 100, 442, 109, 357, 181, 341, 179
3402-4,1480980006579,27,54, 178, 161, 310, 233, 122, 429, 51, 100, 438, 188, 470, 210, 469, 218
3402-4,1480980035909,28,64, 155, 121, 228, 207, 133, 318, 80, 100, 360, 67, 310, 70, 323, 89
3402-4,1480980108476,29,53, 269, 294, 290, 115, 251, 294, 120, 100, 401, 255, 419, 125, 422, 123
3402-4,1480980258978,30,107, 56, 425, 163, 88, 134, 161, 123, 100, 262, 215, 262, 300, 256, 283
