gameid,time,roundNum,mouseX,mouseY,lilyW,lilyH,lilyX,lilyY,boxW0,boxH0,boxX0,boxY0,boxC0,boxW1,boxH1,boxX1,boxY1,boxC1,boxW2,boxH2,boxX2,boxY2,boxC2,boxW3,boxH3,boxX3,boxY3,boxC3,boxW4,boxH4,boxX4,boxY4,boxC4
5133-1,1487367206165,1,353,322,50,50,31,310,100,200,88,49,blue,200,100,299,139,black,300,50,195,306,yellow,300,50,273,46,green,300,50,258,254,red
5133-1,1487367230282,2,33,294,50,50,48,256,100,100,48,35,blue,100,100,343,277,black,200,100,27,207,yellow,300,50,268,195,green,100,100,189,71,red
5133-1,1487367253563,3,394,283,50,50,385,279,100,100,64,206,blue,100,200,239,161,black,100,100,30,5,yellow,100,200,343,76,green,100,100,163,49,red
5133-1,1487367276223,4,289,154,50,50,287,149,200,100,229,295,blue,300,50,153,29,black,200,100,381,137,yellow,100,100,177,113,green,100,200,25,64,red
5133-1,1487367298248,5,300,170,50,50,287,133,200,100,162,12,blue,300,50,259,323,black,100,100,412,112,yellow,200,100,107,189,green,100,100,2,170,red
5133-1,1487367317653,6,285,336,50,50,247,304,100,200,468,177,blue,100,100,237,137,black,100,100,156,25,yellow,100,100,450,74,green,100,100,307,271,red
5133-1,1487367358965,7,119,268,50,50,96,232,100,100,18,3,blue,300,50,11,336,black,200,100,250,71,yellow,200,100,246,177,green,100,200,455,62,red
5133-1,1487367392343,8,459,141,50,50,435,103,100,200,165,130,blue,200,100,289,245,black,100,200,410,15,yellow,100,200,59,118,green,300,50,41,33,red
5133-1,1487367419267,9,513,92,50,50,513,77,100,200,158,70,blue,100,100,480,49,black,100,100,9,18,yellow,100,200,263,147,green,100,200,366,164,red
5133-1,1487367518617,10,332,322,50,50,474,174,100,100,436,22,blue,200,100,366,299,black,300,50,39,149,yellow,300,50,93,70,green,100,100,214,215,red
5133-1,1487367570826,11,498,352,50,50,468,320,300,50,255,78,blue,300,50,52,170,black,100,100,72,235,yellow,100,100,391,159,green,300,50,83,19,red
5133-1,1487367623821,12,478,342,50,50,487,308,100,100,167,132,blue,300,50,156,339,black,200,100,276,125,yellow,300,50,293,0,green,300,50,60,269,red
5133-1,1487367724732,13,367,144,50,50,347,119,300,50,266,324,blue,100,100,274,197,black,300,50,219,23,yellow,200,100,249,75,green,100,100,99,209,red
5133-1,1487367751381,14,394,253,50,50,375,236,100,100,41,19,blue,100,100,347,195,black,100,100,474,127,yellow,100,200,217,34,green,300,50,41,234,red
5133-1,1487367782093,15,374,162,50,50,365,137,100,100,16,58,blue,100,200,43,160,black,100,100,259,113,yellow,100,100,466,277,green,300,50,160,41,red
