eventType	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shapes	sObj0_Shp0_Prnt	sObj0_Shp0_PrntSide	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj0_Shp0_Sides	sObj0_Shp0_Length	sObj0_Shp0_CenterX	sObj0_Shp0_CenterY	sObj0_Shp0_Pnt0_X	sObj0_Shp0_Pnt0_Y	sObj0_Shp0_Pnt1_X	sObj0_Shp0_Pnt1_Y	sObj0_Shp0_Pnt2_X	sObj0_Shp0_Pnt2_Y	sObj0_Shp0_Pnt3_X	sObj0_Shp0_Pnt3_Y	sObj0_Shp0_Pnt4_X	sObj0_Shp0_Pnt4_Y	sObj0_Shp0_Pnt5_X	sObj0_Shp0_Pnt5_Y	sObj0_Shp1_Prnt	sObj0_Shp1_PrntSide	sObj0_Shp1_ClrH	sObj0_Shp1_ClrS	sObj0_Shp1_ClrL	sObj0_Shp1_Sides	sObj0_Shp1_Length	sObj0_Shp1_CenterX	sObj0_Shp1_CenterY	sObj0_Shp1_Pnt0_X	sObj0_Shp1_Pnt0_Y	sObj0_Shp1_Pnt1_X	sObj0_Shp1_Pnt1_Y	sObj0_Shp1_Pnt2_X	sObj0_Shp1_Pnt2_Y	sObj0_Shp1_Pnt3_X	sObj0_Shp1_Pnt3_Y	sObj0_Shp1_Pnt4_X	sObj0_Shp1_Pnt4_Y	sObj0_Shp1_Pnt5_X	sObj0_Shp1_Pnt5_Y	sObj0_Shp2_Prnt	sObj0_Shp2_PrntSide	sObj0_Shp2_ClrH	sObj0_Shp2_ClrS	sObj0_Shp2_ClrL	sObj0_Shp2_Sides	sObj0_Shp2_Length	sObj0_Shp2_CenterX	sObj0_Shp2_CenterY	sObj0_Shp2_Pnt0_X	sObj0_Shp2_Pnt0_Y	sObj0_Shp2_Pnt1_X	sObj0_Shp2_Pnt1_Y	sObj0_Shp2_Pnt2_X	sObj0_Shp2_Pnt2_Y	sObj0_Shp2_Pnt3_X	sObj0_Shp2_Pnt3_Y	sObj0_Shp2_Pnt4_X	sObj0_Shp2_Pnt4_Y	sObj0_Shp2_Pnt5_X	sObj0_Shp2_Pnt5_Y	sObj0_Shp3_Prnt	sObj0_Shp3_PrntSide	sObj0_Shp3_ClrH	sObj0_Shp3_ClrS	sObj0_Shp3_ClrL	sObj0_Shp3_Sides	sObj0_Shp3_Length	sObj0_Shp3_CenterX	sObj0_Shp3_CenterY	sObj0_Shp3_Pnt0_X	sObj0_Shp3_Pnt0_Y	sObj0_Shp3_Pnt1_X	sObj0_Shp3_Pnt1_Y	sObj0_Shp3_Pnt2_X	sObj0_Shp3_Pnt2_Y	sObj0_Shp3_Pnt3_X	sObj0_Shp3_Pnt3_Y	sObj0_Shp3_Pnt4_X	sObj0_Shp3_Pnt4_Y	sObj0_Shp3_Pnt5_X	sObj0_Shp3_Pnt5_Y	sObj1_Shapes	sObj1_Shp0_Prnt	sObj1_Shp0_PrntSide	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	sObj1_Shp0_Sides	sObj1_Shp0_Length	sObj1_Shp0_CenterX	sObj1_Shp0_CenterY	sObj1_Shp0_Pnt0_X	sObj1_Shp0_Pnt0_Y	sObj1_Shp0_Pnt1_X	sObj1_Shp0_Pnt1_Y	sObj1_Shp0_Pnt2_X	sObj1_Shp0_Pnt2_Y	sObj1_Shp0_Pnt3_X	sObj1_Shp0_Pnt3_Y	sObj1_Shp0_Pnt4_X	sObj1_Shp0_Pnt4_Y	sObj1_Shp0_Pnt5_X	sObj1_Shp0_Pnt5_Y	sObj1_Shp1_Prnt	sObj1_Shp1_PrntSide	sObj1_Shp1_ClrH	sObj1_Shp1_ClrS	sObj1_Shp1_ClrL	sObj1_Shp1_Sides	sObj1_Shp1_Length	sObj1_Shp1_CenterX	sObj1_Shp1_CenterY	sObj1_Shp1_Pnt0_X	sObj1_Shp1_Pnt0_Y	sObj1_Shp1_Pnt1_X	sObj1_Shp1_Pnt1_Y	sObj1_Shp1_Pnt2_X	sObj1_Shp1_Pnt2_Y	sObj1_Shp1_Pnt3_X	sObj1_Shp1_Pnt3_Y	sObj1_Shp1_Pnt4_X	sObj1_Shp1_Pnt4_Y	sObj1_Shp1_Pnt5_X	sObj1_Shp1_Pnt5_Y	sObj1_Shp2_Prnt	sObj1_Shp2_PrntSide	sObj1_Shp2_ClrH	sObj1_Shp2_ClrS	sObj1_Shp2_ClrL	sObj1_Shp2_Sides	sObj1_Shp2_Length	sObj1_Shp2_CenterX	sObj1_Shp2_CenterY	sObj1_Shp2_Pnt0_X	sObj1_Shp2_Pnt0_Y	sObj1_Shp2_Pnt1_X	sObj1_Shp2_Pnt1_Y	sObj1_Shp2_Pnt2_X	sObj1_Shp2_Pnt2_Y	sObj1_Shp2_Pnt3_X	sObj1_Shp2_Pnt3_Y	sObj1_Shp2_Pnt4_X	sObj1_Shp2_Pnt4_Y	sObj1_Shp2_Pnt5_X	sObj1_Shp2_Pnt5_Y	sObj1_Shp3_Prnt	sObj1_Shp3_PrntSide	sObj1_Shp3_ClrH	sObj1_Shp3_ClrS	sObj1_Shp3_ClrL	sObj1_Shp3_Sides	sObj1_Shp3_Length	sObj1_Shp3_CenterX	sObj1_Shp3_CenterY	sObj1_Shp3_Pnt0_X	sObj1_Shp3_Pnt0_Y	sObj1_Shp3_Pnt1_X	sObj1_Shp3_Pnt1_Y	sObj1_Shp3_Pnt2_X	sObj1_Shp3_Pnt2_Y	sObj1_Shp3_Pnt3_X	sObj1_Shp3_Pnt3_Y	sObj1_Shp3_Pnt4_X	sObj1_Shp3_Pnt4_Y	sObj1_Shp3_Pnt5_X	sObj1_Shp3_Pnt5_Y	lObj0_Shapes	lObj0_Shp0_Prnt	lObj0_Shp0_PrntSide	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj0_Shp0_Sides	lObj0_Shp0_Length	lObj0_Shp0_CenterX	lObj0_Shp0_CenterY	lObj0_Shp0_Pnt0_X	lObj0_Shp0_Pnt0_Y	lObj0_Shp0_Pnt1_X	lObj0_Shp0_Pnt1_Y	lObj0_Shp0_Pnt2_X	lObj0_Shp0_Pnt2_Y	lObj0_Shp0_Pnt3_X	lObj0_Shp0_Pnt3_Y	lObj0_Shp0_Pnt4_X	lObj0_Shp0_Pnt4_Y	lObj0_Shp0_Pnt5_X	lObj0_Shp0_Pnt5_Y	lObj0_Shp1_Prnt	lObj0_Shp1_PrntSide	lObj0_Shp1_ClrH	lObj0_Shp1_ClrS	lObj0_Shp1_ClrL	lObj0_Shp1_Sides	lObj0_Shp1_Length	lObj0_Shp1_CenterX	lObj0_Shp1_CenterY	lObj0_Shp1_Pnt0_X	lObj0_Shp1_Pnt0_Y	lObj0_Shp1_Pnt1_X	lObj0_Shp1_Pnt1_Y	lObj0_Shp1_Pnt2_X	lObj0_Shp1_Pnt2_Y	lObj0_Shp1_Pnt3_X	lObj0_Shp1_Pnt3_Y	lObj0_Shp1_Pnt4_X	lObj0_Shp1_Pnt4_Y	lObj0_Shp1_Pnt5_X	lObj0_Shp1_Pnt5_Y	lObj0_Shp2_Prnt	lObj0_Shp2_PrntSide	lObj0_Shp2_ClrH	lObj0_Shp2_ClrS	lObj0_Shp2_ClrL	lObj0_Shp2_Sides	lObj0_Shp2_Length	lObj0_Shp2_CenterX	lObj0_Shp2_CenterY	lObj0_Shp2_Pnt0_X	lObj0_Shp2_Pnt0_Y	lObj0_Shp2_Pnt1_X	lObj0_Shp2_Pnt1_Y	lObj0_Shp2_Pnt2_X	lObj0_Shp2_Pnt2_Y	lObj0_Shp2_Pnt3_X	lObj0_Shp2_Pnt3_Y	lObj0_Shp2_Pnt4_X	lObj0_Shp2_Pnt4_Y	lObj0_Shp2_Pnt5_X	lObj0_Shp2_Pnt5_Y	lObj0_Shp3_Prnt	lObj0_Shp3_PrntSide	lObj0_Shp3_ClrH	lObj0_Shp3_ClrS	lObj0_Shp3_ClrL	lObj0_Shp3_Sides	lObj0_Shp3_Length	lObj0_Shp3_CenterX	lObj0_Shp3_CenterY	lObj0_Shp3_Pnt0_X	lObj0_Shp3_Pnt0_Y	lObj0_Shp3_Pnt1_X	lObj0_Shp3_Pnt1_Y	lObj0_Shp3_Pnt2_X	lObj0_Shp3_Pnt2_Y	lObj0_Shp3_Pnt3_X	lObj0_Shp3_Pnt3_Y	lObj0_Shp3_Pnt4_X	lObj0_Shp3_Pnt4_Y	lObj0_Shp3_Pnt5_X	lObj0_Shp3_Pnt5_Y	lObj1_Shapes	lObj1_Shp0_Prnt	lObj1_Shp0_PrntSide	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL	lObj1_Shp0_Sides	lObj1_Shp0_Length	lObj1_Shp0_CenterX	lObj1_Shp0_CenterY	lObj1_Shp0_Pnt0_X	lObj1_Shp0_Pnt0_Y	lObj1_Shp0_Pnt1_X	lObj1_Shp0_Pnt1_Y	lObj1_Shp0_Pnt2_X	lObj1_Shp0_Pnt2_Y	lObj1_Shp0_Pnt3_X	lObj1_Shp0_Pnt3_Y	lObj1_Shp0_Pnt4_X	lObj1_Shp0_Pnt4_Y	lObj1_Shp0_Pnt5_X	lObj1_Shp0_Pnt5_Y	lObj1_Shp1_Prnt	lObj1_Shp1_PrntSide	lObj1_Shp1_ClrH	lObj1_Shp1_ClrS	lObj1_Shp1_ClrL	lObj1_Shp1_Sides	lObj1_Shp1_Length	lObj1_Shp1_CenterX	lObj1_Shp1_CenterY	lObj1_Shp1_Pnt0_X	lObj1_Shp1_Pnt0_Y	lObj1_Shp1_Pnt1_X	lObj1_Shp1_Pnt1_Y	lObj1_Shp1_Pnt2_X	lObj1_Shp1_Pnt2_Y	lObj1_Shp1_Pnt3_X	lObj1_Shp1_Pnt3_Y	lObj1_Shp1_Pnt4_X	lObj1_Shp1_Pnt4_Y	lObj1_Shp1_Pnt5_X	lObj1_Shp1_Pnt5_Y	lObj1_Shp2_Prnt	lObj1_Shp2_PrntSide	lObj1_Shp2_ClrH	lObj1_Shp2_ClrS	lObj1_Shp2_ClrL	lObj1_Shp2_Sides	lObj1_Shp2_Length	lObj1_Shp2_CenterX	lObj1_Shp2_CenterY	lObj1_Shp2_Pnt0_X	lObj1_Shp2_Pnt0_Y	lObj1_Shp2_Pnt1_X	lObj1_Shp2_Pnt1_Y	lObj1_Shp2_Pnt2_X	lObj1_Shp2_Pnt2_Y	lObj1_Shp2_Pnt3_X	lObj1_Shp2_Pnt3_Y	lObj1_Shp2_Pnt4_X	lObj1_Shp2_Pnt4_Y	lObj1_Shp2_Pnt5_X	lObj1_Shp2_Pnt5_Y	lObj1_Shp3_Prnt	lObj1_Shp3_PrntSide	lObj1_Shp3_ClrH	lObj1_Shp3_ClrS	lObj1_Shp3_ClrL	lObj1_Shp3_Sides	lObj1_Shp3_Length	lObj1_Shp3_CenterX	lObj1_Shp3_CenterY	lObj1_Shp3_Pnt0_X	lObj1_Shp3_Pnt0_Y	lObj1_Shp3_Pnt1_X	lObj1_Shp3_Pnt1_Y	lObj1_Shp3_Pnt2_X	lObj1_Shp3_Pnt2_Y	lObj1_Shp3_Pnt3_X	lObj1_Shp3_Pnt3_Y	lObj1_Shp3_Pnt4_X	lObj1_Shp3_Pnt4_Y	lObj1_Shp3_Pnt5_X	lObj1_Shp3_Pnt5_Y
state	0192-1c29ed21-30ea-45be-bb95-008af0416a8c	1510713673058	2	0	0	1	0	0	1	1	4		0	53	32	50	3	40	115	170	95	159	135	159	115	193	0	0	0	0	0	0	0	1	120	42	50	5	40	149	190	135	159	115	193	142	223	178	207	174	167	0	0	1	4	141	77	50	3	40	157	151	174	167	135	159	162	129	0	0	0	0	0	0	1	2	222	16	50	5	40	171	240	142	223	178	207	205	236	185	271	146	263	0	0	4		0	53	32	50	3	40	112	163	92	151	132	151	112	186	0	0	0	0	0	0	0	1	120	42	50	5	40	146	182	132	151	112	186	139	215	175	199	171	159	0	0	1	4	141	77	50	3	40	154	144	171	159	132	151	159	121	0	0	0	0	0	0	1	2	222	16	50	6	40	171	239	139	215	175	199	208	223	204	262	167	279	135	255	4		0	53	32	50	3	40	115	170	95	159	135	159	115	193	0	0	0	0	0	0	0	1	120	42	50	5	40	149	190	135	159	115	193	142	223	178	207	174	167	0	0	1	4	141	77	50	3	40	157	151	174	167	135	159	162	129	0	0	0	0	0	0	1	2	222	16	50	5	40	171	240	142	223	178	207	205	236	185	271	146	263	0	0	4		0	53	32	50	3	40	112	163	92	151	132	151	112	186	0	0	0	0	0	0	0	1	120	42	50	5	40	146	182	132	151	112	186	139	215	175	199	171	159	0	0	1	4	141	77	50	3	40	154	144	171	159	132	151	159	121	0	0	0	0	0	0	1	2	222	16	50	6	40	171	239	139	215	175	199	208	223	204	262	167	279	135	255
state	0192-1c29ed21-30ea-45be-bb95-008af0416a8c	1510713684071	3	1	0	1	1	0	1	5	3		0	238	46	50	5	40	137	189	117	161	157	161	169	199	137	223	104	199	0	0	0	1	166	87	50	3	40	174	177	157	161	169	199	196	169	0	0	0	0	0	0	0	2	267	81	50	3	40	160	220	169	199	137	223	173	239	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3		0	332	64	50	6	40	128	205	108	170	148	170	168	205	148	240	108	240	88	205	0	1	81	24	50	5	40	182	174	148	170	168	205	207	197	212	157	175	140	0	0	0	2	267	81	50	4	40	176	232	168	205	148	240	183	260	203	225	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3		0	238	46	50	5	40	137	189	117	161	157	161	169	199	137	223	104	199	0	0	0	1	166	87	50	3	40	174	177	157	161	169	199	196	169	0	0	0	0	0	0	0	2	267	81	50	3	40	160	220	169	199	137	223	173	239	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3		0	332	64	50	6	40	128	205	108	170	148	170	168	205	148	240	108	240	88	205	0	1	81	24	50	5	40	182	174	148	170	168	205	207	197	212	157	175	140	0	0	0	2	267	81	50	4	40	176	232	168	205	148	240	183	260	203	225	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
state	0192-1c29ed21-30ea-45be-bb95-008af0416a8c	1510713702835	4	1	1	0	1	1	0	4	3		0	289	2	50	3	40	115	224	95	213	135	213	115	247	0	0	0	0	0	0	0	0	357	45	50	4	40	115	193	95	213	135	213	135	173	95	173	0	0	0	0	1	1	204	39	50	6	40	170	193	135	213	135	173	170	153	205	173	205	213	170	233	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3		0	289	2	50	3	40	146	179	126	168	166	168	146	202	0	0	0	0	0	0	0	2	151	98	50	4	40	118	195	146	202	126	168	91	188	111	222	0	0	0	0	0	1	204	39	50	5	40	180	199	166	168	146	202	172	232	209	216	205	176	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3		0	289	2	50	3	40	115	224	95	213	135	213	115	247	0	0	0	0	0	0	0	0	357	45	50	4	40	115	193	95	213	135	213	135	173	95	173	0	0	0	0	1	1	204	39	50	6	40	170	193	135	213	135	173	170	153	205	173	205	213	170	233	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3		0	289	2	50	3	40	146	179	126	168	166	168	146	202	0	0	0	0	0	0	0	2	151	98	50	4	40	118	195	146	202	126	168	91	188	111	222	0	0	0	0	0	1	204	39	50	5	40	180	199	166	168	146	202	172	232	209	216	205	176	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
state	0192-1c29ed21-30ea-45be-bb95-008af0416a8c	1510713716530	5	0	0	1	0	0	1	1	1		0	348	9	50	3	40	150	194	130	183	170	183	150	217	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	348	9	50	4	40	150	200	130	180	170	180	170	220	130	220	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	348	9	50	3	40	150	194	130	183	170	183	150	217	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	348	9	50	4	40	150	200	130	180	170	180	170	220	130	220	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
state	0192-1c29ed21-30ea-45be-bb95-008af0416a8c	1510713731497	6	0	0	1	1	1	0	3	4		0	225	14	50	3	40	160	192	140	180	180	180	160	215	0	0	0	0	0	0	0	0	22	8	50	3	40	160	168	140	180	180	180	160	145	0	0	0	0	0	0	0	2	238	71	50	3	40	140	203	160	215	140	180	120	215	0	0	0	0	0	0	2	2	54	93	50	4	40	140	235	120	215	160	215	160	255	120	255	0	0	0	0	4		0	225	14	50	3	40	133	222	113	210	153	210	133	245	0	0	0	0	0	0	0	0	46	58	50	3	40	133	198	113	210	153	210	133	175	0	0	0	0	0	0	0	1	238	71	50	3	40	153	233	153	210	133	245	173	245	0	0	0	0	0	0	1	1	54	93	50	4	40	160	183	153	210	133	175	167	155	187	190	0	0	0	0	4		0	225	14	50	3	40	133	222	113	210	153	210	133	245	0	0	0	0	0	0	0	0	46	58	50	3	40	133	198	113	210	153	210	133	175	0	0	0	0	0	0	0	1	238	71	50	3	40	153	233	153	210	133	245	173	245	0	0	0	0	0	0	1	1	54	93	50	4	40	160	183	153	210	133	175	167	155	187	190	0	0	0	0	4		0	225	14	50	3	40	160	192	140	180	180	180	160	215	0	0	0	0	0	0	0	0	22	8	50	3	40	160	168	140	180	180	180	160	145	0	0	0	0	0	0	0	2	238	71	50	3	40	140	203	160	215	140	180	120	215	0	0	0	0	0	0	2	2	54	93	50	4	40	140	235	120	215	160	215	160	255	120	255	0	0	0	0
state	0192-1c29ed21-30ea-45be-bb95-008af0416a8c	1510713747775	7	0	1	0	0	1	0	9	4		0	277	61	50	6	40	94	169	74	135	114	135	134	169	114	204	74	204	54	169	0	2	0	66	50	5	40	148	200	134	169	114	204	141	234	177	217	173	178	0	0	1	3	277	68	50	6	40	210	194	177	217	173	178	205	154	242	170	246	210	214	234	0	3	178	59	50	5	40	94	231	114	204	74	204	62	242	94	265	126	242	0	0	4		0	277	61	50	4	40	126	168	106	148	146	148	146	188	106	188	0	0	0	0	0	2	217	16	50	3	40	126	199	146	188	106	188	126	222	0	0	0	0	0	0	1	2	152	77	50	5	40	160	219	126	222	146	188	185	196	190	236	153	252	0	0	2	1	273	46	50	4	40	170	172	146	188	185	196	194	157	155	149	0	0	0	0	4		0	277	61	50	6	40	94	169	74	135	114	135	134	169	114	204	74	204	54	169	0	2	0	66	50	5	40	148	200	134	169	114	204	141	234	177	217	173	178	0	0	1	3	277	68	50	6	40	210	194	177	217	173	178	205	154	242	170	246	210	214	234	0	3	178	59	50	5	40	94	231	114	204	74	204	62	242	94	265	126	242	0	0	4		0	277	61	50	4	40	126	168	106	148	146	148	146	188	106	188	0	0	0	0	0	2	217	16	50	3	40	126	199	146	188	106	188	126	222	0	0	0	0	0	0	1	2	152	77	50	5	40	160	219	126	222	146	188	185	196	190	236	153	252	0	0	2	1	273	46	50	4	40	170	172	146	188	185	196	194	157	155	149	0	0	0	0
state	0192-1c29ed21-30ea-45be-bb95-008af0416a8c	1510713758435	8	0	1	0	1	0	1	5	2		0	93	1	50	6	40	180	183	160	148	200	148	220	183	200	217	160	217	140	183	0	4	303	75	50	6	40	120	217	160	217	140	183	100	183	80	217	100	252	140	252	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2		0	25	96	50	5	40	152	189	132	161	172	161	184	199	152	223	120	199	0	0	0	3	39	78	50	3	40	129	220	152	223	120	199	116	239	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2		0	25	96	50	5	40	152	189	132	161	172	161	184	199	152	223	120	199	0	0	0	3	39	78	50	3	40	129	220	152	223	120	199	116	239	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2		0	93	1	50	6	40	180	183	160	148	200	148	220	183	200	217	160	217	140	183	0	4	303	75	50	6	40	120	217	160	217	140	183	100	183	80	217	100	252	140	252	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
state	0192-1c29ed21-30ea-45be-bb95-008af0416a8c	1510713768613	9	1	1	0	0	0	1	2	2		0	160	60	50	6	40	172	215	152	180	192	180	212	215	192	250	152	250	132	215	0	5	159	94	50	5	40	118	184	132	215	152	180	125	150	88	167	93	207	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2		0	160	60	50	5	40	176	209	156	181	196	181	209	219	176	243	144	219	0	0	0	4	159	94	50	5	40	124	191	144	219	156	181	124	157	91	181	104	219	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2		0	160	60	50	5	40	176	209	156	181	196	181	209	219	176	243	144	219	0	0	0	4	159	94	50	5	40	124	191	144	219	156	181	124	157	91	181	104	219	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2		0	160	60	50	6	40	172	215	152	180	192	180	212	215	192	250	152	250	132	215	0	5	159	94	50	5	40	118	184	132	215	152	180	125	150	88	167	93	207	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
state	0192-1c29ed21-30ea-45be-bb95-008af0416a8c	1510713777756	10	1	1	0	0	0	1	2	1		0	24	26	50	5	40	150	197	130	169	170	169	182	207	150	231	118	207	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	318	87	50	4	40	150	200	130	180	170	180	170	220	130	220	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	318	87	50	4	40	150	200	130	180	170	180	170	220	130	220	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	24	26	50	5	40	150	197	130	169	170	169	182	207	150	231	118	207	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
state	0192-1c29ed21-30ea-45be-bb95-008af0416a8c	1510713800819	11	0	1	0	1	0	1	1	2		0	61	63	50	5	40	148	189	128	161	168	161	180	199	148	223	116	199	0	0	0	2	242	12	50	3	40	171	220	180	199	148	223	184	239	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2		0	61	63	50	5	40	148	189	128	161	168	161	180	199	148	223	116	199	0	0	0	2	183	6	50	3	40	171	220	180	199	148	223	184	239	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2		0	61	63	50	5	40	148	189	128	161	168	161	180	199	148	223	116	199	0	0	0	2	183	6	50	3	40	171	220	180	199	148	223	184	239	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2		0	61	63	50	5	40	148	189	128	161	168	161	180	199	148	223	116	199	0	0	0	2	242	12	50	3	40	171	220	180	199	148	223	184	239	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
