expid	gameid	time	trialNum	intendedName	role	text	reactionTime	condition	eventType
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131014929	1	redantique	speaker	dark color	2985	closer	chatMessage
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131028519	2	sparrow	speaker	bird	2820	further	chatMessage
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131038730	3	nightingale	speaker	bird	767	further	chatMessage
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131054490	4	basset	speaker	shorter one	12742	closer	chatMessage
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131077862	5	crow	speaker	completely black head	10432	closer	chatMessage
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131090524	6	pigeon	speaker	bird	798	further	chatMessage
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131101608	7	waiting	speaker	white	1147	closer	chatMessage
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131111937	8	robin	speaker	bird	1292	further	chatMessage
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131121640	9	brown	speaker	car	670	further	chatMessage
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131142776	10	tomtit	speaker	black head with white strip	9979	closer	chatMessage
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131164853	11	inlay	speaker	square seat and gray color	7674	closer	chatMessage
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131181921	12	bluesedan	speaker	car	639	further	chatMessage
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131202612	13	chihuahua	speaker	chiuahuah	3619	closer	chatMessage
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131213046	14	redsport	speaker	car	637	further	chatMessage
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131223080	15	bluesport	speaker	car	585	further	chatMessage
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131247275	16	white	speaker	car with short front, futuristic	8841	closer	chatMessage
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131264287	17	cuckoo	speaker	black tail	3578	closer	chatMessage
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131277777	18	leather	speaker	seat	831	further	chatMessage
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131291530	19	beetle	speaker	500	2565	closer	chatMessage
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131296095	19	beetle	speaker	Italian car	2523	closer	chatMessage
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131300803	19	beetle	speaker	all white	1210	closer	chatMessage
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131310097	20	woven	speaker	seat	921	further	chatMessage
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131328015	21	goldenretriever	speaker	brownish, middle size	6932	closer	chatMessage
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131339496	22	sling	speaker	seat	755	further	chatMessage
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131362188	23	squat	speaker	seat with three pieces of wooden in the armrest	10899	closer	chatMessage
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131374163	24	straight	speaker	seat	820	further	chatMessage
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131404775	25	knob	speaker	seat wiith curved back and seat with fabric	20943	closer	chatMessage
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131422374	26	bloodhound	speaker	dog	601	further	chatMessage
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131433692	27	bullmastiff	speaker	dog	551	further	chatMessage
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131445655	28	bluejay	speaker	whitish	2100	closer	chatMessage
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131454729	29	weimaraner	speaker	dog	699	further	chatMessage
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131470026	30	hatchback	speaker	car with curved front	6222	closer	chatMessage
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131474154	30	hatchback	speaker	all white	1311	closer	chatMessage
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131486095	31	doberman	speaker	dog	526	further	chatMessage
pilot1	4705-a456c2db-ab6b-426b-8dfa-9fcecc35e282	1502131502590	32	pug	speaker	black mouth, big size	5666	closer	chatMessage
