expid	gameid	time	trialNum	intendedName	role	text	reactionTime	condition	eventType
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131619282	1	brown	speaker	car has black top looks like a station wagon kinda	567	closer	chatMessage
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131633875	2	crow	speaker	bird facing backwards	2959	further	chatMessage
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131645379	3	nightingale	speaker	bird facing backwards	2798	further	chatMessage
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131655506	4	tomtit	speaker	bird again	1760	further	chatMessage
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131675250	5	bluejay	speaker	white belly	7822	closer	chatMessage
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131695843	6	waiting	speaker	thin chair arms & legs	8367	closer	chatMessage
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131712870	7	pigeon	speaker	bird	511	further	chatMessage
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131745139	8	weimaraner	speaker	skinny dog, looks gray/brown hard to see kinda	20350	closer	chatMessage
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131762788	9	pug	speaker	biggest dog pug?	5951	closer	chatMessage
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131772963	10	redantique	speaker	car	894	further	chatMessage
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131793299	11	cuckoo	speaker	tail is in v shape	3600	closer	chatMessage
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131810388	12	hatchback	speaker	biggest car suv	5838	closer	chatMessage
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131819236	13	bluesedan	speaker	car	670	further	chatMessage
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131827971	14	beetle	speaker	car	800	further	chatMessage
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131839460	15	redsport	speaker	car	1136	further	chatMessage
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131859988	16	leather	speaker	thickest arms, but skinny legs, mesh looking bottom	10862	closer	chatMessage
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131876567	17	knob	speaker	chair	2111	further	chatMessage
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131889494	18	sling	speaker	chair	559	further	chatMessage
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131905398	19	bloodhound	speaker	brown dog, thickest & longest tail	7585	closer	chatMessage
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131920315	20	woven	speaker	chair	1213	further	chatMessage
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131932533	21	inlay	speaker	chair	510	further	chatMessage
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131950971	22	bluesport	speaker	cadillac, white top	5152	closer	chatMessage
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502131980790	23	sparrow	speaker	gray belly, not completely white. spots on side	18287	closer	chatMessage
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502132001011	24	straight	speaker	white chair cushion	2783	closer	chatMessage
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502132013303	25	chihuahua	speaker	dog	1790	further	chatMessage
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502132022328	26	goldenretriever	speaker	dog	334	further	chatMessage
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502132033366	27	robin	speaker	blackest bird	1823	closer	chatMessage
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502132053558	28	white	speaker	sports car, white, black window trim	7982	closer	chatMessage
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502132071910	29	squat	speaker	black chair, like used in courtrooms	6174	closer	chatMessage
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502132085575	30	basset	speaker	dog	383	further	chatMessage
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502132102919	31	doberman	speaker	blackest dog	7647	closer	chatMessage
pilot1	0020-debc390a-e612-4bd6-b1df-40e2a58fd0e2	1502132110967	32	bullmastiff	speaker	dog	415	further	chatMessage
