gameid	time	trialNum	sender	contents
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499460836472	1	pigeon	message	speaker	Are you there?
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499460840585	1	pigeon	message	listener	yes
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499460860736	1	pigeon	message	speaker	oh, good, I'm sorry, it took like, an hour to match up.  Okay, let's get started. :-) 
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499460872528	1	pigeon	message	speaker	click on the bird.
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499460892575	2	cuckoo	message	speaker	click on the skinniest bird
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499460918161	3	beetle	message	speaker	the car that looks most like a VW Beetle
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499460933890	4	nightingale	message	speaker	the bird
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499460958126	5	squat	message	speaker	the most confining chair with highest arms
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499460978971	5	squat	message	listener	the dark brown with rounded back and arms?
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499460986497	5	squat	message	speaker	yes, the darkest chair
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499460998366	6	bluejay	message	speaker	bird
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499461024761	7	bloodhound	message	speaker	all-brown dog, looks like a hunting hound
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499461040367	8	crow	message	speaker	bird
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499461059230	9	sparrow	message	speaker	bird with white ring-neck
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499461071216	10	brown	message	speaker	car
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499461082267	11	bluesport	message	speaker	car
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499461094150	12	white	message	speaker	car
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499461124831	13	basset	message	speaker	smallest dog, looks like a basset hound
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499461147144	14	hatchback	message	speaker	white modern hatchback
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499461160470	15	redsport	message	speaker	car
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499461176140	16	inlay	message	speaker	chair without arms
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499461193934	17	sling	message	speaker	chair
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499461219018	18	chihuahua	message	speaker	lightest-color dog, NOT the pug.
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499461231583	19	leather	message	speaker	chair
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499461255441	20	tomtit	message	speaker	dark bird with dark stripe down its belly
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499461273037	21	straight	message	speaker	chair
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499461300952	22	redantique	message	speaker	old-style car with tire on back
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499461313066	23	knob	message	speaker	chair
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499461333245	24	woven	message	speaker	modern chair with s-shaped frame
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499461364800	25	pug	message	speaker	the pug (light with dark ears)
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499461377046	26	doberman	message	speaker	dog
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499461393242	27	bluesedan	message	speaker	darkest car (the modern one)
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499461405405	28	weimaraner	message	speaker	dog
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499461432390	29	robin	message	speaker	darkest bird, ALL dark, looking up, not out
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499461445831	30	bullmastiff	message	speaker	dog
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499461473051	31	waiting	message	speaker	modern chair with arms that turn into the front legs
pilot0	8044-53427367-f780-4c19-8e84-7306b9f7ffc9	1499461488210	32	goldenretriever	message	speaker	dog
