gameid	time	trialNum	strokeNum	targetName	shiftKeyUsed	svg
3175-9d2c7a95-0efd-49a5-aa90-91a036f1f684	1493421332898	1	1	nightingale	0	M201,103.43333c0,-14.86444 -39.7209,-22.2791 -50,-12c-18.57537,18.57537 -19.26153,57.26153 -39,77c-3.23793,3.23793 -47.05689,16.94311 -35,29c4.65941,4.65941 17.30283,-5 22,-5
3175-9d2c7a95-0efd-49a5-aa90-91a036f1f684	1493421342528	1	2	nightingale	0	M102,183.43333c0,3.88526 -1.05662,11.94338 1,14c8.12859,8.12859 52.93985,34.53008 76,23c23.34122,-11.67061 44.20825,-35.5835 28,-68c-4.69901,-9.39802 -5.5334,-13.5334 -13,-21
3175-9d2c7a95-0efd-49a5-aa90-91a036f1f684	1493421345967	1	3	nightingale	0	M199,100.43333c0,2.69859 -4.68909,9.37818 -6,12c-3.32818,6.65636 2,16.12157 2,21
3175-9d2c7a95-0efd-49a5-aa90-91a036f1f684	1493421350393	1	4	nightingale	0	M141,218.43333c0,3.31014 1.68621,50.31379 19,33
3175-9d2c7a95-0efd-49a5-aa90-91a036f1f684	1493421354108	1	5	nightingale	0	M181,219.43333c0,-2.66667 0,0 0,0c4.1252,8.2504 4,20.93537 4,31c0,0.66667 -0.4714,1.5286 0,2c0.08363,0.08363 15.91044,-2 19,-2
3175-9d2c7a95-0efd-49a5-aa90-91a036f1f684	1493421396776	2	1	knob	0	M85,104.43333c0,-6.64925 20.21765,-6.60883 25,-9c23.98448,-11.99224 83.23306,0.23306 97,14c8.18616,8.18616 24.00712,-15.98575 19,-26c-12.1009,-24.20181 -123.93848,-39.06152 -147,-16c-13.53938,13.53938 -27.44433,38 6,38
3175-9d2c7a95-0efd-49a5-aa90-91a036f1f684	1493421402066	2	2	knob	0	M101,88.43333c0,48.60625 6,99.02939 6,149
3175-9d2c7a95-0efd-49a5-aa90-91a036f1f684	1493421408705	2	3	knob	0	M192,100.43333c0,21.4681 7.05858,86.82425 1,105c-3.09502,9.28505 -4,22.94816 -4,33
3175-9d2c7a95-0efd-49a5-aa90-91a036f1f684	1493421411850	2	4	knob	0	M105,147.43333c0,-18.52099 60.31935,-41.34032 77,-33c5.66698,2.83349 4.16721,7.16721 8,11
3175-9d2c7a95-0efd-49a5-aa90-91a036f1f684	1493421418100	2	5	knob	0	M108,170.43333c26.57927,0 52.26826,-1 78,-1c1.88414,0 9,-1 9,-1c0,0 -0.85093,0.29814 -1,0c-1.89505,-3.79009 -3.98103,-17.98103 -5,-19c-2.40361,-2.40361 -18.38239,0 -22,0c-8.93736,0 -54.71148,-0.28852 -58,3c-1.72442,1.72442 0,14.29022 0,17
3175-9d2c7a95-0efd-49a5-aa90-91a036f1f684	1493421462450	3	1	waiting	0	M182,102.43333c-88.24926,0 -70,119.70342 -70,188
3175-9d2c7a95-0efd-49a5-aa90-91a036f1f684	1493421471345	3	2	waiting	0	M203,180.43333c0,-35.09305 -26,-67.30284 -26,-76
3175-9d2c7a95-0efd-49a5-aa90-91a036f1f684	1493421476471	3	3	waiting	0	M236,180.43333c0,-4.31671 -5.31312,-14.37375 -3,-19c9.1152,-18.2304 13.66671,-31.66671 26,-44
3175-9d2c7a95-0efd-49a5-aa90-91a036f1f684	1493421479915	3	4	waiting	0	M177,102.43333c0,-20.66977 66.29941,-19.70059 78,-8c3.26438,3.26438 7.76527,27 1,27
3175-9d2c7a95-0efd-49a5-aa90-91a036f1f684	1493421486973	3	5	waiting	0	M255,118.43333c-6.49436,0 -16.52331,6.52331 -20,10c-3.77934,3.77934 -10.48293,5.48293 -15,10c-10.52153,10.52153 -9.15867,37.15867 -18,46c-6.31063,6.31063 -0.47147,30.47147 -7,37c-0.86946,0.86946 0,35.29983 0,41c0,3.08827 -0.88493,27 1,27
3175-9d2c7a95-0efd-49a5-aa90-91a036f1f684	1493421496303	3	6	waiting	0	M236,177.43333c-1.97382,0 -5.32472,0.16236 -7,1c-14.04193,7.02097 -90.19534,8.19534 -95,13c-2.98646,2.98646 -0.02715,27.97285 2,30c1.43372,1.43372 4.07646,-0.35882 6,-1c19.27301,-6.42434 73.22671,-10 94,-10c1.26235,0 5.2524,-0.5048 6,-2c5.23101,-10.46202 -3,-20.1198 -3,-28c0,-1.05409 -1,-3 -1,-3c0,0 1,26.90696 1,29c0,20.69784 2,41.16462 2,61c0,6.17452 1,32.02218 1,26
3175-9d2c7a95-0efd-49a5-aa90-91a036f1f684	1493421512063	4	1	cuckoo	0	M155,243.43333c0,10.16592 1.9806,50 -8,50
3175-9d2c7a95-0efd-49a5-aa90-91a036f1f684	1493421514960	4	2	cuckoo	0	M186,242.43333c0,16.69663 4,31.0441 4,46
3175-9d2c7a95-0efd-49a5-aa90-91a036f1f684	1493421519402	4	3	cuckoo	0	M166,231.43333c10.84595,10.84595 32.88164,40.25443 43,47c6.29911,4.19941 14.56458,6.56458 18,10c0.41594,0.41594 6.11677,3.88323 8,2c2.05402,-2.05402 -2.50407,-5.00814 -3,-6c-11.33177,-22.66354 -34.45245,-38.45245 -49,-53c-0.2357,-0.2357 0,-0.66667 0,-1
3175-9d2c7a95-0efd-49a5-aa90-91a036f1f684	1493421523433	4	4	cuckoo	0	M144,199.43333c0,17.80715 14.12694,64.56347 27,71c0.42164,0.21082 0.78918,0.57836 1,1c2.14993,4.29985 12.69918,12 17,12c0.64499,0 7,3.25076 7,3c0,-7.43036 -22,-27.68602 -22,-46
3175-9d2c7a95-0efd-49a5-aa90-91a036f1f684	1493421526936	4	5	cuckoo	0	M182,259.43333c0,-4.9961 -6,-11.51987 -6,-15c0,-0.33333 0.66667,0 1,0c5.88726,0 6,10.03023 6,15
