gameid,time,roundNum,clickStatus,clickP1,clickP2,clickP3,clickP4,clickP5,clickP6,clickP7,clickP8,clickLocS,clickLocL,alt1Status,alt1P1,alt1P2,alt1P3,alt1P4,alt1P5,alt1P6,alt1P7,alt1P8,alt1LocS,alt1LocL,alt2Status,alt2P1,alt2P2,alt2P3,alt2P4,alt2P5,alt2P6,alt2P7,alt2P8,alt2LocS,alt2LocL,outcome
5597-8,1461009350859,1,target, 77, 248, 133, 58, 153, 208, 140, 62, 1, 3, distr1, 182, 163, 234, 208, 111, 118, 176, 157, 2, 2, distr2, 148, 219, 146, 154, 172, 193, 114, 244, 3, 1, true
5597-8,1461009367399,2,distr2, 156, 104, 132, 229, 227, 210, 69, 246, 2, 2, distr1, 75, 206, 117, 155, 79, 244, 123, 197, 1, 3, target, 182, 101, 162, 202, 109, 50, 177, 95, 3, 1, false
5597-8,1461009396302,3,target, 88, 234, 220, 148, 139, 68, 157, 230, 3, 2, distr2, 120, 236, 198, 92, 224, 247, 243, 208, 2, 1, distr1, 238, 151, 198, 147, 209, 114, 232, 101, 1, 3, true
5597-8,1461009409459,4,target, 163, 106, 76, 94, 240, 86, 231, 133, 3, 2, distr2, 158, 122, 188, 76, 144, 63, 55, 80, 2, 1, distr1, 83, 69, 162, 108, 179, 234, 54, 159, 1, 3, true
5597-8,1461009432266,5,target, 83, 202, 51, 231, 92, 162, 208, 148, 3, 1, distr1, 133, 212, 132, 109, 83, 150, 55, 166, 2, 3, distr2, 67, 132, 55, 88, 93, 54, 240, 91, 1, 2, true
5597-8,1461009450078,6,target, 103, 129, 137, 124, 178, 242, 184, 207, 1, 3, distr1, 166, 213, 77, 139, 123, 80, 244, 159, 3, 1, distr2, 125, 99, 163, 248, 217, 84, 100, 115, 2, 2, true
5597-8,1461009463006,7,target, 248, 239, 153, 230, 193, 207, 146, 213, 3, 2, distr2, 50, 105, 145, 208, 98, 92, 192, 182, 1, 1, distr1, 174, 236, 199, 184, 233, 68, 178, 198, 2, 3, true
5597-8,1461009469695,8,target, 228, 102, 202, 197, 103, 86, 53, 170, 2, 3, distr1, 89, 71, 131, 242, 148, 135, 122, 115, 1, 1, distr2, 203, 61, 194, 75, 89, 238, 164, 156, 3, 2, true
5597-8,1461009483905,9,target, 112, 180, 89, 206, 126, 77, 69, 202, 1, 2, distr2, 228, 57, 223, 233, 112, 88, 132, 130, 3, 3, distr1, 123, 106, 82, 144, 50, 185, 227, 231, 2, 1, true
5597-8,1461009492932,10,target, 159, 124, 163, 208, 178, 103, 198, 149, 2, 2, distr1, 54, 188, 193, 225, 222, 141, 138, 152, 3, 3, distr2, 187, 135, 195, 143, 126, 206, 61, 75, 1, 1, true
5597-8,1461009509057,11,target, 130, 201, 176, 66, 180, 79, 129, 137, 1, 3, distr1, 78, 125, 58, 223, 68, 92, 152, 220, 3, 1, distr2, 127, 165, 87, 137, 241, 186, 162, 100, 2, 2, true
5597-8,1461009536057,12,target, 80, 86, 119, 242, 67, 101, 84, 185, 1, 3, distr1, 202, 130, 63, 200, 223, 154, 217, 231, 3, 2, distr2, 185, 97, 177, 153, 144, 147, 77, 93, 2, 1, true
5597-8,1461009554321,13,target, 230, 215, 146, 243, 64, 224, 83, 72, 2, 1, distr1, 201, 123, 232, 163, 230, 193, 158, 90, 3, 3, distr2, 124, 97, 247, 68, 212, 53, 106, 205, 1, 2, true
5597-8,1461009566765,14,target, 179, 130, 112, 59, 244, 62, 54, 128, 2, 1, distr2, 57, 92, 96, 154, 63, 148, 219, 174, 1, 2, distr1, 130, 229, 132, 232, 173, 194, 175, 223, 3, 3, true
5597-8,1461009577190,15,target, 155, 69, 110, 181, 235, 210, 80, 220, 1, 3, distr2, 181, 143, 198, 140, 101, 55, 169, 128, 3, 1, distr1, 176, 70, 131, 150, 210, 243, 238, 145, 2, 2, true
5597-8,1461009597521,16,target, 67, 199, 166, 238, 157, 88, 134, 70, 1, 1, distr1, 192, 160, 148, 220, 76, 175, 234, 203, 3, 2, distr2, 126, 61, 114, 229, 218, 236, 238, 142, 2, 3, true
5597-8,1461009613212,17,target, 183, 65, 133, 196, 197, 211, 242, 93, 1, 1, distr2, 209, 219, 241, 236, 203, 156, 175, 217, 3, 2, distr1, 92, 86, 219, 53, 236, 163, 107, 142, 2, 3, true
5597-8,1461009639931,18,target, 109, 117, 65, 53, 160, 143, 177, 199, 3, 3, distr1, 242, 97, 227, 108, 180, 164, 151, 182, 2, 1, distr2, 95, 81, 174, 154, 245, 220, 94, 225, 1, 2, true
