gameid,time,roundNum,clickStatus,clickP1,clickP2,clickP3,clickP4,clickP5,clickP6,clickP7,clickP8,clickLocS,clickLocL,alt1Status,alt1P1,alt1P2,alt1P3,alt1P4,alt1P5,alt1P6,alt1P7,alt1P8,alt1LocS,alt1LocL,alt2Status,alt2P1,alt2P2,alt2P3,alt2P4,alt2P5,alt2P6,alt2P7,alt2P8,alt2LocS,alt2LocL,outcome
6573-8,1461003709206,1,target, 242, 124, 191, 111, 200, 160, 51, 148, 1, 1, distr2, 142, 152, 228, 126, 235, 165, 138, 124, 3, 3, distr1, 150, 62, 55, 67, 177, 229, 108, 125, 2, 2, true
6573-8,1461003771981,2,target, 243, 131, 137, 216, 173, 98, 245, 226, 1, 2, distr1, 179, 219, 199, 77, 100, 169, 115, 59, 2, 3, distr2, 163, 236, 82, 109, 92, 113, 53, 119, 3, 1, true
6573-8,1461003797942,3,target, 204, 239, 176, 128, 68, 138, 85, 208, 3, 1, distr1, 228, 181, 138, 108, 218, 148, 122, 116, 2, 2, distr2, 233, 167, 247, 85, 124, 105, 139, 118, 1, 3, true
6573-8,1461003822128,4,target, 168, 152, 86, 52, 192, 202, 147, 129, 2, 2, distr2, 172, 108, 178, 206, 71, 141, 195, 160, 1, 3, distr1, 187, 82, 79, 234, 78, 94, 130, 221, 3, 1, true
6573-8,1461003864080,5,target, 248, 176, 167, 238, 76, 65, 191, 112, 3, 3, distr1, 222, 239, 244, 181, 184, 227, 99, 83, 1, 2, distr2, 222, 245, 181, 115, 120, 175, 121, 186, 2, 1, true
6573-8,1461003910318,6,target, 195, 91, 185, 202, 138, 141, 140, 155, 3, 1, distr2, 228, 85, 100, 174, 94, 150, 211, 185, 1, 2, distr1, 86, 74, 220, 143, 103, 231, 65, 160, 2, 3, true
6573-8,1461003952310,7,target, 82, 160, 53, 54, 65, 199, 240, 112, 2, 3, distr1, 51, 76, 228, 91, 236, 167, 184, 243, 3, 2, distr2, 240, 140, 163, 111, 119, 242, 77, 136, 1, 1, true
6573-8,1461003975559,8,target, 134, 58, 191, 197, 114, 90, 233, 195, 2, 3, distr2, 163, 150, 232, 69, 218, 102, 88, 197, 1, 2, distr1, 107, 216, 119, 203, 90, 171, 193, 229, 3, 1, true
6573-8,1461004014687,9,target, 115, 228, 182, 161, 144, 116, 112, 52, 2, 1, distr2, 136, 171, 175, 135, 249, 109, 191, 132, 1, 3, distr1, 86, 230, 192, 181, 73, 53, 242, 58, 3, 2, true
6573-8,1461004029878,10,target, 111, 200, 50, 232, 104, 246, 186, 52, 2, 3, distr2, 107, 88, 246, 213, 220, 78, 98, 221, 1, 1, distr1, 218, 131, 182, 172, 166, 85, 123, 109, 3, 2, true
