gameid,time,roundNum,clickStatus,clickP1,clickP2,clickP3,clickP4,clickP5,clickP6,clickP7,clickP8,clickLocS,clickLocL,alt1Status,alt1P1,alt1P2,alt1P3,alt1P4,alt1P5,alt1P6,alt1P7,alt1P8,alt1LocS,alt1LocL,alt2Status,alt2P1,alt2P2,alt2P3,alt2P4,alt2P5,alt2P6,alt2P7,alt2P8,alt2LocS,alt2LocL,outcome
4233-c,1461005992967,1,target, 98, 91, 132, 141, 164, 58, 220, 83, 2, 2, distr1, 236, 165, 152, 111, 121, 66, 137, 92, 1, 1, distr2, 125, 118, 170, 231, 184, 182, 204, 93, 3, 3, true
4233-c,1461006008079,2,target, 101, 199, 139, 126, 58, 228, 227, 124, 2, 2, distr2, 97, 169, 119, 78, 102, 236, 63, 172, 3, 1, distr1, 72, 110, 152, 134, 165, 215, 189, 120, 1, 3, true
4233-c,1461006018703,3,target, 159, 91, 200, 171, 172, 164, 139, 185, 2, 1, distr1, 232, 128, 194, 152, 63, 68, 92, 239, 1, 3, distr2, 82, 62, 155, 115, 92, 110, 107, 99, 3, 2, true
4233-c,1461006036143,4,target, 108, 56, 188, 107, 218, 173, 141, 123, 1, 1, distr2, 212, 60, 235, 157, 129, 181, 125, 50, 2, 2, distr1, 53, 204, 209, 234, 162, 66, 163, 65, 3, 3, true
4233-c,1461006051699,5,target, 135, 130, 219, 163, 94, 131, 207, 208, 2, 1, distr2, 176, 127, 88, 64, 144, 95, 186, 85, 3, 2, distr1, 209, 57, 82, 171, 110, 213, 219, 66, 1, 3, true
4233-c,1461006069859,6,target, 135, 238, 181, 246, 120, 160, 112, 123, 2, 2, distr1, 164, 123, 190, 82, 124, 92, 71, 141, 1, 3, distr2, 176, 237, 216, 92, 239, 154, 50, 144, 3, 1, true
4233-c,1461006102167,7,target, 114, 121, 92, 194, 110, 123, 193, 57, 1, 3, distr2, 79, 72, 172, 70, 196, 90, 241, 166, 3, 1, distr1, 199, 69, 174, 138, 142, 85, 177, 249, 2, 2, true
4233-c,1461006137188,8,target, 65, 78, 168, 209, 176, 219, 110, 55, 2, 3, distr2, 169, 182, 226, 105, 91, 89, 218, 173, 1, 1, distr1, 147, 109, 179, 228, 131, 65, 67, 230, 3, 2, true
4233-c,1461006162344,9,target, 242, 237, 240, 157, 99, 158, 59, 179, 3, 3, distr1, 182, 132, 108, 57, 219, 112, 134, 157, 1, 1, distr2, 147, 177, 218, 53, 114, 149, 136, 132, 2, 2, true
4233-c,1461006171899,10,target, 65, 182, 220, 77, 57, 124, 210, 238, 1, 1, distr2, 195, 183, 242, 167, 154, 212, 105, 54, 2, 3, distr1, 225, 50, 171, 69, 207, 147, 214, 209, 3, 2, true
4233-c,1461006183932,11,target, 86, 131, 180, 74, 83, 176, 79, 215, 3, 2, distr1, 167, 110, 246, 108, 149, 225, 199, 127, 2, 1, distr2, 183, 117, 61, 58, 113, 170, 110, 227, 1, 3, true
4233-c,1461006212586,12,target, 211, 95, 175, 150, 62, 74, 63, 171, 2, 1, distr2, 75, 233, 136, 225, 60, 92, 231, 218, 3, 2, distr1, 108, 158, 68, 192, 93, 189, 76, 163, 1, 3, true
4233-c,1461006245370,13,target, 175, 133, 77, 168, 111, 81, 68, 244, 1, 2, distr1, 59, 65, 160, 149, 232, 103, 159, 197, 3, 1, distr2, 177, 200, 81, 192, 57, 166, 246, 187, 2, 3, true
