gameid,time,roundNum,clickStatus,clickP1,clickP2,clickP3,clickP4,clickP5,clickP6,clickP7,clickP8,clickLocS,clickLocL,alt1Status,alt1P1,alt1P2,alt1P3,alt1P4,alt1P5,alt1P6,alt1P7,alt1P8,alt1LocS,alt1LocL,alt2Status,alt2P1,alt2P2,alt2P3,alt2P4,alt2P5,alt2P6,alt2P7,alt2P8,alt2LocS,alt2LocL,outcome
6043-0,1461011090423,1,target, 205, 144, 152, 65, 122, 193, 113, 222, 1, 3, distr2, 203, 206, 97, 187, 135, 184, 232, 90, 3, 1, distr1, 244, 157, 110, 115, 100, 59, 216, 77, 2, 2, true
6043-0,1461011105505,2,target, 74, 111, 91, 121, 106, 116, 68, 128, 3, 2, distr2, 157, 115, 211, 118, 50, 227, 55, 88, 2, 1, distr1, 119, 237, 192, 210, 238, 112, 137, 217, 1, 3, true
6043-0,1461011129303,3,distr1, 81, 171, 249, 155, 134, 203, 110, 72, 3, 3, distr2, 58, 94, 127, 189, 182, 149, 181, 128, 1, 2, target, 105, 61, 99, 171, 65, 163, 225, 230, 2, 1, false
6043-0,1461011142224,4,target, 65, 152, 217, 144, 140, 104, 223, 219, 2, 1, distr2, 195, 77, 92, 144, 219, 96, 158, 188, 1, 2, distr1, 50, 227, 180, 62, 78, 176, 126, 205, 3, 3, true
6043-0,1461011158752,5,target, 200, 52, 179, 59, 147, 87, 191, 138, 2, 3, distr1, 102, 114, 195, 109, 173, 190, 138, 132, 1, 1, distr2, 172, 167, 79, 249, 142, 234, 131, 85, 3, 2, true
6043-0,1461011174122,6,target, 55, 69, 138, 206, 183, 133, 134, 163, 2, 2, distr1, 186, 233, 98, 148, 240, 192, 51, 244, 1, 1, distr2, 59, 117, 195, 67, 138, 99, 87, 166, 3, 3, true
6043-0,1461011188909,7,target, 241, 172, 182, 102, 54, 201, 159, 101, 3, 3, distr2, 172, 108, 107, 219, 196, 50, 199, 161, 1, 1, distr1, 209, 70, 234, 68, 79, 214, 130, 192, 2, 2, true
6043-0,1461011210352,8,target, 171, 150, 51, 246, 172, 142, 141, 182, 2, 2, distr1, 208, 152, 237, 198, 56, 199, 173, 157, 1, 3, distr2, 174, 213, 54, 184, 183, 79, 154, 91, 3, 1, true
6043-0,1461011221962,9,target, 106, 198, 230, 111, 74, 178, 84, 234, 2, 3, distr2, 172, 53, 202, 70, 50, 157, 225, 138, 3, 1, distr1, 235, 55, 116, 146, 92, 135, 196, 174, 1, 2, true
6043-0,1461011240791,10,target, 247, 232, 179, 61, 99, 114, 167, 162, 3, 2, distr1, 168, 176, 112, 235, 77, 219, 220, 124, 2, 1, distr2, 141, 82, 193, 134, 189, 136, 105, 67, 1, 3, true
6043-0,1461011252538,11,target, 133, 184, 223, 96, 179, 151, 156, 122, 3, 1, distr2, 143, 92, 111, 164, 240, 162, 112, 227, 1, 3, distr1, 143, 147, 213, 109, 80, 244, 117, 155, 2, 2, true
6043-0,1461011263079,12,target, 68, 81, 59, 106, 109, 156, 198, 249, 1, 1, distr1, 85, 163, 152, 95, 118, 186, 54, 151, 3, 2, distr2, 105, 200, 114, 147, 76, 219, 170, 199, 2, 3, true
6043-0,1461011276515,13,target, 62, 100, 82, 113, 95, 189, 185, 58, 2, 3, distr2, 168, 129, 79, 138, 123, 241, 160, 247, 1, 2, distr1, 152, 153, 245, 116, 208, 92, 65, 184, 3, 1, true
6043-0,1461011286413,14,target, 63, 70, 110, 172, 58, 241, 116, 121, 1, 1, distr1, 174, 93, 108, 204, 232, 71, 233, 249, 2, 2, distr2, 205, 191, 233, 187, 139, 107, 169, 196, 3, 3, true
6043-0,1461011300663,15,target, 90, 190, 224, 76, 94, 75, 91, 237, 3, 2, distr1, 109, 114, 137, 89, 170, 240, 134, 155, 1, 1, distr2, 91, 93, 214, 193, 187, 223, 117, 84, 2, 3, true
6043-0,1461011310388,16,target, 142, 153, 152, 110, 209, 118, 173, 197, 3, 1, distr2, 204, 103, 244, 225, 215, 155, 190, 163, 2, 2, distr1, 214, 230, 195, 164, 208, 245, 96, 211, 1, 3, true
6043-0,1461011325533,17,distr2, 200, 151, 159, 112, 199, 246, 95, 57, 1, 1, distr1, 117, 120, 147, 213, 60, 207, 121, 53, 2, 3, target, 51, 140, 98, 152, 214, 53, 145, 191, 3, 2, false
6043-0,1461011333216,18,target, 143, 86, 62, 56, 117, 232, 76, 239, 2, 1, distr1, 98, 106, 181, 220, 228, 109, 144, 170, 3, 2, distr2, 77, 100, 169, 194, 85, 104, 90, 71, 1, 3, true
6043-0,1461011347204,19,target, 216, 223, 209, 165, 59, 86, 133, 220, 3, 2, distr2, 77, 93, 95, 63, 227, 61, 102, 246, 1, 3, distr1, 72, 127, 117, 211, 202, 52, 161, 167, 2, 1, true
6043-0,1461011367677,20,target, 239, 118, 193, 82, 76, 153, 139, 81, 2, 2, distr2, 117, 205, 90, 56, 230, 166, 201, 77, 1, 3, distr1, 172, 120, 96, 121, 165, 177, 106, 123, 3, 1, true
6043-0,1461011381050,21,target, 126, 163, 71, 228, 213, 87, 167, 230, 3, 1, distr1, 221, 181, 112, 248, 170, 180, 135, 156, 2, 2, distr2, 64, 162, 158, 147, 74, 90, 154, 67, 1, 3, true
6043-0,1461011396472,22,target, 88, 181, 141, 195, 156, 123, 248, 59, 2, 2, distr1, 192, 211, 159, 220, 116, 187, 188, 94, 3, 3, distr2, 154, 63, 190, 96, 72, 94, 99, 167, 1, 1, true
6043-0,1461011405357,23,target, 150, 111, 216, 67, 108, 105, 158, 227, 1, 2, distr1, 69, 230, 226, 175, 248, 201, 192, 58, 2, 3, distr2, 153, 224, 136, 72, 184, 93, 246, 74, 3, 1, true
6043-0,1461011418029,24,distr1, 170, 125, 219, 66, 205, 193, 115, 62, 1, 3, distr2, 184, 116, 131, 105, 80, 123, 89, 68, 2, 2, target, 50, 53, 120, 229, 124, 217, 165, 96, 3, 1, false
6043-0,1461011428333,25,target, 148, 132, 226, 249, 53, 84, 100, 219, 1, 2, distr2, 232, 123, 54, 186, 191, 240, 227, 224, 3, 1, distr1, 242, 199, 237, 79, 174, 53, 235, 219, 2, 3, true
6043-0,1461011442964,26,distr1, 179, 160, 64, 133, 96, 66, 207, 159, 1, 1, distr2, 224, 234, 92, 144, 189, 201, 95, 170, 3, 3, target, 146, 170, 64, 208, 178, 69, 162, 121, 2, 2, false
6043-0,1461011450938,27,target, 67, 93, 79, 103, 157, 155, 139, 145, 3, 3, distr1, 146, 175, 226, 159, 242, 194, 115, 123, 1, 2, distr2, 227, 130, 150, 92, 73, 189, 208, 152, 2, 1, true
6043-0,1461011464167,28,target, 177, 137, 187, 172, 94, 72, 119, 54, 1, 2, distr1, 149, 81, 167, 134, 192, 138, 207, 169, 3, 1, distr2, 107, 218, 207, 50, 204, 104, 77, 162, 2, 3, true
6043-0,1461011476862,29,target, 234, 64, 148, 113, 169, 165, 112, 236, 2, 2, distr1, 197, 138, 196, 188, 140, 155, 142, 124, 3, 3, distr2, 179, 175, 77, 65, 57, 93, 245, 63, 1, 1, true
6043-0,1461011485959,30,target, 169, 140, 77, 246, 59, 69, 168, 90, 2, 1, distr2, 198, 132, 160, 189, 65, 112, 220, 82, 1, 3, distr1, 144, 148, 72, 161, 107, 212, 160, 137, 3, 2, true
6043-0,1461011495344,31,target, 150, 163, 69, 243, 240, 209, 160, 161, 1, 3, distr2, 181, 192, 86, 84, 98, 71, 241, 107, 2, 2, distr1, 166, 110, 61, 91, 98, 234, 77, 165, 3, 1, true
6043-0,1461011508855,32,target, 216, 222, 123, 177, 183, 106, 203, 172, 3, 2, distr1, 238, 89, 125, 100, 123, 243, 222, 107, 2, 1, distr2, 196, 158, 60, 154, 174, 228, 75, 220, 1, 3, true
6043-0,1461011517242,33,target, 205, 245, 148, 124, 189, 179, 232, 63, 1, 1, distr1, 114, 140, 107, 231, 64, 135, 71, 198, 2, 2, distr2, 196, 120, 177, 70, 232, 101, 195, 133, 3, 3, true
